case,group,before,legacy_after,legacy_logical_calls,legacy_new_calls,read_order_after,read_order_logical_calls,read_order_new_calls,joint_after,joint_logical_calls,joint_new_calls
case_001,development,47502,47502,6,2,47502,1,0,47502,5,0
case_003,extension,145413,145413,12,5,145137,12,11,145220,12,0
case_004,development,81107,81107,12,8,81107,12,11,81107,12,0
case_008,development,55855,55855,1,0,55855,1,0,55855,2,0
case_010,development,18758,18544,12,12,18678,6,5,18678,10,5
case_015,development,43242,43242,12,8,42588,12,11,42588,12,0
case_017,development,32681,32681,12,8,32681,12,11,32681,12,0
case_023,development,20229,20229,12,8,20159,12,11,20229,12,0
case_026,extension,26735,26036,12,12,26343,11,11,26583,12,7
case_044,extension,43843,43210,12,12,43843,12,11,43210,12,7
case_046,extension,76087,73405,12,12,75770,12,12,76087,12,0
case_052,extension,34883,34613,12,8,32948,12,11,32948,12,0
case_070,development,26656,26656,12,12,26655,12,12,26655,12,0
case_071,extension,7502,7502,12,5,7494,12,11,7494,12,0
case_078,extension,464016,459213,12,12,461284,12,11,464016,12,0
case_090,development,243470,234641,12,12,236399,12,12,232265,12,7
case_094,development,21130,20568,12,12,20308,12,12,20156,12,7
case_098,extension,45079,44288,12,9,45079,12,11,44288,12,7
