case,has_guided,guided_name,logical_calls,new_calls,all_success,input_p2,input_p2_copy,input_p3,input_p3_copy,input_hit_rate,control_p2,control_p2_copy,control_p3,control_p3_copy,control_hit_rate,guided_p2,guided_p2_copy,guided_p3,guided_p3_copy,guided_hit_rate,p3_schedule_gain,p2_schedule_gain,control_cache_gain,guided_cache_gain,cache_interaction,guided_improves_incumbent
case_094,True,t0_w128_advance,6,2,True,21374,283776,21130,283776,0.1917890837030974,20970,283776,20726,283776,0.1917890837030974,21419,283776,20308,283776,0.21001163141343213,418,-449,244,1111,867,True
case_023,True,t2_w8_advance,6,2,True,20245,270912,20229,270912,0.08215206642516532,20245,270912,20229,270912,0.08215206642516532,20245,270912,20159,270912,0.117009959803357,70,0,16,86,70,True
case_010,True,t0_w8_advance,6,2,True,19622,554512,18758,554512,0.36701684339405083,19697,554512,18678,554512,0.36701684339405083,19697,554512,18678,554512,0.36701684339405083,0,0,1019,1019,0,True
case_070,True,t0_w32_advance,6,2,True,27757,462848,26656,462848,0.27029611218231214,29647,462848,27693,462848,0.27029611218231214,29645,462848,26655,462848,0.27029611218231214,1038,2,1954,2990,1036,True
case_015,True,t0_w128_work,6,2,True,43242,313344,43242,313344,0.07010033176771918,43242,313344,43242,313344,0.07010033176771918,42588,313344,42588,313344,0.20688146692424442,654,654,0,0,0,True
case_017,True,t0_w8_work,6,2,True,32681,340992,32681,340992,0.026298067594251864,32681,340992,32681,340992,0.1157114974147082,32681,340992,32681,340992,0.2717466984739359,0,0,0,0,0,False
case_001,False,,4,1,True,47502,4608,47502,4608,0.0,47502,4608,47502,4608,0.0,,,,,,,,,,,
case_090,True,t1_w8_work,6,2,True,304663,10305792,243470,10305792,0.4989069460485068,302930,10305792,242232,10305792,0.4989069460485068,303028,10305792,236399,10305792,0.534940603860749,5833,-98,60698,66629,5931,True
case_008,False,,4,3,True,55855,0,55855,0,0.0,55855,0,55855,0,0.0,,,,,,,,,,,
case_004,True,t0_w8_work,6,2,True,81107,2863104,81107,2863104,0.08080808080808081,81107,2863104,81107,2863104,0.06349206349206349,81814,2863104,81107,2863104,0.1645021645021645,0,-707,0,707,707,False
case_046,True,t4_w32_leader,6,2,True,78121,2651936,76087,2651936,0.01787157059050831,78121,2651936,76087,2651936,0.01787157059050831,77566,2668320,75770,2668320,0.03182503242087554,317,555,2034,1796,-238,True
case_071,True,t3_w8_advance,6,3,True,9158,361586,7502,361586,0.3055259314214175,9085,361586,7514,361586,0.27881784248719077,9081,361586,7494,361586,0.281043516565043,20,4,1571,1587,16,True
case_026,True,t6_w8_advance,6,2,True,29252,765184,26735,765184,0.3433521594242296,29189,765184,26588,765184,0.3433521594242296,28882,765184,26343,765184,0.3433521594242296,245,307,2601,2539,-62,True
case_052,True,t0_w128_work,6,2,True,34883,328704,34883,328704,0.08812485290863299,34883,328704,34883,328704,0.16500929090545055,32948,328704,32948,328704,0.22166098206100032,1935,1935,0,0,0,True
case_044,True,t0_w8_advance,6,3,True,47660,1021024,43843,1021024,0.11790277086444334,47660,1021024,43843,1021024,0.11790277086444334,47769,1021024,43843,1021024,0.11790277086444334,0,-109,3817,3926,109,False
case_098,True,t7_w128_advance,6,2,True,45939,858868,45079,858868,0.32102691944865847,46431,858868,45202,858868,0.3179987402301298,46351,858868,45126,858868,0.32102691944865847,76,80,1229,1225,-4,False
case_078,True,t2_w8_leader,6,2,True,489269,13920768,464016,13920768,0.2510318016651884,489378,13920768,464016,13920768,0.2510318016651884,493336,13920768,461284,13920768,0.47351470630311004,2732,-3958,25362,32052,6690,True
case_003,True,t0_w128_work,6,2,True,157029,5783280,145413,5783280,0.4644525029032213,157672,5783280,145510,5783280,0.4644521072342143,157448,5783280,145137,5783280,0.47194766090374757,373,224,12162,12311,149,True
