problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7845240217708962,1.7845240217708962,0.0,0
1,3,100,2.4258366812151126,2.4258366812151126,0.0,0
1,4,100,3.031382274785021,3.031382274785021,0.0,0
1,5,100,3.572486956614837,3.576101091454332,0.245852690761037,3
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.897896084195691,2.897896084195691,0.0,0
2,4,100,3.606766851120958,3.606766851120958,0.0,0
2,5,100,4.3288440263597,4.334517565184253,0.12238244603531534,5
3,2,100,2.0479064324567084,2.0483501485922906,0.0193320366241283,1
3,3,100,2.9144084843317906,2.9147717447600945,0.011376867037024674,1
3,4,100,3.6402883331645577,3.641775579313945,0.03233713407333827,1
3,5,100,4.415382461028566,4.42846590611176,0.2843142256464053,14
