batch,configs,logical_calls,new_calls,wall_seconds
综合新增大图_v1,8,83,31,107.26792866701726
综合冷启动_v1,2,24,24,142.41115991701372
P3读序开发_v1,10,92,85,7.7884899999480695
P3原方法回归_v1,10,103,82,7.8485102920094505
P3读序扩展_v1,8,95,89,29.10807154199574
P3原方法扩展_v1,8,96,75,17.103783707949333
P3联合回归_v1,18,197,40,6.6205382499611005
P3读序归因_v1,10,56,20,1.8616478749318048
P3读序归因扩展_v1,8,48,18,5.717193666961975
P3联合跨核_n2_v1,3,36,25,4.899718833039515
P3联合跨核_n3_v1,3,36,26,4.257203917019069
P3联合跨核_n4_v1,3,36,30,5.39056841598358
推广缓存复用_v1,12,12,8,5.4114127500215545
缓存独立复评_v1,4,4,4,0.5423019590089098
