case,makespan,compute_dependency_bound,ideal_pipe_bound,necessary_bound,upper_limit_reduction_pct
case_001,47502,1316,46560.0,46560.0,1.9830743968675013
case_002,78244,2976,48000.0,48000.0,38.65344307550739
case_003,232913,28285,87758.4,87758.4,62.321381803506036
case_004,88341,2748,77122.8,77122.8,12.698746901212344
case_005,51854,6894,12776.4,12776.4,75.36082076599683
case_006,31151,2836,13800.0,13800.0,55.699656511829474
case_007,203834,1632,195804.0,195804.0,3.9394801652324896
case_008,100603,4512,50025.6,50025.6,50.274246294842094
case_009,83830,9965,23998.4,23998.4,71.37253966360491
case_010,29780,3146,11099.2,11099.2,62.7293485560779
case_011,46880,2120,36889.6,36889.6,21.310580204778162
case_012,14139,2506,7114.4,7114.4,49.68243864488295
case_013,54363,400,52742.4,52742.4,2.981071684785608
case_014,3641147,31968,3445149.6,3445149.6,5.382847767475463
case_015,43411,7913,20299.4,20299.4,53.23904079611158
case_016,3303991,655140,1542995.0,1542995.0,53.29905559670107
case_017,35340,5980,22120.0,22120.0,37.408036219581206
case_018,205917,3539,194264.0,194264.0,5.659076229743054
case_019,19414,12234,9687.2,12234,36.98362006799217
case_020,107494,1824,106521.6,106521.6,0.9046086293188371
case_021,1243902,5544,1238400.0,1238400.0,0.44231780317098846
case_022,11828,1986,10817.4,10817.4,8.544132566790674
case_023,23846,4218,13911.6,13911.6,41.66065587519919
case_024,1095114,216948,510959.0,510959.0,53.3419351775249
case_025,975282,1632,940564.8,940564.8,3.5597088841996416
case_026,41655,4319,14153.6,14153.6,66.02184611691273
case_027,558753,21048,445824.0,445824.0,20.210898196519757
case_028,10194624,246816,7794921.6,7794921.6,23.538900502853277
case_029,9383,407,7497.0,7497.0,20.100181178727482
case_030,558846,1494,555296.0,555296.0,0.6352376146559147
case_031,306213,13057,266898.4,266898.4,12.838971565544233
case_032,10415,1146,6799.0,6799.0,34.71915506481037
case_033,368019,6300,345621.6,345621.6,6.085935780489605
case_034,169362,3677,149832.0,149832.0,11.531512381762143
case_035,90079,17200,28781.8,28781.8,68.04826874188213
case_036,187182,1316,186240.0,186240.0,0.5032535179664732
case_037,43013,904,41920.0,41920.0,2.5410922279310855
case_038,276053,8754,265000.0,265000.0,4.003941272147015
case_039,316542,784,275576.0,275576.0,12.941726532340104
case_040,110105,16120,37150.2,37150.2,66.2592979428727
case_041,1196379,1767,1179048.0,1179048.0,1.4486212145148003
case_042,342220,5685,319815.2,319815.2,6.546899655192561
case_043,200786,27474,103550.4,103550.4,48.42748000358591
case_044,96349,7672,14880.8,14880.8,84.55531453362256
case_045,26153,1824,25095.2,25095.2,4.044660268420442
case_046,124612,28456,41849.6,41849.6,66.41607549834687
case_047,190683,19990,51874.0,51874.0,72.79568708274991
case_048,119999,75960,27907.2,75960,36.699472495604134
case_049,86941,8921,33143.0,33143.0,61.87874535604605
case_050,77776,6829,26682.2,26682.2,65.69353013783173
case_051,607628,51552,121416.0,121416.0,80.01803735180077
case_052,44240,3665,28305.6,28305.6,36.01808318264015
case_053,470274,56912,242545.2,242545.2,48.4247055971625
case_054,447227,20291,114843.2,114843.2,74.32104948940919
case_055,26781,6962,13809.8,13809.8,48.43433777678206
case_056,138785,13737,49190.6,49190.6,64.55625607954751
case_057,14268,8189,9513.0,9513.0,33.32632464255677
case_058,943984,746,871794.0,871794.0,7.647375379243715
case_059,150782,2120,147558.4,147558.4,2.1379209719993186
case_060,183430,4252,144046.4,144046.4,21.47064275200349
case_061,22283,11506,14291.2,14291.2,35.86500919983844
case_062,942950,3120,523680.0,523680.0,44.46365130706824
case_063,286820,3048,196320.0,196320.0,31.55289031448295
case_064,15177,3528,3148.8,3528,76.75429926863016
case_065,11994,1265,5903.6,5903.6,50.77872269468067
case_066,199028,32240,53938.8,53938.8,72.89888859858914
case_067,15233731,863040,11783046.4,11783046.4,22.651605178009248
case_068,143172,48319,49820.2,49820.2,65.20255357192748
case_069,15487,2298,3334.8,3334.8,78.46710143991736
case_070,26669,4054,18366.4,18366.4,31.13202594772957
case_071,11491,2298,2506.8,2506.8,78.18466626055174
case_072,4714200,31968,4585618.8,4585618.8,2.72752959144712
case_073,3517515,220224,1632134.4,1632134.4,53.5997884870427
case_074,330675,3091,315884.8,315884.8,4.472730021924853
case_075,478842,182300,221504.0,221504.0,53.74173526967141
case_076,1229020,2774,1212328.8,1212328.8,1.358090185676386
