problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7954762975176894,1.7954762975176894,0.0,0
1,3,100,2.458405141136818,2.4654248638113017,0.3141075171504071,1
1,4,100,3.076481955512431,3.0854932019622985,0.33805412364801446,1
1,5,100,3.699733988697016,3.7140380550528125,0.5628619610125717,3
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.9159353866665465,2.9163900322222465,0.013087593522298602,3
2,4,100,3.6104932852866987,3.6116032219566105,0.027446094677171518,2
2,5,100,4.482065713059175,4.499248995402575,0.344787385598209,8
3,2,100,2.0483501485922906,2.0483501485922906,0.0,0
3,3,100,2.932845619607986,2.9334950683087406,0.021422329890005032,2
3,4,100,3.6446645920474876,3.656322758511865,0.24853279003336215,3
3,5,100,4.589334321797324,4.613657188403289,0.48437128192738466,7
