case,problem,time,ops,copy,spill,root_replication,root_replication_ratio,memory_pressure,speedup,active
case_001,1,47502,600,1644160,0,4608,0.0028026469443363177,0.0625,4.9073723211654245,5
case_001,2,47502,600,1644160,0,4608,0.0028026469443363177,0.0625,4.9073723211654245,5
case_001,3,47502,600,1644160,0,4608,0.0028026469443363177,0.0625,4.9073723211654245,5
case_002,1,78244,1798,3389952,0,769536,0.22700498414136838,0.09375,3.347796636163795,5
case_002,2,51207,1798,1866240,0,0,0.0,0.33984375,5.115413908254731,5
case_002,3,51207,1798,1866240,0,0,0.0,0.33984375,5.115413908254731,5
case_003,1,232913,13455,9766606,0,1585688,0.16235814161029943,0.2353668212890625,2.585566284406624,5
case_003,2,157029,13455,7067544,0,1757720,0.24870308554145543,0.3613433837890625,3.8350368403288564,5
case_003,3,145137,13455,7067544,0,1757720,0.24870308554145543,0.3613433837890625,4.149265866043807,5
case_004,1,88341,777,1234944,0,442368,0.3582089552238806,0.240234375,4.441391879195391,5
case_004,2,81107,777,3655680,61440,491520,0.13445378151260504,0.984375,4.837523271727471,5
case_004,3,81107,777,3655680,61440,491520,0.13445378151260504,0.984375,4.837523271727471,5
case_005,1,51854,4113,2423176,0,408978,0.16877767029716373,0.1562652587890625,1.8439850349056968,5
case_005,2,36856,4113,1879512,0,379698,0.20201946037056429,0.267974853515625,2.5943672672020837,4
case_005,3,33821,4113,1879512,0,379698,0.20201946037056429,0.267974853515625,2.8271783802962656,4
case_006,1,31151,678,557172,0,0,0.0,0.46881103515625,2.6592083721228854,3
case_006,2,31151,678,543348,0,0,0.0,0.46881103515625,2.6592083721228854,3
case_006,3,31151,678,543348,0,0,0.0,0.437530517578125,2.6592083721228854,3
case_007,1,203834,3885,1843200,0,110592,0.06,0.0673828125,4.967581463347626,5
case_007,2,196870,3885,1843200,0,110592,0.06,0.0703125,5.14330268705237,5
case_007,3,196870,3885,1843200,0,110592,0.06,0.0703125,5.14330268705237,5
case_008,1,100603,864,2654424,0,0,0.0,0.28271484375,4.846823653370178,5
case_008,2,55855,864,2654424,0,0,0.0,0.708984375,8.729836182973772,5
case_008,3,55855,864,2654424,0,0,0.0,0.708984375,8.729836182973772,5
case_009,1,83830,5671,942388,0,91792,0.09740361719376732,0.2187957763671875,1.8282357151377788,5
case_009,2,50086,5671,1786226,0,386718,0.21650003974860965,0.4572906494140625,3.0599568741764167,5
case_009,3,46646,5671,1786226,0,386718,0.21650003974860965,0.4572906494140625,3.285619345710243,5
case_010,1,29780,667,747030,0,96768,0.1295369663868921,0.4375,2.92038280725319,4
case_010,2,19138,667,938662,0,304320,0.32420615727492963,0.5,4.544309750235135,5
case_010,3,18544,667,938662,0,304320,0.32420615727492963,0.5,4.68987273511648,5
case_011,1,46880,688,1146880,0,540672,0.4714285714285714,0.2109375,3.9397824232081913,4
case_011,2,46828,688,2230272,0,1615872,0.7245179063360881,0.046875,3.9441573417613394,5
case_011,3,46253,688,2230272,0,1615872,0.7245179063360881,0.046875,3.9931896309428576,5
case_012,1,14139,972,584274,0,0,0.0,0.1875762939453125,4.17907914279652,5
case_012,2,12279,972,604434,0,49536,0.08195435729955627,0.3751068115234375,4.812118250671879,5
case_012,3,12272,972,604434,0,49536,0.08195435729955627,0.3751068115234375,4.814863102998697,5
case_013,1,54363,1968,2560000,0,32768,0.0128,0.0390625,4.855305998565201,5
case_013,2,53708,1968,2572288,0,32768,0.012738853503184714,0.0390625,4.914519252252923,5
case_013,3,53418,1968,2572288,0,32768,0.012738853503184714,0.0390625,4.941199595641918,5
case_014,1,3641147,35705,143928556,1579464,39420768,0.27389122141960487,0.997833251953125,4.860728226572561,5
case_014,2,3703529,35705,94306252,51047256,33326256,0.3533833154561163,0.9990234375,4.778854438563867,5
case_014,3,3686924,35705,94306252,51047256,33326256,0.3533833154561163,0.9990234375,4.800377225025523,5
case_015,1,43411,1013,1206150,8192,313344,0.2597885835095137,0.9376220703125,4.085646495127963,5
case_015,2,33997,1013,1197958,0,313344,0.261565096606058,0.9063720703125,5.216989734388329,5
case_015,3,33340,1013,1197958,0,313344,0.261565096606058,0.9063720703125,5.319796040791841,5
case_016,1,3303991,17995,119950386,0,851968,0.007102669932216809,0.5000152587890625,2.3352130801809086,5
case_016,2,1971422,17995,40781682,0,327680,0.008034980018725074,1.0,3.913684132570297,5
case_016,3,1969193,17995,40781682,0,327680,0.008034980018725074,1.0,3.9181141716429013,5
case_017,1,35340,1373,973334,0,329472,0.3384983982887683,0.375091552734375,4.606960950764007,5
case_017,2,28330,1373,984854,0,340992,0.3462360918471164,0.6643218994140625,5.746911401341334,5
case_017,3,28049,1373,984854,0,340992,0.3462360918471164,0.6643218994140625,5.804485008378196,5
case_018,1,205917,2727,6913552,638976,4681728,0.6771812810549483,1.0,4.8775331808447095,5
case_018,2,204654,2727,6917648,643072,4681728,0.6767803160843108,1.0,4.907634348705621,5
case_018,3,201238,2727,6917648,643072,4681728,0.6767803160843108,1.0,4.990941074747314,5
case_019,1,19414,647,476908,0,106080,0.22243283819940116,0.140625,4.179664159884619,5
case_019,2,17473,647,988884,0,149088,0.15076389141699129,0.3359375,4.643964974532135,5
case_019,3,15833,647,988884,0,149088,0.15076389141699129,0.3359375,5.12499210509695,5
case_020,1,107494,7008,2359296,0,0,0.0,0.25,4.95605336111783,5
case_020,2,107187,7008,2359296,0,0,0.0,0.25,4.97024825771782,5
case_020,3,107187,7008,2359296,0,0,0.0,0.25,4.97024825771782,5
