problem,method,family,calls,accepted,time_improvements,alternative_parent_calls,alternative_parent_time_improvements,strictly_worse_parent_calls,generation_seconds
2,budget_beam,data,4,0,0,3,0,3,7.328123248880729
2,budget_beam,legacy,6,0,0,1,0,1,0.7489065430127084
2,budget_beam,region,4,1,1,4,1,3,1.0036828748416156
2,budget_beam,structure,8,0,0,0,0,0,0.0
2,budget_beam,structure_pair,2,2,2,2,2,2,0.0
2,budget_greedy,data,4,1,1,0,0,0,6.905173875042237
2,budget_greedy,legacy,6,0,0,0,0,0,0.7199768340215087
2,budget_greedy,region,4,1,1,0,0,0,1.0069630421930924
2,budget_greedy,structure,8,0,0,0,0,0,0.0
2,budget_greedy,structure_pair,2,2,2,2,2,2,0.0
2,local_legacy,legacy,18,0,0,0,0,0,0.6650502088014036
2,local_legacy,structure,4,0,0,0,0,0,0.0
2,local_legacy,structure_pair,2,2,2,2,2,2,0.0
3,budget_beam,data,4,0,0,3,0,3,7.088649708079174
3,budget_beam,legacy,4,0,0,0,0,0,1.6848353759851307
3,budget_beam,region,6,2,2,4,0,4,1.6799348740605637
3,budget_beam,structure,8,0,0,0,0,0,0.0
3,budget_beam,structure_pair,2,2,2,2,2,2,0.0
3,budget_greedy,data,4,2,1,0,0,0,6.90985662501771
3,budget_greedy,legacy,4,0,0,0,0,0,1.6549245408969
3,budget_greedy,region,6,1,1,0,0,0,0.9833499990636483
3,budget_greedy,structure,8,0,0,0,0,0,0.0
3,budget_greedy,structure_pair,2,2,2,2,2,2,0.0
3,local_legacy,legacy,18,2,1,0,0,0,2.9827850838191807
3,local_legacy,structure,4,0,0,0,0,0,0.0
3,local_legacy,structure_pair,2,2,2,2,2,2,0.0
