problem,method,runs,successes,calls,fresh,failed_calls,generation_errors,total_run_seconds,median_run_seconds
2,baseline,4,4,48,48,0,0,22.864468791987747,4.6109264374827035
2,budget_beam,4,4,48,48,0,0,36.45745249988977,8.113737062492874
2,budget_greedy,4,4,48,48,0,0,37.834277916001156,8.085322249447927
2,local_legacy,4,4,48,48,0,0,29.16226041596383,6.368940499494784
2,wide_legacy,4,4,48,48,0,0,30.010783209116198,6.47475510451477
3,baseline,4,4,48,48,0,0,23.96695820905734,5.108457646041643
3,budget_beam,4,4,48,48,0,0,40.70691225095652,8.234525020932779
3,budget_greedy,4,4,48,48,0,0,40.73684787505772,8.642049854504876
3,local_legacy,4,4,48,48,0,0,31.806631708866917,6.897008499945514
3,wide_legacy,4,4,48,48,0,0,32.8833297919482,7.119629624998197
