case,problem,cores,method,control,common_calls,method_time,control_time,reduction_pct
case_083,2,5,local_legacy,baseline,12,184594,184594,0.0
case_046,2,5,local_legacy,baseline,12,77846,77846,0.0
case_018,2,5,local_legacy,baseline,12,197769,197769,0.0
case_031,2,5,local_legacy,baseline,12,277319,273240,-1.4928268189137839
case_018,2,5,budget_greedy,baseline,12,197737,197769,0.016180493403916696
case_031,2,5,budget_greedy,baseline,12,273263,273240,-0.008417508417513098
case_046,2,5,budget_greedy,baseline,12,77846,77846,0.0
case_083,2,5,budget_greedy,baseline,12,183856,184594,0.39979630973920877
case_046,2,5,budget_beam,baseline,12,77846,77846,0.0
case_031,2,5,budget_beam,baseline,12,273263,273240,-0.008417508417513098
case_083,2,5,budget_beam,baseline,12,183856,184594,0.39979630973920877
case_018,2,5,budget_beam,baseline,12,197769,197769,0.0
case_018,2,5,budget_greedy,local_legacy,12,197737,197769,0.016180493403916696
case_031,2,5,budget_greedy,local_legacy,12,273263,277319,1.462575589844184
case_046,2,5,budget_greedy,local_legacy,12,77846,77846,0.0
case_083,2,5,budget_greedy,local_legacy,12,183856,184594,0.39979630973920877
case_046,2,5,budget_beam,local_legacy,12,77846,77846,0.0
case_031,2,5,budget_beam,local_legacy,12,273263,277319,1.462575589844184
case_083,2,5,budget_beam,local_legacy,12,183856,184594,0.39979630973920877
case_018,2,5,budget_beam,local_legacy,12,197769,197769,0.0
case_046,2,5,budget_beam,budget_greedy,12,77846,77846,0.0
case_031,2,5,budget_beam,budget_greedy,12,273263,273263,0.0
case_083,2,5,budget_beam,budget_greedy,12,183856,183856,0.0
case_018,2,5,budget_beam,budget_greedy,12,197769,197737,-0.016183111911272086
case_046,2,5,wide_legacy,baseline,12,77846,77846,0.0
case_018,2,5,wide_legacy,baseline,12,197769,197769,0.0
case_083,2,5,wide_legacy,baseline,12,184594,184594,0.0
case_031,2,5,wide_legacy,baseline,12,273263,273240,-0.008417508417513098
case_046,2,5,wide_legacy,local_legacy,12,77846,77846,0.0
case_018,2,5,wide_legacy,local_legacy,12,197769,197769,0.0
case_083,2,5,wide_legacy,local_legacy,12,184594,184594,0.0
case_031,2,5,wide_legacy,local_legacy,12,273263,277319,1.462575589844184
case_018,2,5,budget_greedy,wide_legacy,12,197737,197769,0.016180493403916696
case_031,2,5,budget_greedy,wide_legacy,12,273263,273263,0.0
case_046,2,5,budget_greedy,wide_legacy,12,77846,77846,0.0
case_083,2,5,budget_greedy,wide_legacy,12,183856,184594,0.39979630973920877
case_046,2,5,budget_beam,wide_legacy,12,77846,77846,0.0
case_031,2,5,budget_beam,wide_legacy,12,273263,273263,0.0
case_083,2,5,budget_beam,wide_legacy,12,183856,184594,0.39979630973920877
case_018,2,5,budget_beam,wide_legacy,12,197769,197769,0.0
case_018,3,5,local_legacy,baseline,12,196701,196701,0.0
case_031,3,5,local_legacy,baseline,12,276203,273059,-1.151399514390672
case_083,3,5,local_legacy,baseline,12,184594,184594,0.0
case_046,3,5,local_legacy,baseline,12,77846,77846,0.0
case_046,3,5,budget_greedy,baseline,12,77846,77846,0.0
case_018,3,5,budget_greedy,baseline,12,196701,196701,0.0
case_083,3,5,budget_greedy,baseline,12,183787,184594,0.4371756395115778
case_031,3,5,budget_greedy,baseline,12,273059,273059,0.0
case_018,3,5,budget_beam,baseline,12,196701,196701,0.0
case_083,3,5,budget_beam,baseline,12,183787,184594,0.4371756395115778
case_046,3,5,budget_beam,baseline,12,77846,77846,0.0
case_031,3,5,budget_beam,baseline,12,273059,273059,0.0
case_046,3,5,budget_greedy,local_legacy,12,77846,77846,0.0
case_018,3,5,budget_greedy,local_legacy,12,196701,196701,0.0
case_083,3,5,budget_greedy,local_legacy,12,183787,184594,0.4371756395115778
case_031,3,5,budget_greedy,local_legacy,12,273059,276203,1.138293211876773
case_018,3,5,budget_beam,local_legacy,12,196701,196701,0.0
case_083,3,5,budget_beam,local_legacy,12,183787,184594,0.4371756395115778
case_046,3,5,budget_beam,local_legacy,12,77846,77846,0.0
case_031,3,5,budget_beam,local_legacy,12,273059,276203,1.138293211876773
case_018,3,5,budget_beam,budget_greedy,12,196701,196701,0.0
case_083,3,5,budget_beam,budget_greedy,12,183787,183787,0.0
case_046,3,5,budget_beam,budget_greedy,12,77846,77846,0.0
case_031,3,5,budget_beam,budget_greedy,12,273059,273059,0.0
case_046,3,5,wide_legacy,baseline,12,77846,77846,0.0
case_083,3,5,wide_legacy,baseline,12,184594,184594,0.0
case_018,3,5,wide_legacy,baseline,12,196701,196701,0.0
case_031,3,5,wide_legacy,baseline,12,273059,273059,0.0
case_046,3,5,wide_legacy,local_legacy,12,77846,77846,0.0
case_083,3,5,wide_legacy,local_legacy,12,184594,184594,0.0
case_018,3,5,wide_legacy,local_legacy,12,196701,196701,0.0
case_031,3,5,wide_legacy,local_legacy,12,273059,276203,1.138293211876773
case_046,3,5,budget_greedy,wide_legacy,12,77846,77846,0.0
case_018,3,5,budget_greedy,wide_legacy,12,196701,196701,0.0
case_083,3,5,budget_greedy,wide_legacy,12,183787,184594,0.4371756395115778
case_031,3,5,budget_greedy,wide_legacy,12,273059,273059,0.0
case_018,3,5,budget_beam,wide_legacy,12,196701,196701,0.0
case_083,3,5,budget_beam,wide_legacy,12,183787,184594,0.4371756395115778
case_046,3,5,budget_beam,wide_legacy,12,77846,77846,0.0
case_031,3,5,budget_beam,wide_legacy,12,273059,273059,0.0
