case,problem,cores,method,control,method_status,control_status,method_time,control_time,reduction_pct
case_083,2,5,local_legacy,baseline,success,success,184594,184594,0.0
case_046,2,5,local_legacy,baseline,success,success,77846,77846,0.0
case_018,2,5,local_legacy,baseline,success,success,197769,197769,0.0
case_031,2,5,local_legacy,baseline,success,success,277319,273240,-1.4928268189137839
case_018,2,5,budget_greedy,baseline,success,success,197737,197769,0.016180493403916696
case_031,2,5,budget_greedy,baseline,success,success,273263,273240,-0.008417508417513098
case_046,2,5,budget_greedy,baseline,success,success,77846,77846,0.0
case_083,2,5,budget_greedy,baseline,success,success,183856,184594,0.39979630973920877
case_046,2,5,budget_beam,baseline,success,success,77846,77846,0.0
case_031,2,5,budget_beam,baseline,success,success,273263,273240,-0.008417508417513098
case_083,2,5,budget_beam,baseline,success,success,183856,184594,0.39979630973920877
case_018,2,5,budget_beam,baseline,success,success,197769,197769,0.0
case_018,2,5,budget_greedy,local_legacy,success,success,197737,197769,0.016180493403916696
case_031,2,5,budget_greedy,local_legacy,success,success,273263,277319,1.462575589844184
case_046,2,5,budget_greedy,local_legacy,success,success,77846,77846,0.0
case_083,2,5,budget_greedy,local_legacy,success,success,183856,184594,0.39979630973920877
case_046,2,5,budget_beam,local_legacy,success,success,77846,77846,0.0
case_031,2,5,budget_beam,local_legacy,success,success,273263,277319,1.462575589844184
case_083,2,5,budget_beam,local_legacy,success,success,183856,184594,0.39979630973920877
case_018,2,5,budget_beam,local_legacy,success,success,197769,197769,0.0
case_046,2,5,budget_beam,budget_greedy,success,success,77846,77846,0.0
case_031,2,5,budget_beam,budget_greedy,success,success,273263,273263,0.0
case_083,2,5,budget_beam,budget_greedy,success,success,183856,183856,0.0
case_018,2,5,budget_beam,budget_greedy,success,success,197769,197737,-0.016183111911272086
case_046,2,5,wide_legacy,baseline,success,success,77846,77846,0.0
case_018,2,5,wide_legacy,baseline,success,success,197769,197769,0.0
case_083,2,5,wide_legacy,baseline,success,success,184594,184594,0.0
case_031,2,5,wide_legacy,baseline,success,success,273263,273240,-0.008417508417513098
case_046,2,5,wide_legacy,local_legacy,success,success,77846,77846,0.0
case_018,2,5,wide_legacy,local_legacy,success,success,197769,197769,0.0
case_083,2,5,wide_legacy,local_legacy,success,success,184594,184594,0.0
case_031,2,5,wide_legacy,local_legacy,success,success,273263,277319,1.462575589844184
case_018,2,5,budget_greedy,wide_legacy,success,success,197737,197769,0.016180493403916696
case_031,2,5,budget_greedy,wide_legacy,success,success,273263,273263,0.0
case_046,2,5,budget_greedy,wide_legacy,success,success,77846,77846,0.0
case_083,2,5,budget_greedy,wide_legacy,success,success,183856,184594,0.39979630973920877
