problem,method,control,pairs,successful_pairs,method_failures,control_failures,wins,ties,losses,mean_paired_reduction_pct,median_paired_reduction_pct
2,local_legacy,baseline,8,8,0,0,3,3,2,-5.705582305831262,0.0
2,budget_greedy,baseline,8,8,0,0,3,3,2,-5.581101608031434,0.0
2,budget_beam,baseline,8,8,0,0,3,3,2,-5.591796915605965,0.0
2,budget_greedy,local_legacy,8,8,0,0,2,4,2,-0.016838237296945557,0.0
2,budget_beam,local_legacy,8,8,0,0,1,5,2,-0.027640566051607973,0.0
2,budget_beam,budget_greedy,8,8,0,0,0,7,1,-0.010811672053534505,0.0
2,wide_legacy,baseline,8,8,0,0,3,3,2,-5.705582305831262,0.0
2,wide_legacy,local_legacy,8,8,0,0,0,8,0,0.0,0.0
2,budget_greedy,wide_legacy,8,8,0,0,2,4,2,-0.016838237296945557,0.0
2,budget_beam,wide_legacy,8,8,0,0,1,5,2,-0.027640566051607973,0.0
3,local_legacy,baseline,8,8,0,0,4,2,2,0.6090811110456187,0.00015305497734763307
3,budget_greedy,baseline,8,8,0,0,3,3,2,0.4395822674363198,0.0
3,budget_beam,baseline,8,8,0,0,4,1,3,0.4309543527841228,0.00015305497734763307
3,budget_greedy,local_legacy,8,8,0,0,0,5,3,-0.17205322673480294,0.0
3,budget_beam,local_legacy,8,8,0,0,0,4,4,-0.18065894262734583,-0.00276152215100689
3,budget_beam,budget_greedy,8,8,0,0,2,4,2,-0.008624679432979454,0.0
3,wide_legacy,baseline,8,8,0,0,3,3,2,0.6090428473012819,0.0
3,wide_legacy,local_legacy,8,8,0,0,0,7,1,-3.8263861465437365e-05,0.0
3,budget_greedy,wide_legacy,8,8,0,0,0,6,2,-0.1720149628733375,0.0
3,budget_beam,wide_legacy,8,8,0,0,1,3,4,-0.18062067888300892,-0.00276152215100689
