case,problem,cores,method,call,phase,status,best_makespan
case_094,2,5,local_legacy,1,component,success,24943
case_094,2,5,local_legacy,2,component,success,24943
case_094,2,5,local_legacy,3,wcc,success,24943
case_094,2,5,local_legacy,4,wcc,success,22294
case_094,2,5,local_legacy,5,component,success,22294
case_094,2,5,local_legacy,6,wcc,success,17755
case_094,2,5,local_legacy,7,structure_pair,success,17465
case_094,2,5,local_legacy,8,legacy,success,17465
case_094,2,5,local_legacy,9,legacy,success,17465
case_094,2,5,local_legacy,10,structure,success,17465
case_094,2,5,local_legacy,11,legacy,success,17465
case_094,2,5,local_legacy,12,legacy,success,17465
case_021,2,5,baseline,1,component,success,1250168
case_021,2,5,baseline,2,component,success,1250168
case_021,2,5,baseline,3,wcc,success,1250168
case_021,2,5,baseline,4,wcc,success,1250168
case_021,2,5,baseline,5,wcc_probe,success,1250168
case_021,2,5,baseline,6,operation,success,1250168
case_021,2,5,baseline,7,operation,success,1250168
case_021,2,5,baseline,8,trace,success,1250168
case_021,2,5,baseline,9,trace,success,1250168
case_021,2,5,baseline,10,component,success,1250168
case_021,2,5,baseline,11,wcc,success,1250168
case_021,2,5,baseline,12,operation,success,1250168
case_094,3,5,baseline,1,component,success,24943
case_094,3,5,baseline,2,component,success,24943
case_094,3,5,baseline,3,wcc,success,24943
case_094,3,5,baseline,4,wcc,success,21651
case_094,3,5,baseline,5,component,success,21651
case_094,3,5,baseline,6,wcc,success,16819
case_094,3,5,baseline,7,component,success,16819
case_094,3,5,baseline,8,wcc,success,16819
case_094,3,5,baseline,9,component,success,16819
case_094,3,5,baseline,10,wcc,success,16819
case_094,3,5,baseline,11,component,success,16819
case_094,3,5,baseline,12,wcc,success,16819
case_021,3,5,local_legacy,1,component,success,1249380
case_021,3,5,local_legacy,2,component,success,1249380
case_021,3,5,local_legacy,3,wcc,success,1249380
case_021,3,5,local_legacy,4,wcc,success,1249380
case_021,3,5,local_legacy,5,wcc_probe,success,1249380
case_021,3,5,local_legacy,6,operation,success,1249380
case_021,3,5,local_legacy,7,legacy,success,1249380
case_021,3,5,local_legacy,8,legacy,success,1249311
case_021,3,5,local_legacy,9,structure,success,1249311
case_021,3,5,local_legacy,10,legacy,success,1249311
case_021,3,5,local_legacy,11,legacy,success,1249311
case_021,3,5,local_legacy,12,legacy,success,1249311
case_074,3,5,budget_greedy,1,component,success,340313
case_074,3,5,budget_greedy,2,component,success,340313
case_074,3,5,budget_greedy,3,wcc,success,338899
case_074,3,5,budget_greedy,4,wcc,success,338899
case_074,3,5,budget_greedy,5,wcc_probe,success,326680
case_074,3,5,budget_greedy,6,operation,success,326680
case_074,3,5,budget_greedy,7,structure,success,326680
case_074,3,5,budget_greedy,8,structure_pair,success,326680
case_074,3,5,budget_greedy,9,legacy,success,326680
case_074,3,5,budget_greedy,10,data,success,326680
case_074,3,5,budget_greedy,11,structure,success,326680
case_074,3,5,budget_greedy,12,region,success,326680
case_040,3,5,local_legacy,1,component,success,110337
case_040,3,5,local_legacy,2,component,success,110337
case_040,3,5,local_legacy,3,wcc,success,104152
case_040,3,5,local_legacy,4,wcc,success,104152
case_040,3,5,local_legacy,5,operation,success,104152
case_040,3,5,local_legacy,6,operation,success,102896
case_040,3,5,local_legacy,7,legacy,success,102896
case_040,3,5,local_legacy,8,legacy,success,93654
case_040,3,5,local_legacy,9,structure,success,93654
case_040,3,5,local_legacy,10,structure_pair,success,93654
case_040,3,5,local_legacy,11,legacy,success,93654
case_040,3,5,local_legacy,12,legacy,success,93494
case_058,2,5,wide_legacy,1,component,success,1004819
case_058,2,5,wide_legacy,2,component,success,1004819
case_058,2,5,wide_legacy,3,wcc,success,1004819
case_058,2,5,wide_legacy,4,wcc,success,1004819
case_058,2,5,wide_legacy,5,component,success,933280
case_058,2,5,wide_legacy,6,wcc,success,933280
case_058,2,5,wide_legacy,7,legacy,success,933280
case_058,2,5,wide_legacy,8,legacy,success,911208
case_058,2,5,wide_legacy,9,structure,success,911208
