problem,method,control,pairs,successful_pairs,wins,ties,losses,mean_paired_reduction_pct
2,local_legacy,baseline,8,8,3,3,2,-5.705582305831262
2,budget_greedy,baseline,8,8,3,3,2,-5.581101608031434
2,budget_beam,baseline,8,8,3,3,2,-5.591796915605965
2,budget_greedy,local_legacy,8,8,2,4,2,-0.016838237296945557
2,budget_beam,local_legacy,8,8,1,5,2,-0.027640566051607973
2,budget_beam,budget_greedy,8,8,0,7,1,-0.010811672053534505
2,wide_legacy,baseline,8,8,3,3,2,-5.705582305831262
2,wide_legacy,local_legacy,8,8,0,8,0,0.0
2,budget_greedy,wide_legacy,8,8,2,4,2,-0.016838237296945557
2,budget_beam,wide_legacy,8,8,1,5,2,-0.027640566051607973
3,local_legacy,baseline,8,8,4,2,2,0.6090811110456187
3,budget_greedy,baseline,8,8,3,3,2,0.4395822674363198
3,budget_beam,baseline,8,8,4,1,3,0.4309543527841228
3,budget_greedy,local_legacy,8,8,0,5,3,-0.17205322673480294
3,budget_beam,local_legacy,8,8,0,4,4,-0.18065894262734583
3,budget_beam,budget_greedy,8,8,2,4,2,-0.008624679432979454
3,wide_legacy,baseline,8,8,3,3,2,0.6090428473012819
3,wide_legacy,local_legacy,8,8,0,7,1,-3.8263861465437365e-05
3,budget_greedy,wide_legacy,8,8,0,6,2,-0.1720149628733375
3,budget_beam,wide_legacy,8,8,1,3,4,-0.18062067888300892
