case,problem,cores,method,control,method_status,control_status,method_time,control_time,reduction_pct
case_094,2,5,local_legacy,baseline,success,success,17465,17755,1.6333427203604645
case_021,2,5,local_legacy,baseline,success,success,1250168,1250168,0.0
case_009,2,5,local_legacy,baseline,success,success,77091,52200,-47.68390804597702
case_058,2,5,local_legacy,baseline,success,success,911208,933280,2.3649922852734484
case_029,2,5,local_legacy,baseline,success,success,9383,9383,0.0
case_074,2,5,local_legacy,baseline,success,success,329790,333090,0.9907232279564027
case_060,2,5,local_legacy,baseline,success,success,164455,164455,0.0
case_040,2,5,local_legacy,baseline,success,success,103829,100854,-2.9498086342633956
case_074,2,5,budget_greedy,baseline,success,success,329505,333090,1.0762856885526473
case_094,2,5,budget_greedy,baseline,success,success,17465,17755,1.6333427203604645
case_040,2,5,budget_greedy,baseline,success,success,103922,100854,-3.0420211394689423
case_029,2,5,budget_greedy,baseline,success,success,9383,9383,0.0
case_021,2,5,budget_greedy,baseline,success,success,1250168,1250168,0.0
case_058,2,5,budget_greedy,baseline,success,success,932997,933280,0.030323161323508874
case_009,2,5,budget_greedy,baseline,success,success,75349,52200,-44.34674329501915
case_060,2,5,budget_greedy,baseline,success,success,164455,164455,0.0
case_094,2,5,budget_beam,baseline,success,success,17465,17755,1.6333427203604645
case_058,2,5,budget_beam,baseline,success,success,932997,933280,0.030323161323508874
case_029,2,5,budget_beam,baseline,success,success,9383,9383,0.0
case_060,2,5,budget_beam,baseline,success,success,164455,164455,0.0
case_009,2,5,budget_beam,baseline,success,success,75349,52200,-44.34674329501915
case_040,2,5,budget_beam,baseline,success,success,103922,100854,-3.0420211394689423
case_074,2,5,budget_beam,baseline,success,success,329790,333090,0.9907232279564027
case_021,2,5,budget_beam,baseline,success,success,1250168,1250168,0.0
case_074,2,5,budget_greedy,local_legacy,success,success,329505,329790,0.08641863003729933
case_094,2,5,budget_greedy,local_legacy,success,success,17465,17465,0.0
case_040,2,5,budget_greedy,local_legacy,success,success,103922,103829,-0.08957035125061186
case_029,2,5,budget_greedy,local_legacy,success,success,9383,9383,0.0
case_021,2,5,budget_greedy,local_legacy,success,success,1250168,1250168,0.0
case_058,2,5,budget_greedy,local_legacy,success,success,932997,911208,-2.3912213237811786
case_009,2,5,budget_greedy,local_legacy,success,success,75349,77091,2.2596671466189266
case_060,2,5,budget_greedy,local_legacy,success,success,164455,164455,0.0
case_094,2,5,budget_beam,local_legacy,success,success,17465,17465,0.0
case_058,2,5,budget_beam,local_legacy,success,success,932997,911208,-2.3912213237811786
case_029,2,5,budget_beam,local_legacy,success,success,9383,9383,0.0
case_060,2,5,budget_beam,local_legacy,success,success,164455,164455,0.0
case_009,2,5,budget_beam,local_legacy,success,success,75349,77091,2.2596671466189266
case_040,2,5,budget_beam,local_legacy,success,success,103922,103829,-0.08957035125061186
case_074,2,5,budget_beam,local_legacy,success,success,329790,329790,0.0
case_021,2,5,budget_beam,local_legacy,success,success,1250168,1250168,0.0
case_094,2,5,budget_beam,budget_greedy,success,success,17465,17465,0.0
case_058,2,5,budget_beam,budget_greedy,success,success,932997,932997,0.0
case_029,2,5,budget_beam,budget_greedy,success,success,9383,9383,0.0
case_060,2,5,budget_beam,budget_greedy,success,success,164455,164455,0.0
case_009,2,5,budget_beam,budget_greedy,success,success,75349,75349,0.0
case_040,2,5,budget_beam,budget_greedy,success,success,103922,103922,0.0
case_074,2,5,budget_beam,budget_greedy,success,success,329790,329505,-0.08649337642827604
case_021,2,5,budget_beam,budget_greedy,success,success,1250168,1250168,0.0
case_058,2,5,wide_legacy,baseline,success,success,911208,933280,2.3649922852734484
case_009,2,5,wide_legacy,baseline,success,success,77091,52200,-47.68390804597702
case_021,2,5,wide_legacy,baseline,success,success,1250168,1250168,0.0
case_074,2,5,wide_legacy,baseline,success,success,329790,333090,0.9907232279564027
case_060,2,5,wide_legacy,baseline,success,success,164455,164455,0.0
case_094,2,5,wide_legacy,baseline,success,success,17465,17755,1.6333427203604645
case_040,2,5,wide_legacy,baseline,success,success,103829,100854,-2.9498086342633956
