case,problem,cores,method,control,method_status,control_status,method_time,control_time,reduction_pct
case_011,2,5,integrated,baseline,success,success,41537,46487,10.648138189171164
case_046,2,5,integrated,baseline,success,success,77846,77846,0.0
case_018,2,5,integrated,baseline,success,success,197737,197769,0.016180493403916696
case_083,2,5,integrated,baseline,success,success,304407,184594,-64.90622663791889
case_011,2,5,integrated,local_legacy,success,success,41537,45422,8.553124036810356
case_046,2,5,integrated,local_legacy,success,success,77846,77846,0.0
case_018,2,5,integrated,local_legacy,success,success,197737,197769,0.016180493403916696
case_083,2,5,integrated,local_legacy,success,success,304407,184771,-64.7482559492561
case_011,2,5,local_legacy,baseline,success,success,45422,46487,2.290963064942886
case_046,2,5,local_legacy,baseline,success,success,77846,77846,0.0
case_083,2,5,local_legacy,baseline,success,success,184771,184594,-0.09588610680737464
case_018,2,5,local_legacy,baseline,success,success,197769,197769,0.0
case_083,3,5,integrated,baseline,success,success,252350,184594,-36.70541837762875
case_046,3,5,integrated,baseline,success,success,77846,77846,0.0
case_011,3,5,integrated,baseline,success,success,41537,46329,10.343413412765223
case_018,3,5,integrated,baseline,success,success,196701,196701,0.0
case_083,3,5,integrated,local_legacy,success,success,252350,184843,-36.52126399160369
case_046,3,5,integrated,local_legacy,success,success,77846,77846,0.0
case_011,3,5,integrated,local_legacy,success,success,41537,45993,9.688430848172548
case_018,3,5,integrated,local_legacy,success,success,196701,196701,0.0
case_046,3,5,local_legacy,baseline,success,success,77846,77846,0.0
case_083,3,5,local_legacy,baseline,success,success,184843,184594,-0.13489062483071912
case_011,3,5,local_legacy,baseline,success,success,45993,46329,0.7252476850352907
case_018,3,5,local_legacy,baseline,success,success,196701,196701,0.0
