case,problem,cores,method,call,phase,status,best_makespan
case_046,3,5,local_legacy,1,component,success,108388
case_046,3,5,local_legacy,2,component,success,108388
case_046,3,5,local_legacy,3,wcc,success,108388
case_046,3,5,local_legacy,4,wcc,success,92391
case_046,3,5,local_legacy,5,component,success,92391
case_046,3,5,local_legacy,6,wcc,success,92391
case_046,3,5,local_legacy,7,legacy,success,92391
case_046,3,5,local_legacy,8,legacy,success,92391
case_046,3,5,local_legacy,9,structure,success,92391
case_046,3,5,local_legacy,10,structure_pair,success,77846
case_046,3,5,local_legacy,11,legacy,success,77846
case_046,3,5,local_legacy,12,legacy,success,77846
case_011,2,5,integrated,1,component,success,47287
case_011,2,5,integrated,2,component,success,47287
case_011,2,5,integrated,3,wcc,success,47287
case_011,2,5,integrated,4,wcc,success,46942
case_011,2,5,integrated,5,wcc_probe,success,46942
case_011,2,5,integrated,6,operation,success,46942
case_011,2,5,integrated,7,data,success,46942
case_011,2,5,integrated,8,region,success,41964
case_011,2,5,integrated,9,structure,success,41964
case_011,2,5,integrated,10,structure_pair,success,41964
case_011,2,5,integrated,11,legacy,success,41537
case_011,2,5,integrated,12,data,success,41537
case_083,3,5,local_legacy,1,component,success,310731
case_083,3,5,local_legacy,2,component,success,310731
case_083,3,5,local_legacy,3,wcc,success,310731
case_083,3,5,local_legacy,4,wcc,success,256114
case_083,3,5,local_legacy,5,component,success,256114
case_083,3,5,local_legacy,6,wcc,success,256114
case_083,3,5,local_legacy,7,structure_pair,success,184594
case_083,3,5,local_legacy,8,legacy,success,184594
case_083,3,5,local_legacy,9,legacy,success,184594
case_083,3,5,local_legacy,10,structure,success,184594
case_083,3,5,local_legacy,11,legacy,success,184594
case_083,3,5,local_legacy,12,legacy,success,184594
case_011,2,5,local_legacy,1,component,success,47287
case_011,2,5,local_legacy,2,component,success,47287
case_011,2,5,local_legacy,3,wcc,success,47287
case_011,2,5,local_legacy,4,wcc,success,46942
case_011,2,5,local_legacy,5,wcc_probe,success,46942
