case,problem,cores,method,call,phase,status,best_makespan
case_046,3,5,integrated,1,component,success,108388
case_046,3,5,integrated,2,component,success,108388
case_046,3,5,integrated,3,wcc,success,108388
case_046,3,5,integrated,4,wcc,success,92391
case_046,3,5,integrated,5,component,success,92391
case_046,3,5,integrated,6,wcc,success,92391
case_046,3,5,integrated,7,data,success,92391
case_046,3,5,integrated,8,region,success,92391
case_046,3,5,integrated,9,structure,success,92391
case_046,3,5,integrated,10,structure_pair,success,77846
case_046,3,5,integrated,11,legacy,success,77846
case_046,3,5,integrated,12,data,success,77846
case_046,3,5,integrated,13,region,success,77846
case_046,3,5,integrated,14,structure,success,77846
case_046,3,5,integrated,15,legacy,success,77846
case_046,3,5,integrated,16,data,success,77846
case_046,3,5,integrated,17,region,success,77846
case_046,3,5,integrated,18,structure,success,77846
case_046,3,5,integrated,19,legacy,success,77846
case_046,3,5,integrated,20,data,success,69084
case_046,3,5,integrated,21,region,success,69084
case_046,3,5,integrated,22,structure,success,69084
case_046,3,5,integrated,23,legacy,success,69084
case_046,3,5,integrated,24,data,success,69084
case_066,1,5,baseline,1,component,success,250449
case_066,1,5,baseline,2,component,success,249246
case_066,1,5,baseline,3,component,success,248521
case_066,1,5,baseline,4,partition,success,248503
case_066,1,5,baseline,5,partition,success,246351
case_066,1,5,baseline,6,partition,success,205062
case_066,1,5,baseline,7,partition,success,205062
case_066,1,5,baseline,8,partition,success,205062
case_066,1,5,baseline,9,partition,success,205062
case_066,1,5,baseline,10,partition,success,205062
case_066,1,5,baseline,11,partition,success,205062
case_066,1,5,baseline,12,partition,success,205062
case_066,1,5,baseline,13,partition,success,205062
case_066,1,5,baseline,14,partition,success,205062
case_066,1,5,baseline,15,partition,success,205062
case_066,1,5,baseline,16,partition,success,205062
case_066,1,5,baseline,17,partition,success,205062
case_066,1,5,baseline,18,partition,success,205062
case_066,1,5,baseline,19,partition,success,205062
case_066,1,5,baseline,20,partition,success,205062
case_066,1,5,baseline,21,tensor,success,205062
case_066,1,5,baseline,22,task_refine,success,199671
case_066,1,5,baseline,23,task_refine,success,199671
case_066,1,5,baseline,24,task_refine,success,199671
case_046,2,5,baseline,1,component,success,131039
case_046,2,5,baseline,2,component,success,131039
case_046,2,5,baseline,3,wcc,success,131039
case_046,2,5,baseline,4,wcc,success,93013
case_046,2,5,baseline,5,component,success,93013
case_046,2,5,baseline,6,wcc,success,93013
case_046,2,5,baseline,7,component,success,93013
case_046,2,5,baseline,8,wcc,success,93013
case_046,2,5,baseline,9,component,success,93013
case_046,2,5,baseline,10,wcc,success,77846
case_046,2,5,baseline,11,component,success,77846
case_046,2,5,baseline,12,wcc,success,77846
case_046,2,5,baseline,13,component,success,77846
case_046,2,5,baseline,14,component,success,77846
case_046,2,5,baseline,15,component,success,77846
case_046,2,5,baseline,16,component,success,77846
case_046,2,5,baseline,17,component,success,77846
case_046,2,5,baseline,18,component,success,77846
case_046,2,5,baseline,19,component,success,77846
case_046,2,5,baseline,20,component,success,77846
case_046,2,5,integrated,1,component,success,131039
case_046,2,5,integrated,2,component,success,131039
case_046,2,5,integrated,3,wcc,success,131039
case_046,2,5,integrated,4,wcc,success,93013
case_046,2,5,integrated,5,component,success,93013
case_046,2,5,integrated,6,wcc,success,93013
case_046,2,5,integrated,7,data,success,93013
case_046,2,5,integrated,8,region,success,93013
case_046,2,5,integrated,9,structure,success,93013
case_046,2,5,integrated,10,structure_pair,success,77846
case_046,2,5,integrated,11,legacy,success,77846
case_046,2,5,integrated,12,data,success,77846
case_046,2,5,integrated,13,region,success,77846
case_046,2,5,integrated,14,structure,success,77846
case_046,2,5,integrated,15,legacy,success,77846
case_046,2,5,integrated,16,data,success,77846
case_046,2,5,integrated,17,region,success,77846
case_046,2,5,integrated,18,structure,success,77846
case_046,2,5,integrated,19,data,success,77846
case_046,2,5,integrated,20,region,success,77846
case_046,2,5,integrated,21,structure,success,77846
case_046,2,5,integrated,22,data,success,77846
case_046,2,5,integrated,23,region,success,77846
case_046,2,5,integrated,24,structure,success,77846
case_046,3,5,baseline,1,component,success,108388
case_046,3,5,baseline,2,component,success,108388
case_046,3,5,baseline,3,wcc,success,108388
case_046,3,5,baseline,4,wcc,success,92391
case_046,3,5,baseline,5,component,success,92391
case_046,3,5,baseline,6,wcc,success,92391
case_046,3,5,baseline,7,component,success,92391
case_046,3,5,baseline,8,wcc,success,92391
case_046,3,5,baseline,9,component,success,92391
case_046,3,5,baseline,10,wcc,success,77846
case_046,3,5,baseline,11,component,success,77846
case_046,3,5,baseline,12,wcc,success,77846
case_046,3,5,baseline,13,component,success,77846
case_046,3,5,baseline,14,component,success,77846
case_046,3,5,baseline,15,component,success,77846
case_046,3,5,baseline,16,component,success,77846
case_046,3,5,baseline,17,component,success,77846
case_046,3,5,baseline,18,component,success,77846
case_046,3,5,baseline,19,component,success,77846
case_046,3,5,baseline,20,component,success,77846
case_066,1,5,integrated,1,component,success,250449
