case,problem,cores,method,call,phase,status,best_makespan
case_048,1,5,integrated,1,component,success,222220
case_048,1,5,integrated,2,partition,success,222220
case_048,1,5,integrated,3,partition,success,222220
case_048,1,5,integrated,4,partition,success,222220
case_048,1,5,integrated,5,tensor,success,222220
case_048,1,5,integrated,6,tensor,success,222220
case_048,1,5,integrated,7,joint,success,178194
case_048,1,5,integrated,8,structure,success,178194
case_048,1,5,integrated,9,joint,success,170743
case_048,1,5,integrated,10,legacy,success,170743
case_048,1,5,integrated,11,joint,success,162275
case_048,1,5,integrated,12,structure,success,162275
case_021,2,5,baseline,1,component,success,1250168
case_021,2,5,baseline,2,component,success,1250168
case_021,2,5,baseline,3,wcc,success,1250168
case_021,2,5,baseline,4,wcc,success,1250168
case_021,2,5,baseline,5,wcc_probe,success,1250168
case_021,2,5,baseline,6,operation,success,1250168
case_021,2,5,baseline,7,operation,success,1250168
case_021,2,5,baseline,8,trace,success,1250168
case_021,2,5,baseline,9,trace,success,1250168
case_021,2,5,baseline,10,component,success,1250168
case_021,2,5,baseline,11,wcc,success,1250168
case_021,2,5,baseline,12,operation,success,1250168
case_074,3,5,integrated,1,component,success,340313
case_074,3,5,integrated,2,component,success,340313
case_074,3,5,integrated,3,wcc,success,338899
case_074,3,5,integrated,4,wcc,success,338899
case_074,3,5,integrated,5,wcc_probe,success,332901
case_074,3,5,integrated,6,operation,success,332901
case_074,3,5,integrated,7,data,success,332901
case_074,3,5,integrated,8,region,success,332901
case_074,3,5,integrated,9,structure,success,332901
case_074,3,5,integrated,10,structure_pair,success,326692
case_074,3,5,integrated,11,legacy,success,326692
case_074,3,5,integrated,12,data,success,326679
case_090,3,5,baseline,1,component,success,509924
case_090,3,5,baseline,2,component,success,509924
case_090,3,5,baseline,3,wcc,success,509924
case_090,3,5,baseline,4,wcc,success,297764
case_090,3,5,baseline,5,component,success,297764
case_090,3,5,baseline,6,wcc,success,297764
case_090,3,5,baseline,7,component,success,297764
case_090,3,5,baseline,8,wcc,success,194679
case_090,3,5,baseline,9,component,success,194679
case_090,3,5,baseline,10,wcc,success,194679
case_090,3,5,baseline,11,component,success,194679
case_090,3,5,baseline,12,wcc,success,194679
case_021,2,5,integrated,1,component,success,1250168
case_021,2,5,integrated,2,component,success,1250168
case_021,2,5,integrated,3,wcc,success,1250168
case_021,2,5,integrated,4,wcc,success,1250168
case_021,2,5,integrated,5,wcc_probe,success,1250168
case_021,2,5,integrated,6,operation,success,1250168
case_021,2,5,integrated,7,data,success,1250168
case_021,2,5,integrated,8,region,success,1250168
case_021,2,5,integrated,9,structure,success,1250168
case_021,2,5,integrated,10,legacy,success,1250168
case_021,2,5,integrated,11,data,success,1250099
case_021,2,5,integrated,12,region,success,1250099
case_009,1,5,baseline,1,component,success,92225
case_009,1,5,baseline,2,component,success,92225
case_009,1,5,baseline,3,component,success,92225
case_009,1,5,baseline,4,partition,success,92207
case_009,1,5,baseline,5,partition,success,92207
case_009,1,5,baseline,6,partition,success,83830
case_009,1,5,baseline,7,partition,success,83830
case_009,1,5,baseline,8,partition,success,83830
case_009,1,5,baseline,9,task_refine,success,83830
case_009,1,5,baseline,10,task_refine,success,83830
case_009,1,5,baseline,11,task_refine,success,83830
case_009,1,5,baseline,12,task_refine,success,83830
case_090,3,5,local_legacy,1,component,success,509924
case_090,3,5,local_legacy,2,component,success,509924
case_090,3,5,local_legacy,3,wcc,success,509924
case_090,3,5,local_legacy,4,wcc,success,297764
case_090,3,5,local_legacy,5,component,success,297764
case_090,3,5,local_legacy,6,wcc,success,297764
case_090,3,5,local_legacy,7,structure_pair,success,194679
case_090,3,5,local_legacy,8,legacy,success,194679
case_090,3,5,local_legacy,9,legacy,success,194679
case_090,3,5,local_legacy,10,structure,success,194679
case_090,3,5,local_legacy,11,legacy,success,194679
case_090,3,5,local_legacy,12,legacy,success,194679
case_021,2,5,local_legacy,1,component,success,1250168
case_021,2,5,local_legacy,2,component,success,1250168
case_021,2,5,local_legacy,3,wcc,success,1250168
case_021,2,5,local_legacy,4,wcc,success,1250168
case_021,2,5,local_legacy,5,wcc_probe,success,1250168
case_021,2,5,local_legacy,6,operation,success,1250168
case_021,2,5,local_legacy,7,legacy,success,1250168
case_021,2,5,local_legacy,8,legacy,success,1250168
case_021,2,5,local_legacy,9,structure,success,1250168
case_021,2,5,local_legacy,10,structure,success,1250168
case_021,2,5,local_legacy,11,structure,success,1250168
case_021,2,5,local_legacy,12,structure,success,1250168
case_060,3,5,local_legacy,1,component,success,182869
case_060,3,5,local_legacy,2,component,success,182869
case_060,3,5,local_legacy,3,wcc,success,182869
case_060,3,5,local_legacy,4,wcc,success,178118
case_060,3,5,local_legacy,5,component,success,178118
case_060,3,5,local_legacy,6,wcc,success,160258
case_060,3,5,local_legacy,7,legacy,success,160258
case_060,3,5,local_legacy,8,legacy,success,160246
case_060,3,5,local_legacy,9,structure,success,160246
case_060,3,5,local_legacy,10,legacy,success,160246
case_060,3,5,local_legacy,11,legacy,success,160246
case_060,3,5,local_legacy,12,legacy,success,160246
case_088,1,5,baseline,1,component,success,202791
case_088,1,5,baseline,2,component,success,202791
case_088,1,5,baseline,3,component,success,202791
case_088,1,5,baseline,4,component,success,202791
case_088,1,5,baseline,5,partition,success,202791
case_088,1,5,baseline,6,partition,success,201088
case_088,1,5,baseline,7,partition,success,174545
case_088,1,5,baseline,8,partition,success,174545
case_088,1,5,baseline,9,task_refine,success,174545
case_088,1,5,baseline,10,task_refine,success,170858
case_088,1,5,baseline,11,task_refine,success,170858
case_088,1,5,baseline,12,task_refine,success,170858
case_071,1,5,integrated,1,component,success,18919
case_071,1,5,integrated,2,partition,success,18919
case_071,1,5,integrated,3,partition,success,18919
case_071,1,5,integrated,4,partition,success,13705
case_071,1,5,integrated,5,task_refine,success,12370
case_071,1,5,integrated,6,task_refine,success,11832
case_071,1,5,integrated,7,joint,success,11832
case_071,1,5,integrated,8,structure,success,11832
case_071,1,5,integrated,9,joint,success,11820
case_071,1,5,integrated,10,legacy,success,11496
case_071,1,5,integrated,11,joint,success,11496
case_071,1,5,integrated,12,structure,success,11496
case_094,2,5,local_legacy,1,component,success,24943
case_094,2,5,local_legacy,2,component,success,24943
case_094,2,5,local_legacy,3,wcc,success,24943
case_094,2,5,local_legacy,4,wcc,success,22294
case_094,2,5,local_legacy,5,component,success,22294
case_094,2,5,local_legacy,6,wcc,success,17755
case_094,2,5,local_legacy,7,structure_pair,success,17465
case_094,2,5,local_legacy,8,legacy,success,17465
case_094,2,5,local_legacy,9,legacy,success,17465
case_094,2,5,local_legacy,10,structure,success,17465
case_094,2,5,local_legacy,11,legacy,success,17465
case_094,2,5,local_legacy,12,legacy,success,17465
case_074,3,5,baseline,1,component,success,340313
case_074,3,5,baseline,2,component,success,340313
case_074,3,5,baseline,3,wcc,success,338899
case_074,3,5,baseline,4,wcc,success,338899
case_074,3,5,baseline,5,wcc_probe,success,326680
case_074,3,5,baseline,6,operation,success,326680
case_074,3,5,baseline,7,operation,success,326680
case_074,3,5,baseline,8,trace,success,326680
case_074,3,5,baseline,9,trace,success,326680
case_074,3,5,baseline,10,p3_cache,success,326680
case_074,3,5,baseline,11,p3_cache,success,326680
case_074,3,5,baseline,12,p3_cache,success,326680
case_094,3,5,baseline,1,component,success,24943
case_094,3,5,baseline,2,component,success,24943
case_094,3,5,baseline,3,wcc,success,24943
case_094,3,5,baseline,4,wcc,success,21651
case_094,3,5,baseline,5,component,success,21651
case_094,3,5,baseline,6,wcc,success,16819
case_094,3,5,baseline,7,component,success,16819
case_094,3,5,baseline,8,wcc,success,16819
case_094,3,5,baseline,9,component,success,16819
case_094,3,5,baseline,10,wcc,success,16819
case_094,3,5,baseline,11,component,success,16819
case_094,3,5,baseline,12,wcc,success,16819
case_090,3,5,integrated,1,component,success,509924
case_090,3,5,integrated,2,component,success,509924
case_090,3,5,integrated,3,wcc,success,509924
case_090,3,5,integrated,4,wcc,success,297764
case_090,3,5,integrated,5,component,success,297764
case_090,3,5,integrated,6,wcc,success,297764
case_090,3,5,integrated,7,structure_pair,success,194679
case_090,3,5,integrated,8,data,success,194679
case_090,3,5,integrated,9,region,success,194679
case_090,3,5,integrated,10,structure,success,194679
case_090,3,5,integrated,11,legacy,success,194679
case_090,3,5,integrated,12,data,success,194679
case_048,1,5,baseline,1,component,success,222220
case_048,1,5,baseline,2,partition,success,222220
case_048,1,5,baseline,3,partition,success,222220
case_048,1,5,baseline,4,partition,success,222220
case_048,1,5,baseline,5,partition,success,222220
case_048,1,5,baseline,6,partition,success,211661
case_048,1,5,baseline,7,partition,success,211661
case_048,1,5,baseline,8,partition,success,211661
case_048,1,5,baseline,9,tensor,success,211661
case_048,1,5,baseline,10,tensor,success,211661
case_048,1,5,baseline,11,task_refine,success,211661
case_048,1,5,baseline,12,task_refine,success,211661
case_094,3,5,integrated,1,component,success,24943
case_094,3,5,integrated,2,component,success,24943
case_094,3,5,integrated,3,wcc,success,24943
case_094,3,5,integrated,4,wcc,success,21651
case_094,3,5,integrated,5,component,success,21651
case_094,3,5,integrated,6,wcc,success,16819
case_094,3,5,integrated,7,structure_pair,success,16243
case_094,3,5,integrated,8,region,success,16243
case_094,3,5,integrated,9,data,success,16243
case_094,3,5,integrated,10,structure,success,16243
case_094,3,5,integrated,11,legacy,success,16243
case_094,3,5,integrated,12,region,success,16243
case_088,1,5,local_legacy,1,component,success,202791
case_088,1,5,local_legacy,2,component,success,202791
case_088,1,5,local_legacy,3,component,success,202791
case_088,1,5,local_legacy,4,component,success,202791
case_088,1,5,local_legacy,5,tensor,success,202791
case_088,1,5,local_legacy,6,tensor,success,202195
case_088,1,5,local_legacy,7,legacy,success,202195
case_088,1,5,local_legacy,8,legacy,success,200155
case_088,1,5,local_legacy,9,structure,success,200155
case_088,1,5,local_legacy,10,legacy,success,200155
case_088,1,5,local_legacy,11,legacy,success,198572
case_088,1,5,local_legacy,12,legacy,success,198572
case_009,1,5,integrated,1,component,success,92225
case_009,1,5,integrated,2,component,success,92225
case_009,1,5,integrated,3,component,success,92225
case_009,1,5,integrated,4,partition,success,92207
case_009,1,5,integrated,5,task_refine,success,92207
