problem,method,family,evaluations,incumbent_updates
1,integrated,joint,13,9
1,integrated,legacy,4,2
1,integrated,structure,7,1
1,local_legacy,legacy,16,3
1,local_legacy,structure,8,2
2,integrated,data,11,4
2,integrated,legacy,6,0
2,integrated,region,9,1
2,integrated,structure,6,1
2,integrated,structure_pair,4,3
2,local_legacy,legacy,21,0
2,local_legacy,structure,11,1
2,local_legacy,structure_pair,4,3
3,integrated,data,11,4
3,integrated,legacy,6,0
3,integrated,region,10,0
3,integrated,structure,6,0
3,integrated,structure_pair,3,3
3,local_legacy,legacy,27,4
3,local_legacy,structure,6,0
3,local_legacy,structure_pair,3,3
