group,problem,method,control,pairs,wins,ties,losses,mean_paired_reduction_pct,median_paired_reduction_pct,mean_gain_over_input_pct
development_v2,1,joint,legacy_neighborhood_same_loop,4,4,0,0,49.942859436993075,49.578089269878234,50.46809184865138
development_v2,2,joint,legacy_neighborhood_same_loop,4,3,1,0,2.929834269461984,1.6515799713686108,2.937033834594788
development_v2,3,joint,legacy_neighborhood_same_loop,4,2,1,1,0.6919671811787098,0.18639626781415952,0.8149373061032278
p3_ablation_development_v3,3,joint,legacy_neighborhood_same_loop,4,2,2,0,0.7729428219235918,0.13740067741729312,0.7904567202721646
p3_ablation_development_v3,3,region,legacy_neighborhood_same_loop,4,3,1,0,0.8029668411389634,0.19744871584803647,0.8204807394875363
p3_ablation_development_v3,3,reads,legacy_neighborhood_same_loop,4,0,3,1,-0.004793046886647501,0.0,0.012772479564032713
validation_v3,1,joint,legacy_neighborhood_same_loop,4,4,0,0,18.82779628919087,17.553801298693728,20.123326044649396
validation_v3,2,joint,legacy_neighborhood_same_loop,4,3,1,0,0.6795885141346103,0.2664177839400206,0.7276444676382415
validation_v3,3,joint,legacy_neighborhood_same_loop,4,0,3,1,-0.6934233807660672,0.0,0.9460594465960537
p3_reads_validation_v3,3,reads,legacy_neighborhood_same_loop,2,1,1,0,0.18052516411378727,0.18052516411378727,0.41380812370684916
