group,case,problem,cores,policy,cap,calls,before,after,reduction_pct
development_v2,case_047,1,5,legacy,12,3,321049,318650,0.7472379605605428
development_v2,case_047,1,5,legacy,24,3,321049,318650,0.7472379605605428
development_v2,case_048,1,5,legacy,12,6,211661,211661,0.0
development_v2,case_048,1,5,legacy,24,6,211661,211661,0.0
development_v2,case_048,1,5,joint,12,12,211661,134494,36.45782642999892
development_v2,case_048,1,5,joint,24,24,211661,134494,36.45782642999892
development_v2,case_075,1,5,legacy,12,12,1322078,1288461,2.542739535791383
development_v2,case_075,1,5,legacy,24,24,1322078,1283702,2.9027031687994254
development_v2,case_047,1,5,joint,12,12,321049,234824,26.857271008475337
development_v2,case_047,1,5,joint,24,24,321049,214215,33.27654034119403
development_v2,case_075,1,5,joint,12,12,1322078,478842,63.78110822508203
development_v2,case_075,1,5,joint,24,24,1322078,478842,63.78110822508203
development_v2,case_085,1,5,legacy,12,12,2760933,2724591,1.3162941657765659
development_v2,case_085,1,5,legacy,24,24,2760933,2716647,1.6040229878812706
development_v2,case_009,2,5,legacy,12,12,51486,51486,0.0
development_v2,case_009,2,5,legacy,24,24,51486,51486,0.0
development_v2,case_009,2,5,joint,12,12,51486,50149,2.59682243716739
development_v2,case_009,2,5,joint,24,24,51486,50086,2.7191857980810363
development_v2,case_009,3,5,legacy,12,12,46976,46976,0.0
development_v2,case_009,3,5,legacy,24,24,46976,46943,0.07024863760217714
development_v2,case_009,3,5,joint,12,12,46976,46814,0.3448569482288777
development_v2,case_009,3,5,joint,24,24,46976,46768,0.44277929155313034
development_v2,case_048,2,5,legacy,12,12,98926,98926,0.0
development_v2,case_048,2,5,legacy,24,24,98926,98926,0.0
development_v2,case_048,2,5,joint,12,12,98926,98926,0.0
development_v2,case_048,2,5,joint,24,24,98926,98926,0.0
development_v2,case_048,3,5,legacy,12,12,98781,98366,0.42012127838348956
development_v2,case_048,3,5,legacy,24,24,98781,98366,0.42012127838348956
development_v2,case_048,3,5,joint,12,12,98781,98781,0.0
development_v2,case_048,3,5,joint,24,24,98781,98781,0.0
development_v2,case_071,2,5,legacy,12,12,8852,8852,0.0
development_v2,case_071,2,5,legacy,24,24,8852,8852,0.0
development_v2,case_071,2,5,joint,12,12,8852,8171,7.693176683235425
development_v2,case_071,2,5,joint,24,24,8852,8107,8.416177135110715
development_v2,case_071,3,5,legacy,12,12,7494,7494,0.0
development_v2,case_071,3,5,legacy,24,24,7494,7494,0.0
development_v2,case_071,3,5,joint,12,12,7494,7494,0.0
development_v2,case_071,3,5,joint,24,24,7494,7494,0.0
development_v2,case_088,2,5,legacy,12,12,89756,89756,0.0
development_v2,case_088,2,5,legacy,24,24,89756,89730,0.028967422790682207
development_v2,case_088,2,5,joint,12,12,89756,89265,0.547038638085473
development_v2,case_088,2,5,joint,24,24,89756,89206,0.6127724051874006
development_v2,case_088,3,5,legacy,12,12,82216,82216,0.0
development_v2,case_088,3,5,legacy,24,24,82216,82216,0.0
development_v2,case_088,3,5,joint,12,12,82216,79926,2.7853459180694706
development_v2,case_088,3,5,joint,24,24,82216,79900,2.816969932859781
development_v2,case_085,1,5,joint,12,12,2760933,881211,68.08285460023839
development_v2,case_085,1,5,joint,24,24,2760933,873645,68.35689239833056
