problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7845240217708962,1.7954762975176894,0.7049299401631223,3
1,3,100,2.4258366812151126,2.458405141136818,1.7497669070378117,4
1,4,100,3.031382274785021,3.076481955512431,2.0530652636874986,4
1,5,100,3.576101091454332,3.699733988697016,4.983246889671418,15
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.9150573229544356,2.9159353866665465,0.03472320521510819,2
2,4,100,3.6104932852866987,3.6104932852866987,0.0,0
2,5,100,4.478270358530766,4.482065713059175,0.14994317600093188,7
3,2,100,2.0483501485922906,2.0483501485922906,0.0,0
3,3,100,2.931447150654599,2.932845619607986,0.06100471064831037,2
3,4,100,3.6446645920474876,3.6446645920474876,0.0,0
3,5,100,4.585688676618223,4.589334321797324,0.12412165091050953,8
