case,component,adaptive,hybrid,hybrid_vs_component_reduction_pct,hybrid_vs_adaptive_reduction_pct
case_009,92198,83830,83830,9.076118787826204,0.0
case_017,35496,35496,35496,0.0,0.0
case_018,205917,205917,205917,0.0,0.0
case_023,24268,24268,23846,1.738915444206357,1.738915444206357
case_024,2555343,2555343,2555343,0.0,0.0
case_026,41688,41688,41665,0.05517175206294356,0.05517175206294356
case_027,558753,558753,558753,0.0,0.0
case_036,187182,187182,187182,0.0,0.0
case_042,358345,351786,342220,4.499853493142081,2.7192668269914066
case_048,222220,211661,222220,0.0,-4.988637491082448
case_050,108121,78548,77776,28.065778155954902,0.9828385191220645
case_064,19116,16469,16370,14.364929901653067,0.6011293946201923
case_068,302408,268666,268666,11.157773603872911,0.0
case_074,332092,334798,331718,0.11261939462559045,0.919957705840535
case_093,15876,15876,15876,0.0,0.0
case_100,57811,57971,57811,0.0,0.2760000690000153
