batch,case,cores,name,status,makespan,accepted,cache_hit,official_record,tensor_threshold,cheap_cycles,heavy_links,cheap_links,initial_groups,tasks,scc_groups_eliminated,active_limit,task_bound,ddr_bound,lower_bound,proxy,mandatory_boundary_bytes,task_count,max_task_ops,core_ownership_preserved
融合张量精修_v1,case_003,5,tensor4096_cheap256_active5,success,500657,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020212-39ae22f0fe4e40179f6bff0f73963be4/record.json,4096,256,369,16597,617,112,505,5,351364,52832,351364,374101.3666666667,3123668,,,
融合张量精修_v1,case_003,5,tensor4096_cheap256_active3,success,504527,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020222-5d9c28df9708436d81c518b78bc8ff45/record.json,4096,256,369,16597,617,112,505,3,359708,52832,359708,385216.9,3123668,,,
融合张量精修_v1,case_003,5,tensor4096_cheap64_active5,success,527356,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020232-492c954a2cb14aea857e8047dbbdf110/record.json,4096,64,369,13137,2944,530,2414,5,363678,70604,363678,389609.80000000005,4133222,,,
融合张量精修_v1,case_016,5,tensor4096_cheap64_active5,success,4026098,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020212-f369da3840494259812e298862b132f3/record.json,4096,64,10980,3050,3965,3965,0,5,2357855,2013293,2357855,2857871.8000000156,119953426,,,
融合张量精修_v1,case_016,5,tensor4096_cheap0_active5,success,4082154,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020228-f5fc446321e64537ba5db2be43ccf310/record.json,4096,0,10980,0,7015,7015,0,5,2574703,2019393,2574703,2908593.5333333225,119965626,,,
融合张量精修_v1,case_016,5,tensor4096_cheap64_active3,success,4697398,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020256-f17beeaadfe746488fad6af77b718d1c/record.json,4096,64,10980,3050,3965,3965,0,3,3301235,2013293,3301235,3967842.733333398,119953426,,,
融合张量跨核_v1,case_016,2,tensor4096_cheap64_active2,success,5376062,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020356-cde65ffafab14a93b145cf9d00e992ff/record.json,4096,64,10980,3050,3965,3965,0,2,4367195,2013293,4367195,5366984.600000153,119953426,,,
融合张量跨核_v1,case_016,2,tensor4096_cheap0_active2,success,5619775,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020416-47934fa956c34a859db9afdba46d5a01/record.json,4096,0,10980,0,7015,7015,0,2,4603600,2019393,4603600,5603510.933333772,119965626,,,
融合张量跨核_v1,case_016,3,tensor4096_cheap64_active3,success,4697398,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020356-dafaeb25e25a4d84ab7b5aa139faac7a/record.json,4096,64,10980,3050,3965,3965,0,3,3301235,2013293,3301235,3967842.733333398,119953426,,,
融合张量跨核_v1,case_016,3,tensor4096_cheap0_active3,success,5007806,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020414-c66b7963860f4a269004a3b5cb99378c/record.json,4096,0,10980,0,7015,7015,0,3,3605241,2019393,3605241,4271727.00000008,119965626,,,
融合张量跨核_v1,case_016,4,tensor4096_cheap64_active4,success,4232514,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020448-fe1ec5e25ac947399fc25d495371c6bc/record.json,4096,64,10980,3050,3965,3965,0,4,2631455,2013293,2631455,3131471.800000024,119953426,,,
融合张量跨核_v1,case_016,4,tensor4096_cheap0_active4,success,4545411,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020504-4971f33d4a2a47b38bfab90e2f950a4e/record.json,4096,0,10980,0,7015,7015,0,4,2936135,2019393,2936135,3436029.800000026,119965626,,,
融合张量细化_v1,case_016,5,merge8,success,3304638,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020507-ca5213cedbd54ab2807f342f7099892f/record.json,,,,,,,,,2327355,2011773,2327355,,119950386,2440,11,True
融合张量细化_v1,case_016,5,merge16,success,3820239,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020517-edf7f624715b442bbe350695979a4469/record.json,,,,,,,,,2934039,2011165,2934039,,119949170,1830,15,True
融合张量跨核细化_v1,case_016,2,merge8,success,4840474,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020659-77f51785576f4984af8d5cd6e42fd275/record.json,,,,,,,,,4275695,2011469,4275695,,119949778,2135,11,True
融合张量跨核细化_v1,case_016,3,merge8,success,3971606,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020659-af3e9870eaac4f17a93d7032f36fa97c/record.json,,,,,,,,,3240235,2011469,3240235,,119949778,2135,11,True
融合张量跨核细化_v1,case_016,3,merge16,success,4476022,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020708-1ce0314b4d434690b56251b9d5e76a42/record.json,,,,,,,,,3846919,2010557,3846919,,119947954,1220,16,True
融合张量跨核细化_v1,case_016,4,merge8,success,3667614,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020709-7ea4e07017504ac381e157ec52986fe7/record.json,,,,,,,,,2600955,2012077,2600955,,119950994,2745,11,True
融合张量跨核细化_v1,case_016,4,merge16,success,3897370,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020721-b08b69bf5b9741d9b06ed8a83da1267a/record.json,,,,,,,,,3207639,2010861,3207639,,119948562,1525,15,True
