case,method,seeds,distinct_winning_plans,min_makespan,max_makespan
case_002,component,3,1,261945,261945
case_002,adaptive,3,1,114925,114925
case_002,hybrid,3,3,114539,114539
case_015,component,3,1,43411,43411
case_015,adaptive,3,1,43411,43411
case_015,hybrid,3,1,43411,43411
case_037,component,3,3,43013,43013
case_037,adaptive,3,1,43013,43013
case_037,hybrid,3,1,43013,43013
case_038,component,3,3,279703,283353
case_038,adaptive,3,3,279703,283793
case_038,hybrid,3,3,276053,278976
case_066,component,3,1,247923,247923
case_066,adaptive,3,1,205062,205062
case_066,hybrid,3,3,199028,200034
case_071,component,3,1,18919,18919
case_071,adaptive,3,1,13396,13396
case_071,hybrid,3,2,11491,13396
case_081,component,3,1,30943,30943
case_081,adaptive,3,1,30943,30943
case_081,hybrid,3,1,30943,30943
case_086,component,3,1,118403,118403
case_086,adaptive,3,1,95806,95806
case_086,hybrid,3,3,95409,95717
