case,problem,cores,policy,allowed_time_regression,makespan,added_copy,actual_time_regression,bytes_saved,plan_member
case_019,2,5,legacy,0,22206,81504,0.0,0,plans/a2793544b545f430005d3dbe1e8ca84ad18612e45e12320d135be40020b25b8c.json
case_019,2,5,legacy,0.01,22206,81504,0.0,0,plans/a2793544b545f430005d3dbe1e8ca84ad18612e45e12320d135be40020b25b8c.json
case_019,2,5,legacy,0.03,22206,81504,0.0,0,plans/a2793544b545f430005d3dbe1e8ca84ad18612e45e12320d135be40020b25b8c.json
case_019,2,5,paired_w200,0,17651,821096,0.0,0,plans/0fa785e2ef6c27974e0a053a34fcbb4fc5933de6f0b0fada09a140a4f8256690.json
case_019,2,5,paired_w200,0.01,17691,817004,0.0022661605574754162,4092,plans/e8a8561b004a2724a443d204239ea446a28a764ef5fb8f6cd1021fb46f66397e.json
case_019,2,5,paired_w200,0.03,17691,817004,0.0022661605574754162,4092,plans/e8a8561b004a2724a443d204239ea446a28a764ef5fb8f6cd1021fb46f66397e.json
case_019,3,5,legacy,0,22206,80224,0.0,0,plans/adf2a40e409992dfdeb74bc07791531d083d46d76370fcd55381b79e8f91634f.json
case_019,3,5,legacy,0.01,22206,80224,0.0,0,plans/adf2a40e409992dfdeb74bc07791531d083d46d76370fcd55381b79e8f91634f.json
case_019,3,5,legacy,0.03,22206,80224,0.0,0,plans/adf2a40e409992dfdeb74bc07791531d083d46d76370fcd55381b79e8f91634f.json
case_019,3,5,paired_w200,0,15716,817004,0.0,0,plans/2dd0d4b4eef9935e5b2469cec87c2b453574e95196055b1d48914765d61a0e26.json
case_019,3,5,paired_w200,0.01,15781,801900,0.0041359124459150465,15104,plans/28ba0ab35eb8aa374a2ca5df2a0c02d0260383b1933f6bc12ab51cb9fe555875.json
case_019,3,5,paired_w200,0.03,15781,801900,0.0041359124459150465,15104,plans/28ba0ab35eb8aa374a2ca5df2a0c02d0260383b1933f6bc12ab51cb9fe555875.json
case_035,2,5,legacy,0,80677,0,0.0,0,plans/f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481.json
case_035,2,5,legacy,0.01,80677,0,0.0,0,plans/f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481.json
case_035,2,5,legacy,0.03,80677,0,0.0,0,plans/f6dcd3f9c7aefb903c9c639befa9cc4eb6cd26a47fb5aed5c4f7e0b81b360481.json
case_035,2,5,paired_w200,0,41872,1130592,0.0,0,plans/4e92b9bc9b98b3396de2ba5c9cc11505dd96ffd690504a0cb6bdf11c9c026444.json
case_035,2,5,paired_w200,0.01,41906,1130528,0.0008119984715322381,64,plans/b23b11eaf2f379d7333e7772ca3ad5e239af417c87723a537d2e0136aacbcdd1.json
case_035,2,5,paired_w200,0.03,41906,1130528,0.0008119984715322381,64,plans/b23b11eaf2f379d7333e7772ca3ad5e239af417c87723a537d2e0136aacbcdd1.json
case_035,3,5,legacy,0,40778,1130532,0.0,0,plans/00a42463894648589a3e2949a5e0b85e05b328ad3af558a38c31b66d59dc0e0a.json
case_035,3,5,legacy,0.01,40778,1130532,0.0,0,plans/00a42463894648589a3e2949a5e0b85e05b328ad3af558a38c31b66d59dc0e0a.json
case_035,3,5,legacy,0.03,40778,1130532,0.0,0,plans/00a42463894648589a3e2949a5e0b85e05b328ad3af558a38c31b66d59dc0e0a.json
case_035,3,5,paired_w200,0,40240,1134624,0.0,0,plans/215d302431824927f32c52bde8572281c05d80ef892c572094a6774bd1b3f71b.json
case_035,3,5,paired_w200,0.01,40353,1130528,0.0028081510934394593,4096,plans/22eb50b35ed94700437786f8e1d70a07d01c0351b5fcd7e96c51df277cfdf3b5.json
case_035,3,5,paired_w200,0.03,40353,1130528,0.0028081510934394593,4096,plans/22eb50b35ed94700437786f8e1d70a07d01c0351b5fcd7e96c51df277cfdf3b5.json
case_049,2,5,legacy,0,102732,5301640,0.0,0,plans/5d99ada9b6080d8cb46d6176146cb6fb77a7d8c61e1d4de9353a093b98dcea17.json
case_049,2,5,legacy,0.01,102732,5301640,0.0,0,plans/5d99ada9b6080d8cb46d6176146cb6fb77a7d8c61e1d4de9353a093b98dcea17.json
