case,problem,cores,group,legacy_makespan,legacy_speedup,legacy_copy,legacy_calls,legacy_failures,legacy_seconds,legacy_logged_generation_seconds,legacy_byte_hit_rate,paired_w200_makespan,paired_w200_speedup,paired_w200_copy,paired_w200_calls,paired_w200_failures,paired_w200_seconds,paired_w200_logged_generation_seconds,paired_w200_byte_hit_rate,time_reduction,copy_delta,outcome,lexicographic_outcome
case_019,2,5,development,22206,3.6541475276952173,81504,24,0,5.2842172919772565,0.4574745679856278,,17651,4.5971333068947935,821096,24,0,6.0375152500055265,0.43335506503353827,,0.20512474106097456,739592,win,win
case_019,3,5,development,22206,3.6541475276952173,80224,24,0,5.142715377995046,0.401417011016747,0.06527199263662033,15716,5.163145838635785,817004,23,0,6.539758823986631,0.4388046279200353,0.21860349321663283,0.2922633522471404,736780,win,win
case_035,2,5,development,80677,2.10185058938731,0,24,0,22.73595071802265,2.222436107986141,,41872,4.049746847535346,1130592,24,0,27.019712034001714,2.242492184974253,,0.4809921043172156,1130592,win,win
case_035,3,5,development,40778,4.158394232184021,1130532,24,0,24.716840211011004,2.586876425979426,0.34067248273355144,40240,4.213991053677932,1134624,24,0,29.57716446899576,2.122499449935276,0.33788138473534124,0.013193388591887789,4092,win,win
case_049,2,5,development,102732,1.9105634077015925,5301640,24,0,35.8657419809897,1.951515669003129,,54056,3.630975284889744,1791328,24,0,25.197909454000182,2.120451703987783,,0.47381536424872484,-3510312,win,win
case_049,3,5,development,95813,2.0485320363624977,5284936,24,0,33.503052012005355,1.596422116010217,0.1523863246603417,52444,3.742582564259019,1782112,23,0,28.962809402990388,1.8221406959637534,0.23688833590224517,0.4526421258075627,-3502824,win,win
case_050,2,5,development,96590,1.5497463505538875,13824,24,0,22.793818709003972,1.8453288539603818,,38803,3.857691415612195,1481220,24,0,25.99327651099884,2.089487939985702,,0.5982710425509887,1467396,win,win
case_050,3,5,development,96617,1.5493132678514132,16128,24,0,23.539465603011195,1.8026351850130595,0.034581717318476,34841,4.296374960535002,1473120,24,0,27.582825096993474,1.9068433710199315,0.34793394811335476,0.6393905834376973,1456992,win,win
case_066,2,5,development,143083,2.509522445014432,6000546,24,0,44.97356717099319,2.496164735988714,,89257,4.022877757486808,3267972,24,0,35.01669836899964,2.935512506053783,,0.3761872479609737,-2732574,win,win
case_066,3,5,development,124922,2.874353596644306,6000546,24,0,48.79475264099892,2.575625958997989,0.29008532297500744,81139,4.425368811545619,3267848,23,0,35.20044056000188,2.4471754739643075,0.387896276385485,0.35048270120555225,-2732698,win,win
case_001,2,5,regression,47502,4.9073723211654245,4608,24,0,5.01238102701609,0.381825932970969,,47502,4.9073723211654245,4608,23,0,4.685311383975204,0.43738515401491895,,0.0,0,tie,tie
case_001,3,5,regression,47502,4.9073723211654245,4608,24,0,5.48875025101006,0.35328093598946,0.0,47502,4.9073723211654245,4608,23,0,4.542424699990079,0.3118153869872913,0.0,0.0,0,tie,tie
case_009,2,5,regression,42596,3.598013898018593,1332918,24,0,31.01521803601645,2.391522593970876,,45261,3.3861602704314975,1428774,24,0,30.75997323199408,2.7569953219790477,,-0.06256456005258704,95856,loss,loss
case_009,3,5,regression,37274,4.111740086923861,1327286,24,0,31.815544029028388,1.9362994599796366,0.36854246992413386,41281,3.7126280855599427,1428774,24,0,34.32853107500705,2.504137595969951,0.37014280946589234,-0.10750120727584922,101488,loss,loss
case_023,2,5,regression,17694,6.929693681473946,280992,24,0,6.140453728992725,0.7145674570056144,,17694,6.929693681473946,280992,24,0,5.746175183012383,0.7298277240479365,,0.0,0,tie,tie
case_023,3,5,regression,16725,7.33118086696562,280992,24,0,6.005032093991758,0.691217802988831,0.129456282494819,16725,7.33118086696562,280992,24,0,6.218865815986646,0.7395439009706024,0.129456282494819,0.0,0,tie,tie
case_025,2,5,regression,942350,5.160530588422561,118272,24,0,160.6542536620109,12.341908447939204,,942350,5.160530588422561,118272,24,0,174.12504594298662,14.802275733003626,,0.0,0,tie,tie
case_025,3,5,regression,942350,5.160530588422561,118272,24,0,166.41327454897691,11.519010508985957,0.010873504893077202,942350,5.160530588422561,118272,24,0,183.43071753100958,13.543007720028982,0.010873504893077202,0.0,0,tie,tie
case_028,2,5,regression,8032082,5.457618585069226,22602240,24,0,141.78565446697758,6.750401251978474,,8032082,5.457618585069226,22602240,24,0,136.49170137598412,7.006578582018847,,0.0,0,tie,tie
case_028,3,5,regression,7970583,5.499728188013348,22602240,24,0,143.6287692479964,7.387777370982803,0.3282047895756295,7970583,5.499728188013348,22602240,24,0,143.7664327409875,7.457900077017257,0.3282047895756295,0.0,0,tie,tie
case_037,2,5,regression,43013,4.882268151489085,778240,24,0,6.676006445981329,1.030974816007074,,43013,4.882268151489085,778240,24,0,7.454782357002841,0.8672524829744361,,0.0,0,tie,tie
case_037,3,5,regression,43013,4.882268151489085,778240,24,0,6.913265323993983,0.5651951209292747,0.3421875,43013,4.882268151489085,1925120,24,0,7.6137634119950235,0.6847381060360931,0.6425,0.0,1146880,tie,loss
case_046,2,5,regression,77846,3.5513064255067697,2791200,21,0,5.3339980890159495,0.518815777002601,,77846,3.5513064255067697,2791200,21,0,4.455228709994117,0.3799923369952012,,0.0,0,tie,tie
case_046,3,5,regression,77846,3.5513064255067697,2791200,21,0,4.899114930012729,0.41385666700080037,0.0,77846,3.5513064255067697,2791200,21,0,4.813973831012845,0.3871012710442301,0.0,0.0,0,tie,tie
case_053,2,5,regression,374457,3.932857444245935,3247692,24,0,71.81314719701186,8.554930676036747,,374457,3.932857444245935,3247692,24,0,69.39254734801943,8.542499089002376,,0.0,0,tie,tie
case_053,3,5,regression,374457,3.932857444245935,3247692,24,0,69.68498473800719,8.894371196947759,0.020520021907168538,374457,3.932857444245935,3247692,24,0,71.7407015519857,9.003378294029972,0.020520021907168538,0.0,0,tie,tie
case_071,2,5,regression,9399,2.0128737099691456,377650,24,0,4.4285903699928895,0.12032314998214133,,9232,2.049285095320624,360050,24,0,4.41929155800608,0.15268094398197718,,0.017767847643366363,-17600,win,win
case_071,3,5,regression,7982,2.3702079679278376,362354,24,0,4.764247860992327,0.0975783619505819,0.42693496293886657,7942,2.3821455552757493,361586,24,0,4.636519928986672,0.11145159104489721,0.399276655924698,0.005011275369581569,-768,win,win
case_095,2,5,regression,220188,9.468513270477954,0,24,0,27.136700083996402,1.7931798070494551,,220188,9.468513270477954,0,23,0,28.150005631992826,2.0123888169473503,,0.0,0,tie,tie
case_095,3,5,regression,220188,9.468513270477954,0,24,0,28.63350810299744,1.9292029270436615,0.0,220188,9.468513270477954,0,23,0,29.263205960014602,2.0278514239762444,0.0,0.0,0,tie,tie
