library,cores,count,mean_same_core_p2_over_p3,l2_faster,equal,l2_slower,identical_plan_hashes
cold,1,100,0.9998585542801375,18,77,5,92
cold,2,100,0.9981453629542236,42,41,17,67
cold,3,100,1.0141698747674603,51,42,7,62
cold,4,100,1.0234798187923957,51,37,12,55
cold,5,100,1.0517990146616965,63,26,11,43
selected,1,100,0.9998585542801375,18,77,5,92
selected,2,100,1.0002724669680285,47,40,13,70
selected,3,100,1.0077690880549377,53,44,3,69
selected,4,100,1.0176083148844235,53,39,8,60
selected,5,100,1.0366209179911012,70,23,7,51
