library,case,cores,no_l2_makespan,l2_makespan,no_l2_added_copy,l2_added_copy,same_core_p2_over_p3,same_plan_hash,interpretation
cold,case_001,1,233110,233110,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_002,1,255849,251773,3316224,2732544,1.0161891862908254,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_003,1,453222,453222,745240,745240,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_004,1,386363,386363,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_005,1,73787,73787,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_006,1,77634,77634,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_007,1,979262,979262,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_008,1,254001,254001,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_009,1,122105,122068,415618,415618,1.000303109742111,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_010,1,75081,75081,1282564,1282564,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_011,1,184697,184697,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_012,1,35956,35956,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_013,1,263949,263949,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_014,1,17513386,17512146,60734880,60734880,1.0000708079980603,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_015,1,116048,116048,1083648,1083648,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_016,1,7715523,7715523,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_017,1,111337,111337,12288,12288,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_018,1,975003,974899,690176,690176,1.0001066777173842,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_019,1,49567,49567,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_020,1,532746,532746,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_021,1,6199721,6199721,26124288,26124288,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_022,1,54262,54262,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_023,1,69823,69823,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_024,1,2555343,2555343,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_025,1,4703066,4703066,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_026,1,86096,86096,1249280,1249280,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_027,1,2229905,2229905,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_028,1,40346726,40597261,147635712,141611064,0.9938287708621525,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_029,1,37555,37555,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_030,1,2783863,2783811,11663360,11663360,1.0000186794290273,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_031,1,1342133,1347132,4904704,3355142,0.996289153549912,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_032,1,34152,34152,28672,28672,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_033,1,1738589,1738241,4957184,4957184,1.0002002023885066,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_034,1,758553,758553,59904,59904,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_035,1,146202,146202,731080,731080,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_036,1,931510,931510,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_037,1,210001,210001,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_038,1,1328347,1328347,4938752,4938752,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_039,1,1381195,1380227,10153984,10153984,1.000701333911016,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_040,1,223809,223809,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_041,1,5925894,5925504,24450048,24450048,1.0000658171861836,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_042,1,1621175,1621175,1894400,1894400,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_043,1,532953,532288,610242,1893060,1.0012493236744018,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_044,1,74567,74567,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_045,1,125614,125614,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_046,1,209667,209667,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_047,1,277066,277066,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_048,1,150456,150456,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_049,1,166548,166548,303504,303504,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_050,1,133500,133500,225996,225996,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_051,1,607628,607628,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_052,1,141828,141828,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_053,1,1217800,1217800,136822,136822,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_054,1,577879,577771,985508,985508,1.0001869252697002,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_055,1,70489,70489,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_056,1,246138,246138,89280,89280,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_057,1,47719,47719,229384,229384,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_058,1,4459065,4473866,71098368,28766208,0.9966916756112052,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_059,1,738041,738041,0,0,1.0,False,separately optimized P2/P3 plans; includes scheduling differences
cold,case_060,1,727354,727120,2259072,2259072,1.0003218175816921,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_061,1,71663,71663,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_062,1,2854809,2854809,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_063,1,1070397,1070397,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_064,1,16277,16277,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_065,1,29854,29854,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_066,1,280637,280637,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_067,1,60066399,60066399,29110272,29110272,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_068,1,256826,256826,627670,627670,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_069,1,19752,19752,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_070,1,92008,92008,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_071,1,14377,14377,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_072,1,23454874,23444619,88848864,88848864,1.000437413804848,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_073,1,8206775,8206775,188416,188416,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_074,1,1607310,1605014,2392092,2392092,1.0014305171169846,True,separately optimized P2/P3 plans; includes scheduling differences
cold,case_075,1,1138789,1138789,0,0,1.0,True,separately optimized P2/P3 plans; includes scheduling differences
