case,problem,cores,variant,group,status,makespan,added_copy,logical_calls,new_calls,failures,timeouts,elapsed_seconds,tail_generation_seconds,prefix_reported_generation_seconds,prefix_elapsed_seconds,stop_reason,summary,time_b8,time_b12,time_b16
case_065,3,5,strong,validation,success,8335,55584,16,16,0,0,4.679226788983215,0.0,0.9164266719599254,4.610652123985346,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/summary.json,8775,8335,8335
case_046,3,5,strong,development,success,77846,2791200,16,16,0,0,5.009678383008577,0.0,0.5029683299944736,4.935313577996567,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_046/p3_n5/strong/summary.json,92391,77846,77846
case_065,3,5,joint,validation,success,8334,55584,16,16,0,0,5.6703782149998005,1.1227226060000248,0.7129571769910399,3.567602176015498,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/joint/summary.json,8775,8335,8334
case_012,2,5,strong,validation,success,12279,49536,16,16,0,0,5.961903193994658,0.0,1.2675539999909233,5.889864672994008,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_012/p2_n5/strong/summary.json,12389,12279,12279
case_069,3,5,joint,development,success,10668,496562,16,16,0,0,6.799097682000138,1.1574224350042641,0.17619324105908163,4.263036111020483,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_069/p3_n5/joint/summary.json,10796,10673,10668
case_057,3,5,strong,validation,success,14372,27936,16,16,0,0,5.048137689009309,0.0,0.4769359329948202,5.0311179729760624,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_057/p3_n5/strong/summary.json,14372,14372,14372
case_046,3,3,strong,lowcore,success,79308,1860800,16,16,0,0,5.198114345985232,0.0,0.40269296400947496,5.181327920989133,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_046/p3_n3/strong/summary.json,79308,79308,79308
case_051,2,2,joint,lowcore,success,319230,394080,16,16,0,0,7.057751696003834,0.725308124005096,0.16808225796557963,4.774815295997541,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/lowcore/case_051/p2_n2/joint/summary.json,319230,319230,319230
case_094,3,5,joint,development,success,16819,259200,16,16,0,0,5.510944229987217,1.052389783988474,0.6390013500349596,3.486865015991498,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/development/case_094/p3_n5/joint/summary.json,16819,16819,16819
case_077,3,5,strong,validation,success,110038,172032,16,16,0,0,19.63129486501566,0.0,3.203884590009693,19.5694735670113,call_budget,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_077/p3_n5/strong/summary.json,110038,110038,110038
