case,problem,cores,group,variant,observed_prefix,calls,makespan,note
case_065,3,5,validation,strong,8,8,8775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,3,5,validation,strong,12,12,8335,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,3,5,validation,strong,16,16,8335,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,5,development,strong,8,8,92391,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,5,development,strong,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,5,development,strong,16,16,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,3,5,validation,joint,8,8,8775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,3,5,validation,joint,12,12,8335,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,3,5,validation,joint,16,16,8334,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,2,5,validation,strong,8,8,12389,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,2,5,validation,strong,12,12,12279,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,2,5,validation,strong,16,16,12279,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,3,5,development,joint,8,8,10796,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,3,5,development,joint,12,12,10673,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,3,5,development,joint,16,16,10668,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,3,5,validation,strong,8,8,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,3,5,validation,strong,12,12,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,3,5,validation,strong,16,16,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,3,lowcore,strong,8,8,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,3,lowcore,strong,12,12,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,3,lowcore,strong,16,16,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,2,lowcore,joint,8,8,319230,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
