case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_commit,source_plan,plan,plan_sha256,verification
case_001,1,1,233110,0,233110,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_001_multicore_res.json,方案/p1/n1/case_001_multicore_res.json,69a32b4ced172ac1617997adb9c610ebb43b82c2d947dd6f301477c6f7360ef8,inherited_team13_success
case_001,1,2,116868,1152,233110,1.9946435294520313,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_001_multicore_res.json,方案/p1/n2/case_001_multicore_res.json,8ca4384582024a302822bbd6429af5d4c2e18ee7cdb3365c1ff586bfcb80c843,inherited_team13_success
case_001,1,3,78545,2304,233110,2.9678528232223567,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_001_multicore_res.json,方案/p1/n3/case_001_multicore_res.json,70dee0dc9f57175a555319bda57daaa5f5af5c97d198e3f5072993d5fe75e6d0,inherited_team13_success
case_001,1,4,58984,3456,233110,3.952088702020887,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_001_multicore_res.json,方案/p1/n4/case_001_multicore_res.json,2a677050dd5b46524f88e82bf343a8c05b6f68bab5c7ab944a62d3345871c45a,inherited_team13_success
case_001,1,5,47502,4608,233110,4.9073723211654245,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n5/case_001_multicore_res.json,方案/p1/n5/case_001_multicore_res.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6,inherited_team13_success
case_001,2,1,233110,0,233110,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_001_multicore_res.json,方案/p2/n1/case_001_multicore_res.json,69a32b4ced172ac1617997adb9c610ebb43b82c2d947dd6f301477c6f7360ef8,inherited_team13_success
case_001,2,2,116868,1152,233110,1.9946435294520313,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_001_multicore_res.json,方案/p2/n2/case_001_multicore_res.json,8ca4384582024a302822bbd6429af5d4c2e18ee7cdb3365c1ff586bfcb80c843,inherited_team13_success
case_001,2,3,78545,2304,233110,2.9678528232223567,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_001_multicore_res.json,方案/p2/n3/case_001_multicore_res.json,70dee0dc9f57175a555319bda57daaa5f5af5c97d198e3f5072993d5fe75e6d0,inherited_team13_success
case_001,2,4,58984,3456,233110,3.952088702020887,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_001_multicore_res.json,方案/p2/n4/case_001_multicore_res.json,2a677050dd5b46524f88e82bf343a8c05b6f68bab5c7ab944a62d3345871c45a,inherited_team13_success
case_001,2,5,47502,4608,233110,4.9073723211654245,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_001_multicore_res.json,方案/p2/n5/case_001_multicore_res.json,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6,inherited_team13_success
case_001,3,1,233110,0,233110,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n1/case_001_multicore_res.json,方案/p3/n1/case_001_multicore_res.json,69a32b4ced172ac1617997adb9c610ebb43b82c2d947dd6f301477c6f7360ef8,inherited_team13_success
