stage,case,cores,name,phase,status,makespan,added_copy,tasks,tiny_tasks,graph_sha256,plan_sha256,result_sha256,record_path,elapsed_seconds,cache_hit
development,case_043,4,baseline,,success,243378,4083474,135,41,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,564e0279e6a4b5f357ff6d074060ca50a9305a90aead5f47ba16154cf7e12743,aba08ba6636d4d519fcefd68dfc8d3687bd85ebc6e2abb4994e6ca50cbc91da1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_043/evaluations/attempts/20260925T175735-52791cfa504240eb87ecec1af4807989/record.json,2.6318047949898755,False
development,case_043,4,count1024_eft,,success,302534,4083474,135,41,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,7ea515cbe451ccc3ffa882893eb0843df94095d09edc38d2b64face09ac9d6a4,4e854477412c4e24ca66a79bd2ab20def4b5fd1b0d92d5f064800425b2d5b03b,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_043/evaluations/attempts/20260925T175739-730b96decc5c4849871282f84d70c314/record.json,2.529751345005934,False
development,case_043,4,r1_branch_s1_w1,,success,244252,4114194,145,52,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,2b626b243b114ab97d47c106062c679a4aed08d807dfdb2d8c89f3f04ad2ce5f,99f1ed078940ef41b993808b853ac150f5d3f4242fdb871e2b7242ac17831829,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_043/evaluations/attempts/20260925T175741-aa445f31449d4144ac5b66da16643d07/record.json,2.8294209720043,False
development,case_043,4,r1_affinity_s1_w1,,success,243289,4104978,140,47,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,7b7e3aa9f75c4ddce3a788bfea24bb5eb8a82843d214e245d8268a13522f8071,54ead8f1783dfe4f76cf361e3a300d322fb595500d256c82d14cebbc68479c42,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_043/evaluations/attempts/20260925T175744-dee36a77f23640019fdbba84c7edb5b7/record.json,3.0310763400048018,False
development,case_043,4,r1_branch_s1_w4,,success,244501,4114194,145,52,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,24df3e481fb1a0026a60d92ab40935d24f572a59f47e501148798a568114924c,54cc2b5d65f8f78d0c42d5714a422462582479b95569f5d21a10b5157672ad47,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_043/evaluations/attempts/20260925T175747-c83e5128d5174671b197643f3ab9f82a/record.json,2.678376178999315,False
development,case_043,4,r1_affinity_s1_w4_merge,,success,242835,4098834,137,43,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,903ad161ee100085624ee9ee66a8dc4fdc210cc0feee391310e1d7925e4754ba,b4ef66e8e80776c3ca857519c44dda7daee7eaf8580c5cd1d4211c0348f05683,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_043/evaluations/attempts/20260925T175750-a6379aef0c944256935036bb4ae113bc/record.json,2.6290722919948166,False
development,case_043,4,r1_affinity_s2_w4_diversity,,success,244208,4114194,143,50,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c,a129349846b44cc77c8f2e978e4e09894670b76de2f2c2b52610d1d050556ecd,85c48e6fec08f704751ee6b76b4e991655a973726f84e25157bf09b788422328,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_043/evaluations/attempts/20260925T175753-a1080fae79ab4b09a117c43fc797f6f1/record.json,2.778926536993822,False
development,case_051,5,baseline,,success,607628,0,1,0,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,a15598307377a3c4db528ff1a02f637cc2f84b0d4acf4afcc2ce9463e0604244,4fa19c0b530985a6f2a18a3fce3385adc1d22c419db214f8115a57d00dabee79,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_051/evaluations/attempts/20260925T175734-e3b66468fd074c7e830bb6681cefbdfb/record.json,0.3806318110000575,False
development,case_051,5,count1024_eft,,success,608824,458776,2,0,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,f64ab507800cc7c258a602b26dfddf3a991b70f25e3f5da54c2d46457bed7f2c,228a8e755bcabdfc3b1862eb8c1d07d331ed69a3139cd5e96cacce788fa28e84,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_051/evaluations/attempts/20260925T175735-72329d515bb34d0f990566a43b43ff4b/record.json,0.32159621200116817,False
development,case_051,5,r0_branch_s1_w1,,success,320414,9046678,552,552,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,c973a1d8645c3a515daf5a3fa0c8148108afa3dfa9be681c04adce0fe30f79c8,2339e1cacfceec2ec6163d94088bbf33d39b9a4acc9398e00b4c61bdc1b13b74,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_repartition_v1/case_051/evaluations/attempts/20260925T175735-2197c5c7bcb94b93933b9e5208a4dda7/record.json,0.6222055059915874,False
