case,cores,method,makespan,added_copy,calls,fresh_calls,elapsed_seconds,errors,summary,repartition_calls,adaptive_calls
case_085,3,original,3181355,837406,8,8,180.0260554060078,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_085/n3/original/summary.json,0,0
case_085,3,old,3181355,837406,7,7,180.0361849750043,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_085/n3/old/summary.json,0,0
case_085,3,new,3181355,837406,7,7,180.03422978099843,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_085/n3/new/summary.json,0,0
case_085,5,original,2760933,4246258,9,9,180.03694784999243,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_085/n5/original/summary.json,0,0
case_085,5,old,2760933,4246258,7,7,180.03880128900346,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_085/n5/old/summary.json,0,0
case_085,5,new,2760933,4246258,7,7,180.03966957400553,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_085/n5/new/summary.json,0,0
case_048,3,original,222220,0,12,12,5.933420791989192,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_048/n3/original/summary.json,0,0
case_048,3,old,222220,0,12,12,5.735270859993761,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_048/n3/old/summary.json,0,0
case_048,3,new,191033,3320606,12,12,10.07278736999433,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_048/n3/new/summary.json,2,0
case_048,5,original,211661,289112,12,12,5.9847309720062185,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_048/n5/original/summary.json,0,0
case_048,5,old,211661,289178,12,12,6.0307937180041336,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_048/n5/old/summary.json,0,0
case_048,5,new,162167,3320606,12,12,10.472946462992695,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_048/n5/new/summary.json,2,0
case_056,5,original,210746,1429882,12,12,55.82007639299263,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_056/n5/original/summary.json,0,0
case_056,5,old,210746,1429882,12,12,74.49965158599662,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_056/n5/old/summary.json,0,0
case_056,5,new,210746,1429882,12,12,77.22650577200693,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_056/n5/new/summary.json,1,1
case_056,3,original,255706,110810,12,12,61.908649953998975,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_056/n3/original/summary.json,0,0
case_056,3,old,255706,110810,12,12,82.86744730798819,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_056/n3/old/summary.json,0,0
case_056,3,new,244205,1764804,12,12,74.6590629509883,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_056/n3/new/summary.json,1,1
case_068,3,original,301507,96586,12,12,33.59219567599939,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_068/n3/original/summary.json,0,0
case_068,3,old,301507,96586,12,12,35.32132055499824,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_068/n3/old/summary.json,0,0
case_068,3,new,290734,403836,12,12,44.26587695200578,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_068/n3/new/summary.json,2,1
case_068,5,original,268666,1045280,12,12,32.61255878499651,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_068/n5/original/summary.json,0,0
case_068,5,old,268666,1045280,12,12,33.449695185001474,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_068/n5/old/summary.json,0,0
case_068,5,new,268666,1045280,12,12,64.79849533601373,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/my_runs/bottleneck_transfer_v1/case_068/n5/new/summary.json,2,1
