case,problem,cores,makespan,added_copy,original_singlecore,source,plan,speedup
case_001,1,1,233110,0,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_001_multicore_res.json,1.0
case_001,1,2,116868,1152,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_001_multicore_res.json,1.9946435294520313
case_001,1,3,78545,2304,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_001_multicore_res.json,2.9678528232223567
case_001,1,4,58984,3456,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_001_multicore_res.json,3.952088702020887
case_001,1,5,47502,4608,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_001_multicore_res.json,4.9073723211654245
case_001,2,1,233110,0,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_001_multicore_res.json,1.0
case_001,2,2,116868,1152,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_001_multicore_res.json,1.9946435294520313
case_001,2,3,78545,2304,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_001_multicore_res.json,2.9678528232223567
case_001,2,4,58984,3456,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_001_multicore_res.json,3.952088702020887
case_001,2,5,47502,4608,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_001_multicore_res.json,4.9073723211654245
case_001,3,1,233110,0,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_001_multicore_res.json,1.0
case_001,3,2,116868,1152,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_001_multicore_res.json,1.9946435294520313
case_001,3,3,78545,2304,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_001_multicore_res.json,2.9678528232223567
case_001,3,4,58984,3456,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_001_multicore_res.json,3.952088702020887
case_001,3,5,47502,4608,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_001_multicore_res.json,4.9073723211654245
case_002,1,1,266518,390144,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_002_multicore_res.json,0.9828416842389632
case_002,1,2,136619,56832,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_002_multicore_res.json,1.9173394623002658
