case,compute_ops,components,largest_component_fraction,tasks_n5,median_task_ops_n5,log_ops,log_components,log_tasks_n5,log_median_task_ops_n5,selected
case_001,600,200,0.005,5,120,6.398594934535208,5.303304908059076,1.791759469228055,4.795790545596741,False
case_002,1798,1,1.0,103,15,7.494986233950533,0.6931471805599453,4.6443908991413725,2.772588722239781,True
case_003,13455,10,0.9806020066889632,93,9,9.507180382212729,2.3978952727983707,4.543294782270004,2.302585092994046,False
case_004,777,111,0.009009009009009009,5,154,6.656726524178391,4.718498871295094,1.791759469228055,5.043425116919247,False
case_005,4113,1,1.0,55,11,8.322151070212902,0.6931471805599453,4.02535169073515,2.4849066497880004,False
case_006,678,27,0.20058997050147492,5,135,6.520621127558696,3.332204510175204,1.791759469228055,4.912654885736052,False
case_007,3885,555,0.0018018018018018018,5,777,8.265135629937385,6.320768294250582,1.791759469228055,6.656726524178391,False
case_008,864,108,0.009259259259259259,5,176,6.762729506931879,4.6913478822291435,1.791759469228055,5.176149732573829,False
case_009,5671,25,0.8418268383001234,85,9,8.643297068211963,3.258096538021482,4.454347296253507,2.302585092994046,False
case_010,667,36,0.19940029985007496,36,11.0,6.504288173536645,3.6109179126442243,3.6109179126442243,2.4849066497880004,False
case_011,688,16,0.0625,4,172.0,6.535241271013659,2.833213344056216,1.6094379124341003,5.153291594497779,False
case_012,972,50,0.10082304526748971,9,129,6.880384082186005,3.9318256327243257,2.302585092994046,4.867534450455582,False
case_013,1968,246,0.0040650406504065045,5,392,7.585281078639126,5.5093883366279774,1.791759469228055,5.973809611869261,False
case_014,35705,1340,0.0034729029547682397,150,247.0,10.483074020872907,7.201170883281678,5.017279836814924,5.5134287461649825,False
case_015,1013,46,0.14313919052319843,5,229,6.921658184151129,3.8501476017100584,1.791759469228055,5.438079308923196,False
case_016,17995,1,1.0,2440,8.0,9.797904789961063,0.6931471805599453,7.80016307039296,2.1972245773362196,False
case_017,1373,60,0.11798980335032774,5,300,7.2254814727822945,4.110873864173311,1.791759469228055,5.707110264748875,False
case_018,2727,126,0.021635496883021636,5,544,7.911324018963352,4.844187086458591,1.791759469228055,6.300785794663244,False
case_019,647,31,0.26275115919629055,37,14,6.473890696352274,3.4657359027997265,3.6375861597263857,2.70805020110221,False
