case,cores,method,logical_call,generation,candidate,parent_time,status,time,best_time_so_far,added_copy,accepted,lower_bound,cache_hit
case_032,2,single,2,1,local_duration,20754,success,21343,20754,18504,False,17676,False
case_032,2,single,3,1,merge512,20754,success,22492,20754,6216,False,16998,False
case_032,2,single,4,1,observed_duration,20754,success,20719,20719,18504,True,17098,False
case_032,2,iterative,2,1,local_duration,20754,success,21343,20754,18504,False,17676,False
case_032,2,iterative,3,1,merge512,20754,success,22492,20754,6216,False,16998,False
case_032,2,iterative,4,1,observed_duration,20754,success,20719,20719,18504,True,17098,False
case_032,2,iterative,5,2,merge512,20719,success,22492,20719,6216,False,16998,False
case_032,3,single,2,1,merge256,13738,success,13587,13587,12288,True,11444,False
case_032,3,single,3,1,merge512,13738,success,14655,13587,6144,False,11344,False
case_032,3,single,4,1,observed_duration,13738,success,13738,13587,18432,False,13215,False
case_032,3,iterative,2,1,merge256,13738,success,13587,13587,12288,True,11444,False
case_032,3,iterative,3,2,merge512,13587,success,14655,13587,6144,False,11344,False
case_032,3,iterative,4,2,observed_duration,13587,success,13587,13587,12288,False,11444,False
case_069,4,single,2,1,local_duration,17041,success,17133,17041,626568,False,12849,False
case_069,4,single,3,1,observed_duration,17041,success,17095,17041,626568,False,12849,False
case_069,4,iterative,2,1,local_duration,17041,success,17133,17041,626568,False,12849,False
case_069,4,iterative,3,1,observed_duration,17041,success,17095,17041,626568,False,12849,False
case_069,5,single,2,1,merge16,16908,success,18873,16908,551482,False,13944,False
case_069,5,single,3,1,local_duration,16908,success,17643,16908,622330,False,12744,False
case_069,5,single,4,1,observed_duration,16908,success,16818,16818,622330,True,12744,False
case_069,5,iterative,2,1,merge16,16908,success,18873,16908,551482,False,13944,False
case_069,5,iterative,3,1,local_duration,16908,success,17643,16908,622330,False,12744,False
case_069,5,iterative,4,1,observed_duration,16908,success,16818,16818,622330,True,12744,False
case_069,5,iterative,5,2,merge8,16818,success,19572,16818,555514,False,14697,False
case_069,5,iterative,6,2,merge16,16818,success,17943,16818,536218,False,13757,False
case_069,5,iterative,7,2,observed_duration,16818,success,16521,16521,622330,True,12744,False
case_069,5,iterative,8,3,merge8,16521,success,18702,16521,547066,False,14537,False
case_069,5,iterative,9,3,merge16,16521,success,18517,16521,528538,False,14785,False
case_069,5,iterative,10,3,observed_duration,16521,success,17365,16521,622330,False,12744,False
case_074,2,single,2,1,local_duration,826889,success,826889,826889,6168576,False,794784,False
case_074,2,single,3,1,split1024,826889,success,826300,826300,7245824,True,794884,False
case_074,2,single,4,1,split512,826889,success,842593,826300,8359936,False,795084,False
case_074,2,iterative,2,1,local_duration,826889,success,826889,826889,6168576,False,794784,False
case_074,2,iterative,3,1,split1024,826889,success,826300,826300,7245824,True,794884,False
case_074,2,iterative,4,2,local_duration,826300,success,829319,826300,7245824,False,808180,False
case_074,2,iterative,5,2,observed_duration,826300,success,827191,826300,7245824,False,794884,False
case_074,2,iterative,6,2,split512,826300,success,842593,826300,8359936,False,795084,False
case_074,4,single,2,1,local_duration,423479,success,416358,416358,8101888,True,397492,False
case_074,4,single,3,1,observed_duration,423479,success,414388,414388,8101888,True,397492,False
case_074,4,single,4,1,merge1024,423479,success,423030,414388,6746112,False,397392,False
case_074,4,single,5,1,merge2048,423479,success,422556,414388,6426624,False,397392,False
case_074,4,single,6,1,split512,423479,success,418983,414388,8503296,False,397492,False
case_074,4,iterative,2,1,local_duration,423479,success,416358,416358,8101888,True,397492,False
case_074,4,iterative,3,2,observed_duration,416358,success,414388,414388,8101888,True,397492,False
case_074,4,iterative,4,3,observed_duration,414388,success,414388,414388,8101888,False,397492,False
case_074,4,iterative,5,3,merge1024,414388,success,420821,414388,7278600,False,397392,False
case_074,4,iterative,6,3,split512,414388,success,414415,414388,8503296,False,397592,False
case_002,2,single,2,1,merge256,136619,success,151008,136619,47616,False,135900,False
case_002,2,single,3,1,local_duration,136619,success,136619,136619,56832,False,122376,False
case_002,2,single,4,1,observed_duration,136619,success,136619,136619,56832,False,122376,False
case_002,2,iterative,2,1,merge256,136619,success,151008,136619,47616,False,135900,False
case_002,2,iterative,3,1,local_duration,136619,success,136619,136619,56832,False,122376,False
case_002,2,iterative,4,1,observed_duration,136619,success,136619,136619,56832,False,122376,False
case_002,5,single,2,1,local_duration,78244,success,64307,64307,2165760,True,56983,False
case_002,5,single,3,1,observed_duration,78244,success,65252,64307,2165760,False,56983,False
case_002,5,iterative,2,1,local_duration,78244,success,64307,64307,2165760,True,56983,False
case_002,5,iterative,3,2,observed_duration,64307,success,64296,64296,2165760,True,56983,False
case_002,5,iterative,4,3,observed_duration,64296,success,66229,64296,2165760,False,56983,False
case_043,3,single,2,1,local_duration,268776,success,268776,268776,599040,False,207816,False
case_043,3,single,3,1,split1024,268776,success,269799,268776,1241332,False,208116,False
case_043,3,single,4,1,merge2048,268776,success,268776,268776,141320,True,207816,False
case_043,3,single,5,1,split512,268776,success,269059,268776,1898044,False,208416,False
case_043,3,iterative,2,1,local_duration,268776,success,268776,268776,599040,False,207816,False
case_043,3,iterative,3,1,split1024,268776,success,269799,268776,1241332,False,208116,False
case_043,3,iterative,4,1,merge2048,268776,success,268776,268776,141320,True,207816,False
case_043,3,iterative,5,2,local_duration,268776,success,268776,268776,141320,False,207816,False
