case,cores,baseline,single,iterative,time_reduction_pct,speedup_delta,time_result,single_calls,iterative_calls,single_added_copy,iterative_added_copy
case_032,2,20754,20719,20719,0.0,0.0,tie,4,5,18504,18504
case_032,3,13738,13587,13587,0.0,0.0,tie,4,4,12288,12288
case_069,4,17041,17041,17041,0.0,0.0,tie,3,3,626568,626568
case_069,5,16908,16818,16521,1.7659650374598643,0.02687695956775671,win,4,8,622330,622330
case_074,2,826889,826300,826300,0.0,0.0,tie,4,6,7245824,7245824
case_074,4,423479,414388,414388,0.0,0.0,tie,6,6,8101888,8101888
case_002,2,136619,136619,136619,0.0,0.0,tie,4,4,56832,56832
case_002,5,78244,64307,64296,0.01710544730744709,0.000696884159970601,win,3,4,2165760,2165760
case_043,3,268776,268776,268776,0.0,0.0,tie,5,7,141320,141320
case_043,4,266766,266766,266766,0.0,0.0,tie,8,8,2819424,2819424
case_025,3,1622164,1622164,1622164,0.0,0.0,tie,3,3,55296,55296
case_025,5,975282,975282,975282,0.0,0.0,tie,4,4,110592,110592
