problem,cores,cases,common6_mean_speedup,ours_mean_speedup,team13_mean_speedup,union_mean_speedup,ours_faster,team_faster,time_ties,ours_tie_less_copy,team_tie_less_copy,union_vs_team_mean_time_reduction_pct
1,1,100,1.0012193240160676,1.0021867095309935,1.0012193240160676,1.0021867095309935,7,0,93,0,0,0.09547125939212864
1,2,100,1.7845240217708962,1.7864345214286457,1.7954762975176894,1.797386797175439,8,3,89,0,0,0.10206120562411669
1,3,100,2.4258366812151126,2.430718497334446,2.4654248638113017,2.468674134768281,6,5,89,1,0,0.15722621588401187
1,4,100,3.031382274785021,3.036815406493281,3.0854932019622985,3.0909263336705584,5,5,90,0,0,0.1623142099198378
1,5,100,3.576101091454332,3.6653494314097714,3.736824464904486,3.783705404827019,15,23,62,1,0,1.5818946058196484
2,1,100,1.0015105678032634,1.0024460533585284,1.0015105678032634,1.0024460533585284,6,0,94,0,0,0.09125214390459646
2,2,100,2.0420107113779897,2.042043366594617,2.0420107113779897,2.042043366594617,1,0,99,0,0,0.0016159339254764316
2,3,100,2.897896084195691,2.899103029284156,2.9163900322222465,2.917433962188365,2,9,89,0,0,0.03472988828918533
2,4,100,3.606766851120958,3.6079510249349953,3.6116032219566105,3.612787395770648,1,4,95,0,0,0.029908764062318793
2,5,100,4.334517565184253,4.388427246682187,4.505904948994485,4.535467166592133,17,35,48,0,0,0.6795283063222474
3,1,100,1.010132283469584,1.0111209089977997,1.010132283469584,1.0111209089977997,7,0,93,0,0,0.09651161529541363
3,2,100,2.0483501485922906,2.048526140265181,2.0483501485922906,2.048526140265181,2,0,98,0,0,0.008660917236875898
3,3,100,2.9147717447600945,2.9157105062047965,2.9334950683087406,2.9344338297534422,3,8,89,0,0,0.03139645355943044
3,4,100,3.641775579313945,3.6422361991051924,3.656322758511865,3.6567833783031127,1,4,95,0,0,0.011850258200511998
3,5,100,4.42846590611176,4.482579350414788,4.621353380071978,4.65487832087166,27,31,42,1,0,0.7907050344854352
