case,problem,cores,original_singlecore,common6_time,ours_time,team13_time,ours_copy,team13_copy,union_time,union_copy,chosen,time_winner,common6_speedup,ours_speedup,team13_speedup,union_speedup,union_vs_team_pct,team_vs_ours_pct,ours_plan,ours_plan_base,team13_plan,ours_source,status
case_002,1,5,261945,78244,64296,78244,2165760,2165760,64296,2165760,ours,ours,3.347796636163795,4.074048152295632,3.347796636163795,4.074048152295632,17.82628699964215,-21.693417942018158,A题研究/直接迭代/闭环验证_20260925/精选方案/case_002_p1_n5.json,repository,方案/p1/n5/case_002_multicore_res.json,my_runs/iterative_holdout_b8_v1/case_002/n5/iterative/summary.json,ledger comparison; union not independently replayed
case_006,2,5,82837,31151,20866,31151,355106,0,20866,355106,ours,ours,2.6592083721228854,3.9699511166490944,2.6592083721228854,3.9699511166490944,33.01659657795898,-49.290712163327896,新增精选方案/p2/n5/case_006_multicore_res.json,delivery,方案/p2/n5/case_006_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_006,3,5,82837,31151,20505,31151,355106,0,20505,355106,ours,ours,2.6592083721228854,4.039843940502316,2.6592083721228854,4.039843940502316,34.17546788225098,-51.919044135576684,新增精选方案/p3/n5/case_006_multicore_res.json,delivery,方案/p3/n5/case_006_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_011,3,5,184697,46253,38462,39510,1558528,1601536,38462,1558528,ours,ours,3.9931896309428576,4.802064375227498,4.674689951910908,4.802064375227498,2.6524930397367807,-2.7247673027923636,新增精选方案/p3/n5/case_011_multicore_res.json,delivery,方案/p3/n5/case_011_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,1,1,17698626,17569952,17453918,17569952,101137416,78182304,17453918,101137416,ours,ours,1.0073235259834517,1.01402023316484,1.0073235259834517,1.01402023316484,0.6604115936116428,-0.6648020232477236,新增精选方案/p1/n1/case_014_multicore_res.json,delivery,方案/p1/n1/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,1,2,17698626,8811571,8809441,8811571,100009368,116324760,8809441,100009368,ours,ours,2.008566463346888,2.0090521067114246,2.008566463346888,2.0090521067114246,0.024172761020713196,-0.024178605657265706,新增精选方案/p1/n2/case_014_multicore_res.json,delivery,方案/p1/n2/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,1,3,17698626,5940891,5934863,5940891,98997144,125524488,5934863,98997144,ours,ours,2.9791197986968623,2.982145670422384,2.9791197986968623,2.982145670422384,0.10146626154224903,-0.1015693201342538,新增精选方案/p1/n3/case_014_multicore_res.json,delivery,方案/p1/n3/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,1,4,17698626,4514249,4513468,4514249,101075352,130589592,4513468,101075352,ours,ours,3.92061359486373,3.921292008717022,3.92061359486373,3.921292008717022,0.017300773617046072,-0.017303767302667694,新增精选方案/p1/n4/case_014_multicore_res.json,delivery,方案/p1/n4/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,2,1,17698626,17698626,17662956,17698626,56372640,71010720,17662956,56372640,ours,ours,1.0,1.0020194807709424,1.0,1.0020194807709424,0.20154106878127465,-0.20194807709423834,新增精选方案/p2/n1/case_014_multicore_res.json,delivery,方案/p2/n1/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,2,5,17698626,3703529,3674889,3703529,91061544,84373512,3674889,91061544,ours,ours,4.778854438563867,4.816098118881958,4.778854438563867,4.816098118881958,0.7733164773382373,-0.7793432672388301,新增精选方案/p2/n5/case_014_multicore_res.json,delivery,方案/p2/n5/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,3,1,17698626,17689602,17589991,17689602,58536768,71010720,17589991,58536768,ours,ours,1.0005101301883446,1.0061759554055485,1.0005101301883446,1.0061759554055485,0.5631048115158244,-0.5662936382400563,新增精选方案/p3/n1/case_014_multicore_res.json,delivery,方案/p3/n1/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
case_014,3,5,17698626,3686924,3646327,3686924,57797928,84373512,3646327,57797928,ours,ours,4.800377225025523,4.8538230389101145,4.800377225025523,4.8538230389101145,1.101107589958461,-1.1133669580374983,新增精选方案/p3/n5/case_014_multicore_res.json,delivery,方案/p3/n5/case_014_multicore_res.json,unified_v2_best_known_replayed,ledger comparison; union not independently replayed
