id,sample,device_envelope_us,host_us,max_abs_error
barrier_best_scale1_barrier_038,0,3404.47998047,3479.087,0
barrier_worst_scale1_barrier_067,0,348.89999032,446.822,0
barrier_worst_scale2_barrier_066,0,805.700004101,942.025,0
barrier_worst_scale2_barrier_067,0,684.819996357,832.644,0
barrier_best_scale1_barrier_039,0,1910.12001038,2041.29,0
barrier_worst_scale1_barrier_066,0,374.900013208,490.063,0
barrier_best_scale2_barrier_038,0,6812.96014786,6909.435,0
barrier_best_scale2_barrier_039,0,3745.46003342,3863.889,0
barrier_best_scale2_barrier_038,1,6815.10019302,6925.544,0
barrier_worst_scale1_barrier_066,1,382.31998682,494.473,0
barrier_best_scale2_barrier_039,1,3719.98000145,3799.329,0
barrier_worst_scale1_barrier_067,1,438.199996948,562.483,0
barrier_best_scale1_barrier_039,1,1888.96000385,1983.89,0
barrier_worst_scale2_barrier_067,1,680.199980736,786.324,0
barrier_worst_scale2_barrier_066,1,767.400026321,925.935,0
barrier_best_scale1_barrier_038,1,3448.26006889,3584.928,0
barrier_worst_scale1_barrier_066,2,364.14000392,440.062,0
barrier_best_scale2_barrier_039,2,3740.6001091,3852.24,0
barrier_worst_scale1_barrier_067,2,412.059992552,536.503,0
barrier_best_scale1_barrier_039,2,1892.74001122,1990.03,0
barrier_worst_scale2_barrier_066,2,772.520005703,867.314,0
barrier_best_scale2_barrier_038,2,6845.24011612,6965.715,0
barrier_worst_scale2_barrier_067,2,673.820018768,787.454,0
barrier_best_scale1_barrier_038,2,3450.07991791,3561.497,0
barrier_best_scale2_barrier_038,3,6806.83994293,6909.104,0
barrier_best_scale1_barrier_039,3,1916.73994064,2032.14,0
barrier_worst_scale1_barrier_067,3,424.279987812,498.982,0
barrier_worst_scale2_barrier_067,3,663.039982319,779.644,0
barrier_best_scale1_barrier_038,3,3444.27990913,3553.638,0
barrier_worst_scale1_barrier_066,3,361.53998971,439.252,0
barrier_worst_scale2_barrier_066,3,790.000021458,909.184,0
barrier_best_scale2_barrier_039,3,3707.18002319,3838.019,0
barrier_worst_scale1_barrier_066,4,351.859986782,450.932,0
barrier_worst_scale2_barrier_067,4,698.620021343,824.224,0
barrier_best_scale2_barrier_038,4,6823.18019867,6962.145,0
barrier_best_scale1_barrier_039,4,1913.46001625,2062.611,0
barrier_best_scale2_barrier_039,4,3725.87990761,3834.599,0
barrier_worst_scale2_barrier_066,4,753.740012646,873.334,0
barrier_worst_scale1_barrier_067,4,346.960008144,459.592,0
barrier_best_scale1_barrier_038,4,3418.80011559,3523.677,0
barrier_best_scale2_barrier_039,5,3717.81992912,3818.599,0
barrier_best_scale1_barrier_038,5,3420.84002495,3541.038,0
barrier_worst_scale1_barrier_067,5,428.93999815,533.723,0
barrier_best_scale1_barrier_039,5,1906.91995621,2010.51,0
barrier_worst_scale1_barrier_066,5,353.879988194,449.933,0
barrier_best_scale2_barrier_038,5,6804.35991287,6919.504,0
barrier_worst_scale2_barrier_067,5,665.660023689,774.734,0
barrier_worst_scale2_barrier_066,5,761.479973793,886.205,0
barrier_best_scale1_barrier_039,6,1908.82003307,2034.4,0
barrier_worst_scale2_barrier_067,6,661.300003529,743.343,0
barrier_worst_scale2_barrier_066,6,755.420029163,917.665,0
barrier_best_scale2_barrier_039,6,3722.75996208,3826.299,0
barrier_worst_scale1_barrier_066,6,360.419988632,462.653,0
barrier_best_scale2_barrier_038,6,6808.19988251,6915.565,0
barrier_best_scale1_barrier_038,6,3437.54005432,3553.477,0
barrier_worst_scale1_barrier_067,6,327.259987593,407.472,0
barrier_worst_scale2_barrier_066,7,779.739975929,920.794,0
barrier_worst_scale2_barrier_067,7,683.860003948,809.684,0
barrier_worst_scale1_barrier_066,7,374.099999666,493.743,0
barrier_best_scale1_barrier_038,7,3425.42004585,3528.308,0
barrier_worst_scale1_barrier_067,7,331.900000572,433.362,0
barrier_best_scale1_barrier_039,7,1901.99995041,1981.61,0
barrier_best_scale2_barrier_038,7,6811.37990952,6898.415,0
barrier_best_scale2_barrier_039,7,3734.01999474,3836.039,0
barrier_worst_scale1_barrier_067,8,368.180006742,479.303,0
barrier_worst_scale2_barrier_066,8,769.039988518,878.784,0
barrier_best_scale1_barrier_039,8,1895.7400322,2032.93,0
barrier_best_scale1_barrier_038,8,3416.84007645,3527.708,0
barrier_best_scale2_barrier_039,8,3745.86009979,3849.029,0
barrier_best_scale2_barrier_038,8,6823.71997833,6925.745,0
barrier_worst_scale2_barrier_067,8,685.419976711,777.264,0
barrier_worst_scale1_barrier_066,8,378.199994564,502.643,0
barrier_best_scale1_barrier_038,9,3429.57997322,3557.818,0
barrier_worst_scale2_barrier_066,9,743.120014668,857.574,0
barrier_worst_scale2_barrier_067,9,694.800019264,787.044,0
barrier_worst_scale1_barrier_066,9,394.360005856,467.662,0
barrier_best_scale2_barrier_038,9,6822.76010513,6898.024,0
barrier_best_scale1_barrier_039,9,1921.88000679,2002.09,0
barrier_best_scale2_barrier_039,9,3718.26004982,3786.719,0
