suite,baseline,candidate,paired_samples,baseline_us,candidate_us,ratio_of_medians,paired_ratio_median,paired_ratio_ci_low,paired_ratio_ci_high,candidate_faster_samples
barrier,barrier_best_scale1_barrier_038,barrier_best_scale1_barrier_039,30,3432.1700334549996,1898.45997095,1.8078706351324976,1.805252528555256,1.8016674657422354,1.8139645848556423,30
barrier,barrier_best_scale2_barrier_038,barrier_best_scale2_barrier_039,30,6815.129995345,3724.640011785,1.8297419277518072,1.8316598376494475,1.828359269466749,1.8348907691940695,30
barrier,barrier_worst_scale1_barrier_066,barrier_worst_scale1_barrier_067,30,381.3100010155,361.939996481,1.0535171705885698,1.0467333151654294,0.9382964613723427,1.0985608962421531,18
barrier,barrier_worst_scale2_barrier_066,barrier_worst_scale2_barrier_067,30,765.789985657,685.809999704,1.1166212011891339,1.112816910477593,1.1068189860107558,1.1348871303627925,30
cache,cache_best_scale1_cache_047,cache_best_scale1_cache_046,30,11774.70970155,6667.710065845,1.7659300697349367,1.7672123815868321,1.741961154124934,1.7903581493027414,30
cache,cache_best_scale2_cache_047,cache_best_scale2_cache_046,30,22500.28038025,12274.16992185,1.8331406949317097,1.8342009306194627,1.8218879385344642,1.8471189485528599,30
cache,cache_worst_scale1_cache_001,cache_worst_scale1_cache_000,30,72.82000035045,69.33000311255,1.050338916503932,1.123774214551624,0.9512463224196763,1.21242902387182,19
cache,cache_worst_scale2_cache_001,cache_worst_scale2_cache_000,30,65.5400007963,64.89000096915,1.0100169489511803,0.9770032581623834,0.8625965932969604,1.1740087979218503,13
pipe,pipe_best_scale1_pipe_055,pipe_best_scale1_pipe_058,30,17223.279953,12267.960071599999,1.403923704713666,1.4037117415412916,1.4019752402247818,1.4138412303713803,30
pipe,pipe_best_scale2_pipe_055,pipe_best_scale2_pipe_058,30,34409.95979305,24504.1599274,1.4042497231081796,1.404541032844127,1.4039344205488922,1.4098102189216994,30
pipe,pipe_worst_scale1_pipe_000,pipe_worst_scale1_pipe_003,30,1882.16996193,2043.879985805,0.9208808614017965,0.9214470765256982,0.9184429920933287,0.9275368025553169,0
pipe,pipe_worst_scale2_pipe_000,pipe_worst_scale2_pipe_003,30,3726.750016215,4046.7598438249997,0.9209219622710484,0.9202399487879274,0.9190387004174214,0.9225793535937366,0
reuse,reuse_best_scale1_reuse_033,reuse_best_scale1_reuse_032,30,16123.479843149998,1563.2899999649999,10.313812436279246,10.307333428376982,10.272140606776308,10.40292313082156,30
reuse,reuse_best_scale2_reuse_033,reuse_best_scale2_reuse_032,30,32197.360992449998,3085.75999737,10.43417537977415,10.437077844470886,10.391882652231011,10.463518468376055,30
reuse,reuse_worst_scale1_reuse_003,reuse_worst_scale1_reuse_002,30,57.07000009715,44.3199984729,1.2876805519757892,1.229327763428871,1.0562474006566789,1.3488696374059512,24
reuse,reuse_worst_scale2_reuse_003,reuse_worst_scale2_reuse_002,30,67.71999970075001,51.0099995881,1.327582831750272,1.28149207247799,1.193069342746573,1.3441156050223508,28
