id,sample,device_envelope_us,host_us,max_abs_error
pipe_best_scale1_pipe_055,0,17335.2794647,17417.518,0
pipe_worst_scale1_pipe_003,0,2033.27989578,2190.021,0
pipe_worst_scale2_pipe_000,0,3699.59998131,3811.269,0
pipe_worst_scale2_pipe_003,0,4044.87991333,4170.881,0
pipe_best_scale1_pipe_058,0,12262.8002167,12425.503,0
pipe_worst_scale1_pipe_000,0,1872.97999859,2001.37,0
pipe_best_scale2_pipe_055,0,34678.8215637,34807.105,0
pipe_best_scale2_pipe_058,0,24492.0005798,24688.313,0
pipe_best_scale2_pipe_055,1,34369.5793152,34557.183,0
pipe_worst_scale1_pipe_000,1,1873.29995632,2016.98,0
pipe_best_scale2_pipe_058,1,24491.7602539,24583.914,0
pipe_worst_scale1_pipe_003,1,2015.64002037,2162.911,0
pipe_best_scale1_pipe_058,1,12270.4601288,12370.112,0
pipe_worst_scale2_pipe_003,1,4058.83979797,4158.721,0
pipe_worst_scale2_pipe_000,1,3719.01988983,3830.659,0
pipe_best_scale1_pipe_055,1,17175.5199432,17317.337,0
pipe_worst_scale1_pipe_000,2,1872.76005745,2002.81,0
pipe_best_scale2_pipe_058,2,24502.0999908,24597.214,0
pipe_worst_scale1_pipe_003,2,2048.95997047,2211.361,0
pipe_best_scale1_pipe_058,2,12240.0197983,12386.053,0
pipe_worst_scale2_pipe_000,2,3762.34006882,3865.11,0
pipe_best_scale2_pipe_055,2,34406.1393738,34536.093,0
pipe_worst_scale2_pipe_003,2,4070.79982758,4198.571,0
pipe_best_scale1_pipe_055,2,17433.599472,17537.148,0
pipe_best_scale2_pipe_055,3,34698.7991333,34890.595,0
pipe_best_scale1_pipe_058,3,12294.5203781,12458.462,0
pipe_worst_scale1_pipe_003,3,2046.22006416,2215.991,0
pipe_worst_scale2_pipe_003,3,4064.70012665,4155.871,0
pipe_best_scale1_pipe_055,3,17239.9597168,17343.367,0
pipe_worst_scale1_pipe_000,3,1921.62001133,2047.571,0
pipe_worst_scale2_pipe_000,3,3736.25993729,3922.05,0
pipe_best_scale2_pipe_058,3,24519.9794769,24672.593,0
pipe_worst_scale1_pipe_000,4,1909.27994251,2043.08,0
pipe_worst_scale2_pipe_003,4,4048.63977432,4151.711,0
pipe_best_scale2_pipe_055,4,34709.5603943,34859.495,0
pipe_best_scale1_pipe_058,4,12292.4404144,12482.283,0
pipe_best_scale2_pipe_058,4,24525.8197784,24659.504,0
pipe_worst_scale2_pipe_000,4,3747.45988846,3967.92,0
pipe_worst_scale1_pipe_003,4,2087.16011047,2200.991,0
pipe_best_scale1_pipe_055,4,17061.000824,17146.056,0
pipe_best_scale2_pipe_058,5,24556.060791,24683.994,0
pipe_best_scale1_pipe_055,5,17241.6591644,17384.867,0
pipe_worst_scale1_pipe_003,5,2062.95990944,2167.691,0
pipe_best_scale1_pipe_058,5,12279.299736,12417.032,0
pipe_worst_scale1_pipe_000,5,1913.95998001,2054.291,0
pipe_best_scale2_pipe_055,5,34261.2991333,34356.702,0
pipe_worst_scale2_pipe_003,5,4055.18007278,4188.211,0
pipe_worst_scale2_pipe_000,5,3726.86004639,3812.879,0
pipe_best_scale1_pipe_058,6,12266.5596008,12358.582,0
pipe_worst_scale2_pipe_003,6,4068.69983673,4157.901,0
pipe_worst_scale2_pipe_000,6,3739.30001259,3855.45,0
pipe_best_scale2_pipe_058,6,24493.8201904,24638.703,0
pipe_worst_scale1_pipe_000,6,1882.33995438,2001.21,0
pipe_best_scale2_pipe_055,6,34862.0185852,35021.626,0
pipe_best_scale1_pipe_055,6,17378.6201477,17506.518,0
pipe_worst_scale1_pipe_003,6,2044.23999786,2169.541,0
pipe_worst_scale2_pipe_000,7,3726.61995888,3811.429,0
pipe_worst_scale2_pipe_003,7,4040.06004333,4118.241,0
pipe_worst_scale1_pipe_000,7,1886.78002357,1959.19,0
pipe_best_scale1_pipe_055,7,17049.1008759,17132.416,0
pipe_worst_scale1_pipe_003,7,2043.38002205,2198.551,0
pipe_best_scale1_pipe_058,7,12278.1801224,12401.133,0
pipe_best_scale2_pipe_055,7,34417.4385071,34546.013,0
pipe_best_scale2_pipe_058,7,24503.900528,24646.993,0
pipe_worst_scale1_pipe_003,8,2050.76003075,2200.261,0
pipe_worst_scale2_pipe_000,8,3739.12000656,3822.52,0
pipe_best_scale1_pipe_058,8,12257.2202682,12365.572,0
pipe_best_scale1_pipe_055,8,17227.399826,17331.627,0
pipe_best_scale2_pipe_058,8,24504.4193268,24647.554,0
pipe_best_scale2_pipe_055,8,34056.8008423,34247.062,0
pipe_worst_scale2_pipe_003,8,4042.81997681,4178.58,0
pipe_worst_scale1_pipe_000,8,1894.27995682,2002.06,0
pipe_best_scale1_pipe_055,9,17207.4203491,17340.467,0
pipe_worst_scale2_pipe_000,9,3733.88004303,3887.27,0
pipe_worst_scale2_pipe_003,9,4068.07994843,4182.041,0
pipe_worst_scale1_pipe_000,9,1879.37998772,1963.36,0
pipe_best_scale2_pipe_055,9,34704.7996521,34844.065,0
pipe_best_scale1_pipe_058,9,12286.2195969,12450.672,0
pipe_best_scale2_pipe_058,9,24531.6791534,24712.124,0
pipe_worst_scale1_pipe_003,9,2076.28011703,2200.451,0
pipe_worst_scale1_pipe_000,10,1895.43998241,2032.44,0
pipe_best_scale2_pipe_058,10,24507.2803497,24625.703,0
pipe_worst_scale2_pipe_000,10,3730.09991646,3868.309,0
pipe_worst_scale1_pipe_003,10,2043.51997375,2125.801,0
pipe_best_scale1_pipe_055,10,17383.1005096,17475.448,0
pipe_best_scale1_pipe_058,10,12271.3403702,12500.433,0
pipe_best_scale2_pipe_055,10,34709.8388672,34823.805,0
pipe_worst_scale2_pipe_003,10,4043.36023331,4198.091,0
pipe_worst_scale2_pipe_003,11,4072.02005386,4190.991,0
pipe_worst_scale1_pipe_003,11,2094.09999847,2197.721,0
pipe_best_scale2_pipe_058,11,24489.0995026,24578.133,0
pipe_worst_scale2_pipe_000,11,3718.33992004,3861.339,0
pipe_best_scale2_pipe_055,11,34395.2407837,34497.293,0
pipe_best_scale1_pipe_058,11,12308.719635,12485.752,0
pipe_worst_scale1_pipe_000,11,1881.99996948,2003.28,0
pipe_best_scale1_pipe_055,11,17134.9601746,17286.466,0
pipe_worst_scale2_pipe_000,12,3745.12004852,3888.029,0
pipe_best_scale1_pipe_055,12,17219.16008,17318.267,0
pipe_worst_scale1_pipe_000,12,1896.42000198,2008.52,0
pipe_worst_scale1_pipe_003,12,2040.98010063,2123.111,0
pipe_best_scale1_pipe_058,12,12241.7802811,12418.922,0
pipe_best_scale2_pipe_055,12,34408.6990356,34568.504,0
pipe_best_scale2_pipe_058,12,24507.0991516,24639.443,0
pipe_worst_scale2_pipe_003,12,4056.77986145,4168.961,0
pipe_worst_scale2_pipe_003,13,4043.43986511,4168.341,0
pipe_worst_scale1_pipe_000,13,1870.13995647,1963.29,0
pipe_worst_scale2_pipe_000,13,3723.95992279,3800.619,0
pipe_best_scale2_pipe_058,13,24501.9207001,24602.444,0
pipe_worst_scale1_pipe_003,13,2035.70008278,2166.821,0
pipe_best_scale2_pipe_055,13,34038.4597778,34188.981,0
pipe_best_scale1_pipe_058,13,12274.2795944,12418.692,0
pipe_best_scale1_pipe_055,13,17212.2802734,17316.377,0
pipe_best_scale2_pipe_055,14,34399.5399475,34566.424,0
pipe_worst_scale1_pipe_000,14,1888.05997372,2007.14,0
pipe_worst_scale1_pipe_003,14,2029.63995934,2102.381,0
pipe_worst_scale2_pipe_000,14,3713.34004402,3793.339,0
pipe_worst_scale2_pipe_003,14,4058.87985229,4159.401,0
pipe_best_scale1_pipe_055,14,17215.6791687,17373.027,0
pipe_best_scale1_pipe_058,14,12273.639679,12385.322,0
pipe_best_scale2_pipe_058,14,24516.1991119,24657.133,0
pipe_best_scale1_pipe_058,15,12284.0995789,12397.012,0
pipe_best_scale2_pipe_058,15,24505.1593781,24681.484,0
pipe_best_scale2_pipe_055,15,34407.0014954,34583.103,0
pipe_worst_scale1_pipe_003,15,2054.57997322,2172.381,0
pipe_worst_scale1_pipe_000,15,1876.27995014,1950.489,0
pipe_worst_scale2_pipe_003,15,4049.73983765,4174.571,0
pipe_best_scale1_pipe_055,15,17366.1594391,17482.087,0
pipe_worst_scale2_pipe_000,15,3718.6999321,3826.669,0
pipe_worst_scale1_pipe_000,16,1884.37998295,1964.28,0
pipe_best_scale1_pipe_058,16,12255.4597855,12328.812,0
pipe_worst_scale2_pipe_000,16,3740.06009102,3851.239,0
pipe_best_scale2_pipe_055,16,34430.3398132,34576.044,0
pipe_best_scale2_pipe_058,16,24520.6794739,24673.954,0
pipe_best_scale1_pipe_055,16,17446.8994141,17610.839,0
pipe_worst_scale2_pipe_003,16,4062.71982193,4205.631,0
pipe_worst_scale1_pipe_003,16,2033.7600708,2154.31,0
pipe_worst_scale1_pipe_003,17,2028.87988091,2114.441,0
pipe_worst_scale1_pipe_000,17,1867.84005165,1940.2,0
pipe_best_scale1_pipe_055,17,17199.420929,17277.057,0
pipe_best_scale2_pipe_055,17,34055.5992126,34189.442,0
pipe_best_scale1_pipe_058,17,12269.1802979,12400.372,0
