id,sample,device_envelope_us,host_us,max_abs_error
reuse_best_scale1_reuse_033,0,16113.1191254,16174.921,0
reuse_worst_scale1_reuse_002,0,41.060000658,129.451,0
reuse_worst_scale2_reuse_003,0,51.6000017524,113.391,0
reuse_worst_scale2_reuse_002,0,40.300000459,100.371,0
reuse_best_scale1_reuse_032,0,1546.10002041,1682.369,0
reuse_worst_scale1_reuse_003,0,36.5800000727,131.021,0
reuse_best_scale2_reuse_033,0,32181.5185547,32262.282,0
reuse_best_scale2_reuse_032,0,3078.34005356,3168.056,0
reuse_best_scale2_reuse_033,1,32184.1583252,32275.951,0
reuse_worst_scale1_reuse_003,1,56.8200014532,158.651,0
reuse_best_scale2_reuse_032,1,3073.64010811,3148.736,0
reuse_worst_scale1_reuse_002,1,44.1799983382,153.751,0
reuse_best_scale1_reuse_032,1,1544.78001595,1619.768,0
reuse_worst_scale2_reuse_002,1,42.840000242,127.871,0
reuse_worst_scale2_reuse_003,1,51.9799999893,111.841,0
reuse_best_scale1_reuse_033,1,16112.9398346,16185.321,0
reuse_worst_scale1_reuse_003,2,37.4800004065,142.46,0
reuse_best_scale2_reuse_032,2,3095.13998032,3150.816,0
reuse_worst_scale1_reuse_002,2,33.9599996805,108.53,0
reuse_best_scale1_reuse_032,2,1545.86005211,1606.008,0
reuse_worst_scale2_reuse_003,2,53.4199997783,124.771,0
reuse_best_scale2_reuse_033,2,32181.9381714,32257.582,0
reuse_worst_scale2_reuse_002,2,54.8200011253,157.08,0
reuse_best_scale1_reuse_033,2,16112.9207611,16198.001,0
reuse_best_scale2_reuse_033,3,32212.2802734,32352.642,0
reuse_best_scale1_reuse_032,3,1549.98004436,1661.149,0
reuse_worst_scale1_reuse_002,3,36.2199991941,140.611,0
reuse_worst_scale2_reuse_002,3,40.1999987662,106.47,0
reuse_best_scale1_reuse_033,3,16113.8801575,16183.851,0
reuse_worst_scale1_reuse_003,3,36.8600003421,152.791,0
reuse_worst_scale2_reuse_003,3,51.5599995852,121.281,0
reuse_best_scale2_reuse_032,3,3074.53989983,3137.236,0
