suite,id,mode,n,blocks,tile,buffers,rounds,groups,repeats,samples,median_us,p10_us,p90_us,host_median_us,launches,programmed_gm_bytes,logical_GBps,queue_buffer_bytes_per_block,read_workset_bytes,all_outputs_correct
barrier,barrier_best_scale1_barrier_038,barrier,1048576,1,2048,2,64,2,1,30,3432.1700334549996,3416.462063792,3448.5860347750004,3541.2025000000003,4,50331648,14.664672061521836,49152,16777216,True
barrier,barrier_best_scale1_barrier_039,branch,1048576,1,2048,2,64,2,1,30,1898.45997095,1888.3960008669999,1913.788008689,2002.145,4,50331648,26.511829993873274,49152,16777216,True
barrier,barrier_best_scale2_barrier_038,barrier,2097152,1,2048,2,64,2,1,30,6815.129995345,6803.84993553,6836.663818361,6915.59,4,100663296,14.770561393364025,49152,33554432,True
barrier,barrier_best_scale2_barrier_039,branch,2097152,1,2048,2,64,2,1,30,3724.640011785,3707.540082932,3745.5000400569998,3831.6544999999996,4,100663296,27.02631547787031,49152,33554432,True
barrier,barrier_worst_scale1_barrier_066,barrier,1048576,16,2048,2,64,4,1,30,381.3100010155,361.4279896022,405.04799783190003,480.9525,8,100663296,263.9933275600293,49152,33554432,True
barrier,barrier_worst_scale1_barrier_067,branch,1048576,16,2048,2,64,4,1,30,361.939996481,331.4500004051,441.3920044901,470.7625,8,100663296,278.12150350530356,49152,33554432,True
barrier,barrier_worst_scale2_barrier_066,barrier,2097152,16,2048,2,64,4,1,30,765.789985657,746.7680096624999,791.3859963417,871.45,8,201326592,262.900528566294,49152,67108864,True
barrier,barrier_worst_scale2_barrier_067,branch,2097152,16,2048,2,64,4,1,30,685.809999704,665.398019552,699.9780178068,786.7339999999999,8,201326592,293.5603040009534,49152,67108864,True
cache,cache_best_scale1_cache_047,cache_roundrobin,4194304,32,2048,2,1,64,4,30,11774.70970155,11752.28624342,11808.54415896,11868.0,256,12884901888,1094.2861620022663,49152,2147483648,True
cache,cache_best_scale1_cache_046,cache_adjacent,4194304,32,2048,2,1,64,4,30,6667.710065845,6560.788106916,6772.410106663,6792.1245,256,12884901888,1932.4328383746385,49152,2147483648,True
cache,cache_best_scale2_cache_047,cache_roundrobin,8388608,32,2048,2,1,64,4,30,22500.28038025,22440.466117829998,22557.40871433,22620.304,256,25769803776,1145.3103401600222,49152,4294967296,True
cache,cache_best_scale2_cache_046,cache_adjacent,8388608,32,2048,2,1,64,4,30,12274.16992185,12144.65436939,12384.78965757,12395.1615,256,25769803776,2099.5149928734163,49152,4294967296,True
cache,cache_worst_scale1_cache_001,cache_roundrobin,65536,8,2048,2,1,1,4,30,72.82000035045,59.51399877665,112.8299996258,253.236,4,3145728,43.19868147296103,49152,524288,True
cache,cache_worst_scale1_cache_000,cache_adjacent,65536,8,2048,2,1,1,4,30,69.33000311255,54.37199994921,103.0479997398,215.236,4,3145728,45.37325629270836,49152,524288,True
cache,cache_worst_scale2_cache_001,cache_roundrobin,131072,8,2048,2,1,1,4,30,65.5400007963,51.67399868365,89.81399834159001,230.7715,4,6291456,95.99413981629334,49152,1048576,True
cache,cache_worst_scale2_cache_000,cache_adjacent,131072,8,2048,2,1,1,4,30,64.89000096915,55.21599836648,93.43199878935002,162.9855,4,6291456,96.95570821444561,49152,1048576,True
pipe,pipe_best_scale1_pipe_055,pipe,4194304,1,512,1,16,1,4,30,17223.279953,17134.40418247,17388.150405840002,17341.917,4,201326592,11.689213236351787,6144,33554432,True
pipe,pipe_best_scale1_pipe_058,pipe,4194304,1,512,2,16,1,4,30,12267.960071599999,12254.39224244,12286.84167865,12394.767500000002,4,201326592,16.410763551967023,12288,33554432,True
