id,mode,n,blocks,tile,buffers,rounds,groups,repeats
bandwidth_000,pipe,15728640,1,1024,2,1,1,4
bandwidth_001,pipe,15728640,1,1024,2,16,1,4
bandwidth_002,pipe,15728640,1,4096,2,1,1,4
bandwidth_003,pipe,15728640,1,4096,2,16,1,4
bandwidth_004,pipe,15728640,2,1024,2,1,1,4
bandwidth_005,pipe,15728640,2,1024,2,16,1,4
bandwidth_006,pipe,15728640,2,4096,2,1,1,4
bandwidth_007,pipe,15728640,2,4096,2,16,1,4
bandwidth_008,pipe,15728640,4,1024,2,1,1,4
bandwidth_009,pipe,15728640,4,1024,2,16,1,4
bandwidth_010,pipe,15728640,4,4096,2,1,1,4
bandwidth_011,pipe,15728640,4,4096,2,16,1,4
bandwidth_012,pipe,15728640,8,1024,2,1,1,4
bandwidth_013,pipe,15728640,8,1024,2,16,1,4
bandwidth_014,pipe,15728640,8,4096,2,1,1,4
bandwidth_015,pipe,15728640,8,4096,2,16,1,4
bandwidth_016,pipe,15728640,16,1024,2,1,1,4
bandwidth_017,pipe,15728640,16,1024,2,16,1,4
bandwidth_018,pipe,15728640,16,4096,2,1,1,4
bandwidth_019,pipe,15728640,16,4096,2,16,1,4
bandwidth_020,pipe,15728640,32,1024,2,1,1,4
bandwidth_021,pipe,15728640,32,1024,2,16,1,4
bandwidth_022,pipe,15728640,32,4096,2,1,1,4
bandwidth_023,pipe,15728640,32,4096,2,16,1,4
bandwidth_024,pipe,15728640,40,1024,2,1,1,4
bandwidth_025,pipe,15728640,40,1024,2,16,1,4
bandwidth_026,pipe,15728640,40,4096,2,1,1,4
bandwidth_027,pipe,15728640,40,4096,2,16,1,4
bandwidth_028,pipe,15728640,48,1024,2,1,1,4
bandwidth_029,pipe,15728640,48,1024,2,16,1,4
bandwidth_030,pipe,15728640,48,4096,2,1,1,4
bandwidth_031,pipe,15728640,48,4096,2,16,1,4
bandwidth_032,pipe,15728640,64,1024,2,1,1,4
bandwidth_033,pipe,15728640,64,1024,2,16,1,4
bandwidth_034,pipe,15728640,64,4096,2,1,1,4
bandwidth_035,pipe,15728640,64,4096,2,16,1,4
