id,sample,device_envelope_us,host_us,max_abs_error
bandwidth_014,0,519.540011883,574.993,0
bandwidth_029,0,1413.17999363,1530.828,0
bandwidth_023,0,763.800024986,887.294,0
bandwidth_017,0,2070.37997246,2170.521,0
bandwidth_035,0,755.95998764,853.435,0
bandwidth_034,0,175.139993429,300.821,0
bandwidth_033,0,1059.05997753,1190.866,0
bandwidth_003,0,21960.1993561,22073.912,0
bandwidth_008,0,3792.65999794,3921.42,0
bandwidth_015,0,2835.34002304,2925.125,0
bandwidth_018,0,293.700009584,412.852,0
bandwidth_025,0,865.599989891,973.375,0
bandwidth_002,0,3807.1000576,3917.44,0
bandwidth_000,0,15092.8201675,15214.138,0
bandwidth_013,0,4059.51976776,4187.071,0
bandwidth_030,0,222.859993577,333.171,0
bandwidth_022,0,167.019993067,277.931,0
bandwidth_021,0,1063.24005127,1166.386,0
bandwidth_028,0,687.680006027,790.214,0
bandwidth_009,0,8086.89975739,8222.432,0
bandwidth_032,0,529.680013657,656.053,0
bandwidth_026,0,149.739995599,302.492,0
bandwidth_010,0,1019.11997795,1137.516,0
bandwidth_031,0,973.699986935,1094.226,0
bandwidth_020,0,532.819986343,660.083,0
bandwidth_012,0,1910.15994549,2039.491,0
bandwidth_007,0,11005.8202744,11123.997,0
bandwidth_001,0,32287.6014709,32448.585,0
bandwidth_019,0,1419.44003105,1549.038,0
bandwidth_016,0,985.960006714,1093.705,0
bandwidth_024,0,421.440005302,567.352,0
bandwidth_006,0,1973.0399847,2086.45,0
bandwidth_005,0,16139.9803162,16281.983,0
bandwidth_011,0,5525.70009232,5656.129,0
bandwidth_004,0,7564.30006027,7689.39,0
bandwidth_027,0,594.919979572,729.374,0
bandwidth_030,1,241.539999843,384.002,0
bandwidth_034,1,179.279997945,310.772,0
bandwidth_005,1,16139.9002075,16257.943,0
bandwidth_028,1,723.380029202,853.334,0
bandwidth_033,1,1084.87999439,1199.806,0
bandwidth_010,1,1006.70003891,1165.696,0
bandwidth_035,1,751.259982586,858.544,0
bandwidth_024,1,424.419999123,567.693,0
bandwidth_014,1,515.200018883,654.933,0
bandwidth_016,1,979.139983654,1099.245,0
bandwidth_013,1,4060.69993973,4201.551,0
bandwidth_011,1,5523.85997772,5641.209,0
bandwidth_021,1,1048.72000217,1168.516,0
bandwidth_019,1,1402.69994736,1521.587,0
bandwidth_000,1,15106.0400009,15230.898,0
bandwidth_008,1,3795.84002495,3912.29,0
bandwidth_022,1,166.539996862,275.502,0
bandwidth_017,1,2040.65990448,2175.531,0
bandwidth_018,1,278.600007296,395.622,0
bandwidth_023,1,728.91998291,882.954,0
bandwidth_032,1,526.539981365,636.373,0
bandwidth_026,1,150.920003653,259.062,0
bandwidth_025,1,851.999998093,970.745,0
bandwidth_009,1,8098.05965424,8208.672,0
bandwidth_027,1,571.959972382,699.173,0
bandwidth_001,1,32262.9013062,32412.965,0
bandwidth_020,1,542.980015278,653.124,0
bandwidth_004,1,7615.90003967,7757.059,0
bandwidth_007,1,11027.4000168,11140.927,0
bandwidth_006,1,1988.8600111,2096.611,0
bandwidth_031,1,991.219997406,1102.775,0
bandwidth_029,1,1394.89996433,1520.708,0
bandwidth_012,1,1893.13995838,2041.89,0
bandwidth_002,1,3796.56004906,3940.18,0
bandwidth_003,1,21952.6996613,22076.102,0
bandwidth_015,1,2773.83995056,2890.285,0
bandwidth_013,2,4062.03985214,4178.661,0
bandwidth_026,2,150.079995394,291.831,0
bandwidth_015,2,2783.42008591,2911.165,0
bandwidth_016,2,974.720001221,1099.655,0
bandwidth_032,2,520.900011063,644.573,0
bandwidth_021,2,1082.3199749,1204.426,0
bandwidth_002,2,3805.88006973,3969.6,0
bandwidth_017,2,2050.10008812,2170.481,0
bandwidth_012,2,1926.38003826,2041.61,0
bandwidth_031,2,961.67999506,1077.325,0
bandwidth_028,2,672.219991684,808.345,0
bandwidth_035,2,746.840000153,858.274,0
bandwidth_009,2,8085.02006531,8194.702,0
bandwidth_025,2,861.299991608,954.445,0
bandwidth_014,2,521.820008755,637.084,0
bandwidth_008,2,3795.6199646,3916.82,0
bandwidth_034,2,185.939997435,300.831,0
bandwidth_030,2,227.459996939,331.692,0
bandwidth_024,2,419.739991426,550.723,0
bandwidth_018,2,275.959998369,383.622,0
bandwidth_020,2,523.580014706,643.863,0
bandwidth_019,2,1416.07999802,1515.558,0
bandwidth_006,2,1981.01997375,2097.65,0
bandwidth_003,2,21951.2405396,22073.292,0
bandwidth_023,2,739.380002022,846.704,0
bandwidth_029,2,1400.53999424,1517.228,0
bandwidth_010,2,1006.47997856,1115.915,0
bandwidth_007,2,11000.6399155,11117.897,0
bandwidth_000,2,15104.640007,15223.768,0
bandwidth_022,2,176.699995995,297.161,0
bandwidth_027,2,604.539990425,720.503,0
bandwidth_011,2,5511.11984253,5639.989,0
bandwidth_001,2,32251.8615723,32388.785,0
bandwidth_033,2,1110.00001431,1258.606,0
bandwidth_005,2,16166.7404175,16286.363,0
bandwidth_004,2,7582.30018616,7701.259,0
bandwidth_005,3,16135.1203918,16288.843,0
bandwidth_004,3,7606.82010651,7734.61,0
bandwidth_001,3,32268.1808472,32411.376,0
bandwidth_012,3,1908.12003613,2046.57,0
bandwidth_023,3,737.919986248,857.234,0
bandwidth_016,3,976.260006428,1118.295,0
bandwidth_019,3,1424.3799448,1544.668,0
bandwidth_025,3,890.120029449,1003.235,0
bandwidth_008,3,3824.75996017,3924.97,0
bandwidth_018,3,305.480003357,423.563,0
bandwidth_000,3,15113.2802963,15231.507,0
bandwidth_013,3,4082.33976364,4191.211,0
bandwidth_002,3,3829.65993881,3947.18,0
bandwidth_031,3,996.919989586,1105.316,0
bandwidth_035,3,759.100019932,858.074,0
bandwidth_003,3,21952.4402618,22092.253,0
bandwidth_033,3,1057.01994896,1174.156,0
bandwidth_034,3,179.61999774,286.872,0
bandwidth_007,3,11020.2198029,11139.637,0
bandwidth_021,3,1046.28002644,1159.256,0
bandwidth_010,3,1026.49998665,1140.366,0
bandwidth_014,3,549.099981785,673.483,0
bandwidth_029,3,1417.29998589,1526.768,0
bandwidth_015,3,2804.21996117,2908.295,0
bandwidth_022,3,188.500002027,314.091,0
bandwidth_028,3,689.760029316,804.904,0
bandwidth_006,3,1989.61997032,2109.571,0
bandwidth_030,3,233.239993453,340.442,0
bandwidth_011,3,5529.96015549,5658.469,0
bandwidth_032,3,541.920006275,652.733,0
bandwidth_027,3,621.959984303,734.134,0
bandwidth_020,3,537.919998169,659.493,0
bandwidth_026,3,170.760005713,291.222,0
bandwidth_009,3,8080.94024658,8253.993,0
bandwidth_024,3,451.719999313,549.763,0
bandwidth_017,3,2069.76008415,2177.461,0
bandwidth_007,4,11032.6404572,11147.527,0
bandwidth_026,4,153.740003705,268.241,0
bandwidth_030,4,256.960004568,366.392,0
bandwidth_033,4,1065.63997269,1191.296,0
bandwidth_003,4,21971.1208344,22097.823,0
bandwidth_002,4,3822.97992706,3938.17,0
bandwidth_020,4,540.859997272,655.853,0
bandwidth_022,4,196.979999542,317.232,0
bandwidth_005,4,16160.9592438,16273.763,0
bandwidth_017,4,2067.64006615,2189.351,0
bandwidth_027,4,616.219997406,729.164,0
bandwidth_028,4,702.820003033,808.284,0
bandwidth_034,4,200.360000134,313.011,0
bandwidth_019,4,1434.8000288,1538.088,0
bandwidth_006,4,2003.36003304,2133.021,0
bandwidth_018,4,303.220003843,414.563,0
bandwidth_008,4,3827.32009888,3928.81,0
bandwidth_015,4,2838.41991425,2963.515,0
bandwidth_021,4,1084.38003063,1186.956,0
bandwidth_004,4,7592.00000763,7697.149,0
bandwidth_032,4,556.620001793,656.483,0
bandwidth_010,4,1043.02000999,1156.186,0
bandwidth_025,4,882.899999619,989.105,0
bandwidth_029,4,1398.75996113,1524.698,0
bandwidth_035,4,757.420003414,853.744,0
bandwidth_000,4,15124.0196228,15247.658,0
bandwidth_014,4,554.539978504,659.033,0
bandwidth_001,4,32286.1213684,32406.305,0
bandwidth_031,4,991.599977016,1099.526,0
bandwidth_009,4,8116.22047424,8229.192,0
bandwidth_016,4,984.160006046,1115.186,0
bandwidth_013,4,4097.59998322,4204.211,0
bandwidth_023,4,750.299990177,876.614,0
bandwidth_011,4,5519.57988739,5644.319,0
bandwidth_012,4,1922.76000977,2057.16,0
bandwidth_024,4,443.619996309,557.433,0
bandwidth_021,5,1050.07994175,1169.946,0
bandwidth_017,5,2059.4599247,2179.951,0
bandwidth_002,5,3803.87997627,3918.29,0
bandwidth_024,5,398.279994726,537.113,0
bandwidth_029,5,1392.07994938,1507.758,0
bandwidth_031,5,959.519982338,1092.975,0
bandwidth_022,5,166.999995708,288.762,0
bandwidth_006,5,2001.12009048,2137.321,0
bandwidth_015,5,2785.95995903,2899.174,0
bandwidth_032,5,516.560018063,640.783,0
bandwidth_009,5,8089.50042725,8207.002,0
bandwidth_033,5,1055.08005619,1167.496,0
bandwidth_018,5,294.440001249,395.792,0
bandwidth_000,5,15090.2996063,15217.597,0
bandwidth_020,5,513.100028038,631.234,0
bandwidth_016,5,986.140012741,1105.885,0
bandwidth_019,5,1415.09997845,1529.248,0
bandwidth_034,5,194.44000721,304.581,0
bandwidth_013,5,4097.51987457,4205.251,0
bandwidth_014,5,571.020007133,668.354,0
bandwidth_035,5,758.41999054,869.434,0
bandwidth_005,5,16170.8393097,16293.933,0
bandwidth_007,5,11031.0602188,11146.827,0
bandwidth_011,5,5523.26011658,5629.029,0
bandwidth_025,5,864.780008793,978.555,0
bandwidth_003,5,21973.739624,22098.122,0
bandwidth_027,5,603.120028973,715.653,0
bandwidth_028,5,666.999995708,790.384,0
bandwidth_008,5,3830.96003532,3948.61,0
bandwidth_030,5,215.159997344,330.181,0
bandwidth_026,5,159.319996834,272.011,0
bandwidth_001,5,32252.9411316,32403.836,0
bandwidth_012,5,1916.5199995,2035.97,0
bandwidth_010,5,1018.26000214,1124.156,0
bandwidth_004,5,7560.46009064,7687.739,0
bandwidth_023,5,750.859975815,848.464,0
bandwidth_016,6,982.280015945,1096.775,0
bandwidth_022,6,180.920004845,294.651,0
bandwidth_035,6,796.840012074,938.565,0
bandwidth_019,6,1434.73994732,1569.048,0
bandwidth_012,6,1950.73997974,2071.21,0
bandwidth_011,6,5510.20002365,5664.199,0
bandwidth_010,6,994.400024414,1109.275,0
bandwidth_008,6,3806.27989769,3918.58,0
bandwidth_026,6,150.179997087,278.212,0
bandwidth_030,6,220.180004835,336.472,0
bandwidth_017,6,2074.77998734,2185.681,0
bandwidth_020,6,530.099987984,636.983,0
bandwidth_003,6,21952.2399902,22105.333,0
bandwidth_028,6,671.76002264,793.454,0
bandwidth_027,6,613.979995251,733.183,0
bandwidth_032,6,543.619990349,646.253,0
bandwidth_002,6,3847.10001945,3973.22,0
bandwidth_009,6,8107.04040527,8227.382,0
bandwidth_014,6,541.920006275,658.933,0
bandwidth_001,6,32274.0783691,32416.135,0
bandwidth_021,6,1057.70003796,1158.846,0
bandwidth_015,6,2796.0600853,2902.035,0
bandwidth_013,6,4080.71994781,4197.131,0
bandwidth_005,6,16171.1196899,16289.543,0
bandwidth_034,6,207.240000367,329.252,0
bandwidth_033,6,1082.38005638,1194.456,0
bandwidth_025,6,879.980027676,1011.055,0
bandwidth_024,6,446.500003338,580.003,0
bandwidth_023,6,752.340018749,860.055,0
bandwidth_006,6,1985.05997658,2088.981,0
bandwidth_018,6,304.479986429,413.162,0
bandwidth_004,6,7591.93992615,7690.98,0
bandwidth_031,6,1017.42005348,1148.656,0
bandwidth_029,6,1421.46003246,1521.568,0
bandwidth_000,6,15123.2004166,15226.528,0
bandwidth_007,6,11035.8400345,11152.486,0
bandwidth_007,7,11026.7601013,11142.567,0
bandwidth_002,7,3826.99990273,3942.74,0
bandwidth_021,7,1068.79997253,1190.556,0
bandwidth_022,7,187.619999051,297.862,0
bandwidth_025,7,876.060009003,1017.606,0
bandwidth_011,7,5550.75979233,5687.049,0
bandwidth_014,7,547.399997711,666.654,0
bandwidth_035,7,750.720024109,885.505,0
bandwidth_033,7,1086.38000488,1191.526,0
bandwidth_006,7,2009.77993011,2119.111,0
bandwidth_000,7,15115.9200668,15274.058,0
bandwidth_009,7,8119.77958679,8229.792,0
bandwidth_013,7,4081.60018921,4192.382,0
bandwidth_012,7,1938.84003162,2055.77,0
bandwidth_019,7,1408.05995464,1535.947,0
bandwidth_004,7,7591.49980545,7723.749,0
bandwidth_017,7,2078.4599781,2182.381,0
bandwidth_030,7,254.739999771,367.301,0
bandwidth_003,7,21995.2793121,22110.893,0
bandwidth_001,7,32308.9599609,32456.676,0
bandwidth_023,7,756.519973278,882.035,0
bandwidth_018,7,320.080012083,423.592,0
bandwidth_005,7,16194.5800781,16300.223,0
bandwidth_027,7,607.420027256,724.374,0
bandwidth_015,7,2784.8200798,2893.165,0
bandwidth_029,7,1403.18000317,1542.697,0
bandwidth_026,7,159.600004554,259.581,0
bandwidth_020,7,523.259997368,638.173,0
bandwidth_016,7,977.680027485,1094.166,0
bandwidth_024,7,451.579988003,563.783,0
bandwidth_028,7,675.199985504,810.304,0
bandwidth_010,7,1021.23999596,1130.016,0
bandwidth_008,7,3826.65991783,3969.731,0
bandwidth_034,7,221.980005503,543.853,0
bandwidth_032,7,516.399979591,640.903,0
bandwidth_031,7,987.179994583,1109.126,0
bandwidth_011,8,5529.58011627,5644.479,0
bandwidth_021,8,1096.56000137,1209.947,0
bandwidth_016,8,1013.56005669,1132.136,0
bandwidth_020,8,540.880024433,663.613,0
bandwidth_008,8,3832.49998093,3929.43,0
bandwidth_022,8,195.600003004,303.411,0
bandwidth_027,8,624.019980431,735.214,0
bandwidth_009,8,8119.93980408,8234.972,0
bandwidth_014,8,545.599997044,657.563,0
bandwidth_033,8,1088.76001835,1192.157,0
