id,mode,n,blocks,tile,buffers,rounds,groups,repeats
barrier_000,barrier,262144,1,2048,2,16,2,1
barrier_001,branch,262144,1,2048,2,16,2,1
barrier_002,barrier,262144,1,2048,2,64,2,1
barrier_003,branch,262144,1,2048,2,64,2,1
barrier_004,barrier,262144,1,2048,2,16,4,1
barrier_005,branch,262144,1,2048,2,16,4,1
barrier_006,barrier,262144,1,2048,2,64,4,1
barrier_007,branch,262144,1,2048,2,64,4,1
barrier_008,barrier,262144,1,2048,2,16,8,1
barrier_009,branch,262144,1,2048,2,16,8,1
barrier_010,barrier,262144,1,2048,2,64,8,1
barrier_011,branch,262144,1,2048,2,64,8,1
barrier_012,barrier,262144,4,2048,2,16,2,1
barrier_013,branch,262144,4,2048,2,16,2,1
barrier_014,barrier,262144,4,2048,2,64,2,1
barrier_015,branch,262144,4,2048,2,64,2,1
barrier_016,barrier,262144,4,2048,2,16,4,1
barrier_017,branch,262144,4,2048,2,16,4,1
barrier_018,barrier,262144,4,2048,2,64,4,1
barrier_019,branch,262144,4,2048,2,64,4,1
barrier_020,barrier,262144,4,2048,2,16,8,1
barrier_021,branch,262144,4,2048,2,16,8,1
barrier_022,barrier,262144,4,2048,2,64,8,1
barrier_023,branch,262144,4,2048,2,64,8,1
barrier_024,barrier,262144,16,2048,2,16,2,1
barrier_025,branch,262144,16,2048,2,16,2,1
barrier_026,barrier,262144,16,2048,2,64,2,1
barrier_027,branch,262144,16,2048,2,64,2,1
barrier_028,barrier,262144,16,2048,2,16,4,1
barrier_029,branch,262144,16,2048,2,16,4,1
barrier_030,barrier,262144,16,2048,2,64,4,1
barrier_031,branch,262144,16,2048,2,64,4,1
barrier_032,barrier,262144,16,2048,2,16,8,1
barrier_033,branch,262144,16,2048,2,16,8,1
barrier_034,barrier,262144,16,2048,2,64,8,1
barrier_035,branch,262144,16,2048,2,64,8,1
barrier_036,barrier,1048576,1,2048,2,16,2,1
barrier_037,branch,1048576,1,2048,2,16,2,1
barrier_038,barrier,1048576,1,2048,2,64,2,1
barrier_039,branch,1048576,1,2048,2,64,2,1
barrier_040,barrier,1048576,1,2048,2,16,4,1
barrier_041,branch,1048576,1,2048,2,16,4,1
barrier_042,barrier,1048576,1,2048,2,64,4,1
barrier_043,branch,1048576,1,2048,2,64,4,1
barrier_044,barrier,1048576,1,2048,2,16,8,1
barrier_045,branch,1048576,1,2048,2,16,8,1
barrier_046,barrier,1048576,1,2048,2,64,8,1
barrier_047,branch,1048576,1,2048,2,64,8,1
barrier_048,barrier,1048576,4,2048,2,16,2,1
barrier_049,branch,1048576,4,2048,2,16,2,1
barrier_050,barrier,1048576,4,2048,2,64,2,1
barrier_051,branch,1048576,4,2048,2,64,2,1
barrier_052,barrier,1048576,4,2048,2,16,4,1
barrier_053,branch,1048576,4,2048,2,16,4,1
barrier_054,barrier,1048576,4,2048,2,64,4,1
barrier_055,branch,1048576,4,2048,2,64,4,1
barrier_056,barrier,1048576,4,2048,2,16,8,1
barrier_057,branch,1048576,4,2048,2,16,8,1
barrier_058,barrier,1048576,4,2048,2,64,8,1
barrier_059,branch,1048576,4,2048,2,64,8,1
barrier_060,barrier,1048576,16,2048,2,16,2,1
barrier_061,branch,1048576,16,2048,2,16,2,1
barrier_062,barrier,1048576,16,2048,2,64,2,1
barrier_063,branch,1048576,16,2048,2,64,2,1
barrier_064,barrier,1048576,16,2048,2,16,4,1
barrier_065,branch,1048576,16,2048,2,16,4,1
barrier_066,barrier,1048576,16,2048,2,64,4,1
barrier_067,branch,1048576,16,2048,2,64,4,1
barrier_068,barrier,1048576,16,2048,2,16,8,1
barrier_069,branch,1048576,16,2048,2,16,8,1
barrier_070,barrier,1048576,16,2048,2,64,8,1
barrier_071,branch,1048576,16,2048,2,64,8,1
