id,sample,device_envelope_us,host_us,max_abs_error
barrier_053,0,308.560013771,350.962,0
barrier_044,0,1072.05998898,1177.156,0
barrier_023,0,532.899975777,659.754,0
barrier_017,0,249.919995666,325.981,0
barrier_068,0,479.299992323,552.293,0
barrier_034,0,510.439991951,612.333,0
barrier_033,0,431.959986687,515.383,0
barrier_003,0,540.840029716,630.023,0
barrier_067,0,332.45998621,394.672,0
barrier_054,0,950.779974461,1039.045,0
barrier_018,0,366.560012102,459.082,0
barrier_049,0,230.83999753,314.732,0
barrier_071,0,629.559993744,726.894,0
barrier_058,0,1140.07997513,1246.126,0
barrier_046,0,3630.23996353,3727.119,0
barrier_030,0,328.999996185,440.742,0
barrier_022,0,640.779972076,744.084,0
barrier_066,0,376.280009747,490.123,0
barrier_028,0,309.78000164,468.772,0
barrier_009,0,514.980018139,642.803,0
barrier_032,0,551.259994507,654.793,0
barrier_026,0,145.659998059,245.831,0
barrier_010,0,1033.0799818,1122.636,0
barrier_031,0,233.999997377,303.492,0
barrier_020,0,495.279997587,563.583,0
barrier_012,0,157.159999013,255.752,0
barrier_042,0,3469.70009804,3572.098,0
barrier_001,0,229.240000248,319.232,0
barrier_019,0,349.000006914,436.632,0
barrier_064,0,244.519993663,340.541,0
barrier_063,0,233.980000019,332.081,0
barrier_060,0,147.339999676,250.981,0
barrier_062,0,244.399994612,335.292,0
barrier_011,0,905.080020428,969.345,0
barrier_050,0,873.359978199,966.125,0
barrier_039,0,1893.88000965,1995.52,0
barrier_024,0,143.179997802,224.221,0
barrier_002,0,868.499994278,951.885,0
barrier_036,0,867.839992046,947.695,0
barrier_059,0,854.700028896,943.735,0
barrier_004,0,384.460002184,501.892,0
barrier_045,0,913.739979267,979.845,0
barrier_007,0,696.699976921,802.664,0
barrier_037,0,620.28002739,704.303,0
barrier_048,0,240.36000669,325.452,0
barrier_025,0,135.940000415,236.761,0
barrier_055,0,635.060012341,714.074,0
barrier_016,0,275.68000555,345.532,0
barrier_029,0,213.440001011,284.992,0
barrier_041,0,690.819978714,788.304,0
barrier_040,0,966.099977493,1093.795,0
barrier_008,0,589.240014553,682.193,0
barrier_052,0,375.059992075,464.273,0
barrier_014,0,241.060003638,328.122,0
barrier_015,0,214.460000396,300.632,0
barrier_013,0,134.519994259,216.331,0
barrier_070,0,674.939990044,765.844,0
barrier_065,0,285.860002041,387.592,0
barrier_000,0,275.999993086,377.791,0
barrier_027,0,138.86000216,224.861,0
barrier_006,0,932.600021362,999.016,0
barrier_057,0,513.679981232,597.973,0
barrier_005,0,376.940011978,480.513,0
barrier_069,0,404.379993677,481.202,0
barrier_047,0,2182.64007568,2277.192,0
barrier_061,0,176.339998841,276.971,0
barrier_021,0,413.340002298,475.743,0
barrier_051,0,540.199995041,616.323,0
barrier_035,0,456.860005856,546.253,0
barrier_038,0,3409.48009491,3574.929,0
barrier_056,0,624.539971352,758.274,0
barrier_043,0,2023.22006226,2143.251,0
barrier_056,1,617.780029774,711.114,0
barrier_015,1,245.140001178,358.981,0
barrier_029,1,274.85999465,350.772,0
barrier_014,1,239.739999175,314.132,0
barrier_041,1,668.760001659,728.294,0
barrier_035,1,550.559997559,628.193,0
barrier_008,1,581.560015678,669.824,0
barrier_043,1,1976.35996342,2047.36,0
barrier_062,1,258.040010929,408.572,0
barrier_063,1,252.220004797,370.282,0
barrier_017,1,254.280000925,331.012,0
barrier_006,1,942.820012569,1028.536,0
barrier_038,1,3414.25991058,3507.148,0
barrier_010,1,1071.59996033,1206.066,0
barrier_067,1,337.999999523,405.052,0
barrier_061,1,177.839994431,283.581,0
barrier_044,1,1073.32003117,1145.826,0
barrier_036,1,897.199988365,997.265,0
barrier_048,1,259.279996157,351.942,0
barrier_028,1,258.439987898,323.431,0
barrier_042,1,3524.85990524,3606.178,0
barrier_058,1,1101.81999207,1192.276,0
barrier_040,1,974.900007248,1106.386,0
barrier_050,1,902.920007706,1009.745,0
barrier_047,1,2177.05988884,2238.202,0
barrier_060,1,172.720000148,262.412,0
barrier_034,1,533.98001194,593.863,0
barrier_070,1,736.819982529,797.084,0
barrier_046,1,3672.85990715,3806.739,0
barrier_024,1,153.760001063,233.001,0
barrier_045,1,884.899973869,942.035,0
barrier_049,1,269.459992647,370.342,0
barrier_012,1,167.180001736,235.052,0
barrier_068,1,498.180001974,555.613,0
barrier_004,1,455.460011959,568.103,0
barrier_025,1,140.799999237,207.951,0
barrier_022,1,558.220028877,616.633,0
barrier_031,1,279.119998217,339.992,0
barrier_037,1,615.45997858,683.764,0
barrier_033,1,398.999989033,482.292,0
barrier_023,1,568.359971046,653.454,0
barrier_020,1,490.440011024,564.533,0
barrier_018,1,393.359988928,485.832,0
barrier_053,1,319.13998723,379.602,0
barrier_055,1,712.480008602,815.754,0
barrier_001,1,252.279996872,345.352,0
barrier_003,1,548.839986324,608.533,0
barrier_016,1,296.05999589,377.712,0
barrier_005,1,321.220010519,388.172,0
barrier_032,1,521.960020065,590.723,0
barrier_064,1,257.039994001,356.192,0
barrier_011,1,927.20001936,1032.176,0
barrier_051,1,538.460016251,626.983,0
barrier_054,1,959.779977798,1061.945,0
barrier_026,1,168.459996581,255.902,0
barrier_009,1,525.099992752,603.313,0
barrier_057,1,547.379970551,631.023,0
barrier_007,1,713.0600214,811.364,0
barrier_065,1,265.980005264,333.662,0
barrier_027,1,175.999999046,279.351,0
barrier_059,1,903.999984264,967.705,0
barrier_019,1,344.920009375,472.302,0
barrier_039,1,1913.17999363,2001.9,0
barrier_030,1,313.560009003,406.892,0
barrier_013,1,145.740002394,252.372,0
barrier_069,1,400.42001009,477.193,0
barrier_021,1,496.320009232,615.903,0
barrier_000,1,259.539991617,352.411,0
barrier_071,1,625.180006027,697.623,0
barrier_002,1,896.939992905,1016.575,0
barrier_052,1,378.560006618,458.422,0
barrier_066,1,391.739994287,484.312,0
barrier_026,2,166.260004044,250.891,0
barrier_054,2,933.640003204,1001.855,0
barrier_070,2,714.879989624,803.154,0
barrier_044,2,1072.44002819,1264.587,0
barrier_019,2,389.899998903,496.503,0
barrier_016,2,265.119999647,333.572,0
barrier_049,2,208.440005779,309.031,0
barrier_071,2,624.480009079,694.794,0
barrier_066,2,500.779986382,669.423,0
barrier_022,2,673.61998558,782.364,0
barrier_045,2,884.360015392,954.235,0
barrier_013,2,189.779996872,339.302,0
barrier_036,2,872.979998589,965.195,0
barrier_003,2,535.83997488,663.274,0
barrier_034,2,462.460011244,584.843,0
barrier_063,2,222.259998322,341.362,0
barrier_062,2,271.739989519,364.112,0
barrier_051,2,523.519992828,650.964,0
barrier_028,2,285.219997168,400.652,0
barrier_015,2,196.180000901,313.501,0
barrier_055,2,621.060013771,697.173,0
barrier_053,2,352.660000324,462.683,0
barrier_043,2,1946.87998295,2083.351,0
barrier_011,2,914.780020714,1040.075,0
barrier_057,2,526.359975338,646.243,0
barrier_017,2,348.980009556,496.623,0
barrier_064,2,269.639998674,352.082,0
barrier_029,2,290.800005198,372.342,0
barrier_010,2,1052.57999897,1149.366,0
barrier_009,2,482.059985399,576.513,0
barrier_035,2,468.05998683,560.822,0
barrier_005,2,316.15999341,412.172,0
barrier_041,2,673.820018768,755.443,0
barrier_021,2,448.819994926,565.002,0
barrier_014,2,284.579992294,397.202,0
barrier_004,2,376.399993896,470.223,0
barrier_025,2,167.539998889,229.871,0
barrier_012,2,167.300000787,245.352,0
barrier_033,2,402.300000191,498.223,0
barrier_048,2,293.440014124,399.062,0
barrier_024,2,179.800003767,247.871,0
barrier_018,2,362.679988146,449.752,0
barrier_061,2,153.40000391,262.331,0
barrier_042,2,3481.80007935,3607.328,0
barrier_027,2,172.220006585,316.551,0
barrier_039,2,1897.45998383,1965.88,0
barrier_008,2,597.98002243,677.974,0
barrier_000,2,253.340005875,345.221,0
barrier_001,2,235.479995608,320.211,0
barrier_058,2,1053.40003967,1122.956,0
barrier_002,2,894.999980927,1050.825,0
barrier_065,2,262.540012598,324.162,0
