id,mode,n,blocks,tile,buffers,rounds,groups,repeats
cache_000,cache_adjacent,65536,8,2048,2,1,1,4
cache_001,cache_roundrobin,65536,8,2048,2,1,1,4
cache_002,cache_adjacent,65536,8,2048,2,1,4,4
cache_003,cache_roundrobin,65536,8,2048,2,1,4,4
cache_004,cache_adjacent,65536,8,2048,2,1,16,4
cache_005,cache_roundrobin,65536,8,2048,2,1,16,4
cache_006,cache_adjacent,65536,8,2048,2,1,64,4
cache_007,cache_roundrobin,65536,8,2048,2,1,64,4
cache_008,cache_adjacent,65536,32,2048,2,1,1,4
cache_009,cache_roundrobin,65536,32,2048,2,1,1,4
cache_010,cache_adjacent,65536,32,2048,2,1,4,4
cache_011,cache_roundrobin,65536,32,2048,2,1,4,4
cache_012,cache_adjacent,65536,32,2048,2,1,16,4
cache_013,cache_roundrobin,65536,32,2048,2,1,16,4
cache_014,cache_adjacent,65536,32,2048,2,1,64,4
cache_015,cache_roundrobin,65536,32,2048,2,1,64,4
cache_016,cache_adjacent,1048576,8,2048,2,1,1,4
cache_017,cache_roundrobin,1048576,8,2048,2,1,1,4
cache_018,cache_adjacent,1048576,8,2048,2,1,4,4
cache_019,cache_roundrobin,1048576,8,2048,2,1,4,4
cache_020,cache_adjacent,1048576,8,2048,2,1,16,4
cache_021,cache_roundrobin,1048576,8,2048,2,1,16,4
cache_022,cache_adjacent,1048576,8,2048,2,1,64,4
cache_023,cache_roundrobin,1048576,8,2048,2,1,64,4
cache_024,cache_adjacent,1048576,32,2048,2,1,1,4
cache_025,cache_roundrobin,1048576,32,2048,2,1,1,4
cache_026,cache_adjacent,1048576,32,2048,2,1,4,4
cache_027,cache_roundrobin,1048576,32,2048,2,1,4,4
cache_028,cache_adjacent,1048576,32,2048,2,1,16,4
cache_029,cache_roundrobin,1048576,32,2048,2,1,16,4
cache_030,cache_adjacent,1048576,32,2048,2,1,64,4
cache_031,cache_roundrobin,1048576,32,2048,2,1,64,4
cache_032,cache_adjacent,4194304,8,2048,2,1,1,4
cache_033,cache_roundrobin,4194304,8,2048,2,1,1,4
cache_034,cache_adjacent,4194304,8,2048,2,1,4,4
cache_035,cache_roundrobin,4194304,8,2048,2,1,4,4
cache_036,cache_adjacent,4194304,8,2048,2,1,16,4
cache_037,cache_roundrobin,4194304,8,2048,2,1,16,4
cache_038,cache_adjacent,4194304,8,2048,2,1,64,4
cache_039,cache_roundrobin,4194304,8,2048,2,1,64,4
cache_040,cache_adjacent,4194304,32,2048,2,1,1,4
cache_041,cache_roundrobin,4194304,32,2048,2,1,1,4
cache_042,cache_adjacent,4194304,32,2048,2,1,4,4
cache_043,cache_roundrobin,4194304,32,2048,2,1,4,4
cache_044,cache_adjacent,4194304,32,2048,2,1,16,4
cache_045,cache_roundrobin,4194304,32,2048,2,1,16,4
cache_046,cache_adjacent,4194304,32,2048,2,1,64,4
cache_047,cache_roundrobin,4194304,32,2048,2,1,64,4
