id,sample,device_envelope_us,host_us,max_abs_error
cache_014,0,1695.00005245,1801.999,0
cache_044,0,1661.96000576,1794.169,0
cache_023,0,5174.0398407,5308.167,0
cache_017,0,165.500000119,290.131,0
cache_035,0,1100.4999876,1190.366,0
cache_034,0,1145.69997787,1324.246,0
cache_033,0,346.439987421,514.583,0
cache_003,0,376.280009747,529.763,0
cache_008,0,123.49999696,220.771,0
cache_015,0,4869.74000931,5008.626,0
cache_018,0,390.61999321,543.603,0
cache_041,0,135.800004005,246.921,0
cache_043,0,384.700000286,510.183,0
cache_000,0,219.799995422,342.332,0
cache_046,0,6486.7401123,6574.914,0
cache_030,0,2514.21999931,2679.874,0
cache_022,0,4626.54018402,4784.435,0
cache_021,0,1175.92000961,1332.567,0
cache_028,0,542.079985142,709.614,0
cache_009,0,64.8600012064,211.531,0
cache_032,0,273.860007524,344.152,0
cache_026,0,176.21999979,286.462,0
cache_010,0,131.080001593,232.591,0
cache_031,0,3400.2199173,3494.278,0
cache_020,0,1202.2600174,1363.477,0
cache_012,0,472.359985113,653.334,0
cache_042,0,332.720011473,424.752,0
cache_001,0,56.8200014532,211.331,0
cache_019,0,293.159991503,397.432,0
cache_047,0,11516.5596008,11621.309,0
cache_038,0,17372.7397919,17515.729,0
cache_006,0,1756.18004799,1977.74,0
cache_005,0,472.140014172,632.253,0
cache_011,0,132.799997926,247.962,0
cache_040,0,85.0600004196,160.11,0
cache_039,0,18557.2795868,18742.165,0
cache_024,0,106.760002673,347.842,0
cache_002,0,122.539997101,263.481,0
cache_036,0,4294.04020309,4367.782,0
cache_027,0,207.359999418,402.472,0
cache_004,0,484.539985657,612.113,0
cache_045,0,2911.78011894,3052.066,0
cache_007,0,1787.08004951,1966.3,0
cache_037,0,4721.11988068,4871.194,0
cache_029,0,628.679990768,741.264,0
cache_025,0,75.9399980307,236.202,0
cache_013,0,474.959999323,567.123,0
cache_016,0,93.1200012565,189.681,0
cache_017,1,87.2000008821,156.601,0
cache_032,1,259.539991617,350.682,0
cache_040,1,108.439996839,221.181,0
cache_014,1,1797.44005203,1929.16,0
cache_031,1,3442.93999672,3566.398,0
