id,mode,n,blocks,tile,buffers,rounds,groups,repeats
pipe_000,pipe,1048576,1,512,1,1,1,4
pipe_001,pipe,1048576,1,512,1,16,1,4
pipe_002,pipe,1048576,1,512,1,64,1,4
pipe_003,pipe,1048576,1,512,2,1,1,4
pipe_004,pipe,1048576,1,512,2,16,1,4
pipe_005,pipe,1048576,1,512,2,64,1,4
pipe_006,pipe,1048576,1,2048,1,1,1,4
pipe_007,pipe,1048576,1,2048,1,16,1,4
pipe_008,pipe,1048576,1,2048,1,64,1,4
pipe_009,pipe,1048576,1,2048,2,1,1,4
pipe_010,pipe,1048576,1,2048,2,16,1,4
pipe_011,pipe,1048576,1,2048,2,64,1,4
pipe_012,pipe,1048576,1,4096,1,1,1,4
pipe_013,pipe,1048576,1,4096,1,16,1,4
pipe_014,pipe,1048576,1,4096,1,64,1,4
pipe_015,pipe,1048576,1,4096,2,1,1,4
pipe_016,pipe,1048576,1,4096,2,16,1,4
pipe_017,pipe,1048576,1,4096,2,64,1,4
pipe_018,pipe,1048576,8,512,1,1,1,4
pipe_019,pipe,1048576,8,512,1,16,1,4
pipe_020,pipe,1048576,8,512,1,64,1,4
pipe_021,pipe,1048576,8,512,2,1,1,4
pipe_022,pipe,1048576,8,512,2,16,1,4
pipe_023,pipe,1048576,8,512,2,64,1,4
pipe_024,pipe,1048576,8,2048,1,1,1,4
pipe_025,pipe,1048576,8,2048,1,16,1,4
pipe_026,pipe,1048576,8,2048,1,64,1,4
pipe_027,pipe,1048576,8,2048,2,1,1,4
pipe_028,pipe,1048576,8,2048,2,16,1,4
pipe_029,pipe,1048576,8,2048,2,64,1,4
pipe_030,pipe,1048576,8,4096,1,1,1,4
pipe_031,pipe,1048576,8,4096,1,16,1,4
pipe_032,pipe,1048576,8,4096,1,64,1,4
pipe_033,pipe,1048576,8,4096,2,1,1,4
pipe_034,pipe,1048576,8,4096,2,16,1,4
pipe_035,pipe,1048576,8,4096,2,64,1,4
pipe_036,pipe,1048576,32,512,1,1,1,4
pipe_037,pipe,1048576,32,512,1,16,1,4
pipe_038,pipe,1048576,32,512,1,64,1,4
pipe_039,pipe,1048576,32,512,2,1,1,4
pipe_040,pipe,1048576,32,512,2,16,1,4
pipe_041,pipe,1048576,32,512,2,64,1,4
pipe_042,pipe,1048576,32,2048,1,1,1,4
pipe_043,pipe,1048576,32,2048,1,16,1,4
pipe_044,pipe,1048576,32,2048,1,64,1,4
pipe_045,pipe,1048576,32,2048,2,1,1,4
pipe_046,pipe,1048576,32,2048,2,16,1,4
pipe_047,pipe,1048576,32,2048,2,64,1,4
pipe_048,pipe,1048576,32,4096,1,1,1,4
pipe_049,pipe,1048576,32,4096,1,16,1,4
pipe_050,pipe,1048576,32,4096,1,64,1,4
pipe_051,pipe,1048576,32,4096,2,1,1,4
pipe_052,pipe,1048576,32,4096,2,16,1,4
pipe_053,pipe,1048576,32,4096,2,64,1,4
pipe_054,pipe,4194304,1,512,1,1,1,4
pipe_055,pipe,4194304,1,512,1,16,1,4
pipe_056,pipe,4194304,1,512,1,64,1,4
pipe_057,pipe,4194304,1,512,2,1,1,4
pipe_058,pipe,4194304,1,512,2,16,1,4
pipe_059,pipe,4194304,1,512,2,64,1,4
pipe_060,pipe,4194304,1,2048,1,1,1,4
pipe_061,pipe,4194304,1,2048,1,16,1,4
pipe_062,pipe,4194304,1,2048,1,64,1,4
pipe_063,pipe,4194304,1,2048,2,1,1,4
pipe_064,pipe,4194304,1,2048,2,16,1,4
pipe_065,pipe,4194304,1,2048,2,64,1,4
pipe_066,pipe,4194304,1,4096,1,1,1,4
pipe_067,pipe,4194304,1,4096,1,16,1,4
pipe_068,pipe,4194304,1,4096,1,64,1,4
pipe_069,pipe,4194304,1,4096,2,1,1,4
pipe_070,pipe,4194304,1,4096,2,16,1,4
