id,sample,device_envelope_us,host_us,max_abs_error
pipe_053,0,201.979994774,263.351,0
pipe_044,0,257.459998131,339.362,0
pipe_023,0,1553.61998081,1626.998,0
pipe_017,0,5880.47981262,5957.99,0
pipe_105,0,69.3399980664,157.12,0
pipe_082,0,899.800002575,1003.685,0
pipe_077,0,6174.45993423,6279.752,0
pipe_075,0,1075.24001598,1162.356,0
pipe_067,0,6945.21999359,7036.476,0
pipe_054,0,7411.58008575,7510.699,0
pipe_018,0,254.680007696,340.942,0
pipe_049,0,86.8000015616,164.391,0
pipe_097,0,292.879998684,366.772,0
pipe_058,0,12263.6003494,12399.353,0
pipe_079,0,1104.66003418,1208.306,0
pipe_030,0,71.74000144,160.691,0
pipe_022,0,407.900005579,501.563,0
pipe_092,0,1716.17996693,1793.799,0
pipe_083,0,3438.13991547,3528.398,0
pipe_009,0,522.979974747,613.553,0
pipe_032,0,789.120018482,856.394,0
pipe_080,0,3615.38004875,3689.299,0
pipe_010,0,1716.16005898,1799.799,0
pipe_031,0,240.459993482,316.062,0
pipe_081,0,274.960011244,350.531,0
pipe_089,0,2982.66005516,3077.136,0
pipe_104,0,824.919998646,908.675,0
pipe_078,0,315.10001421,413.162,0
pipe_019,0,596.780002117,689.083,0
pipe_064,0,6793.09988022,6876.925,0
pipe_063,0,2029.1800499,2132.241,0
pipe_060,0,2099.72000122,2180.641,0
pipe_102,0,80.9200033545,157.501,0
pipe_084,0,208.639994264,301.482,0
pipe_050,0,255.419999361,368.552,0
pipe_039,0,96.4199975133,170.461,0
pipe_096,0,95.7800000906,165.771,0
pipe_002,0,13551.0597229,13655.029,0
pipe_091,0,570.060014725,650.004,0
pipe_059,0,48958.0192566,49075.451,0
pipe_004,0,3085.34002304,3180.856,0
pipe_076,0,1549.28004742,1626.648,0
pipe_007,0,2120.95999718,2212.341,0
pipe_037,0,167.140007019,240.481,0
pipe_048,0,55.3800016642,142.331,0
pipe_090,0,248.080000281,329.212,0
pipe_055,0,17459.7797394,17570.709,0
pipe_016,0,1487.49995232,1585.399,0
pipe_029,0,871.580004692,941.424,0
pipe_041,0,413.780003786,492.533,0
pipe_040,0,112.999998033,203.541,0
pipe_074,0,6779.31976318,6852.234,0
pipe_052,0,89.6399989724,181.101,0
pipe_014,0,6242.89989471,6414.642,0
pipe_015,0,273.640006781,352.652,0
pipe_107,0,750.680029392,833.884,0
pipe_070,0,5870.0799942,5958.761,0
pipe_065,0,27126.0604858,27235.729,0
pipe_000,0,1870.64003944,1961.09,0
pipe_103,0,250.479996204,321.081,0
pipe_006,0,520.900011063,606.533,0
pipe_057,0,8039.52026367,8127.931,0
pipe_005,0,12268.5003281,12357.263,0
pipe_101,0,881.879985332,955.015,0
pipe_047,0,249.640002847,363.822,0
pipe_099,0,94.0200015903,177.661,0
pipe_021,0,278.439998627,355.492,0
pipe_051,0,46.2200008333,141.241,0
pipe_035,0,759.039998055,835.094,0
pipe_038,0,452.960014343,520.233,0
pipe_106,0,216.000005603,285.412,0
pipe_072,0,947.239995003,1028.525,0
pipe_043,0,99.5600000024,225.481,0
pipe_098,0,928.160011768,993.166,0
pipe_008,0,7207.24010468,7303.727,0
pipe_003,0,2031.98003769,2109.341,0
pipe_045,0,51.780000329,139.93,0
pipe_033,0,56.0000017285,136.781,0
pipe_001,0,4319.26012039,4388.483,0
pipe_046,0,86.8600010872,156.89,0
pipe_026,0,920.960009098,992.105,0
pipe_020,0,1711.64000034,1786.929,0
pipe_034,0,207.640007138,279.311,0
pipe_028,0,234.880000353,310.092,0
pipe_011,0,6792.69981384,6869.775,0
pipe_066,0,1453.2200098,1524.058,0
pipe_095,0,1579.23996449,1672.559,0
pipe_093,0,283.800005913,358.982,0
pipe_056,0,53927.3414612,54022.265,0
pipe_087,0,168.099999428,255.572,0
pipe_025,0,310.719996691,421.452,0
