id,mode,n,blocks,tile,buffers,rounds,groups,repeats
reuse_000,fused,16384,1,512,2,1,1,2
reuse_001,materialize,16384,1,512,2,1,1,2
reuse_002,fused,16384,1,512,2,8,1,2
reuse_003,materialize,16384,1,512,2,8,1,2
reuse_004,fused,16384,1,512,2,1,1,8
reuse_005,materialize,16384,1,512,2,1,1,8
reuse_006,fused,16384,1,512,2,8,1,8
reuse_007,materialize,16384,1,512,2,8,1,8
reuse_008,fused,16384,1,512,2,1,1,32
reuse_009,materialize,16384,1,512,2,1,1,32
reuse_010,fused,16384,1,512,2,8,1,32
reuse_011,materialize,16384,1,512,2,8,1,32
reuse_012,fused,16384,32,512,2,1,1,2
reuse_013,materialize,16384,32,512,2,1,1,2
reuse_014,fused,16384,32,512,2,8,1,2
reuse_015,materialize,16384,32,512,2,8,1,2
reuse_016,fused,16384,32,512,2,1,1,8
reuse_017,materialize,16384,32,512,2,1,1,8
reuse_018,fused,16384,32,512,2,8,1,8
reuse_019,materialize,16384,32,512,2,8,1,8
reuse_020,fused,16384,32,512,2,1,1,32
reuse_021,materialize,16384,32,512,2,1,1,32
reuse_022,fused,16384,32,512,2,8,1,32
reuse_023,materialize,16384,32,512,2,8,1,32
reuse_024,fused,1048576,1,512,2,1,1,2
reuse_025,materialize,1048576,1,512,2,1,1,2
reuse_026,fused,1048576,1,512,2,8,1,2
reuse_027,materialize,1048576,1,512,2,8,1,2
reuse_028,fused,1048576,1,512,2,1,1,8
reuse_029,materialize,1048576,1,512,2,1,1,8
reuse_030,fused,1048576,1,512,2,8,1,8
reuse_031,materialize,1048576,1,512,2,8,1,8
reuse_032,fused,1048576,1,512,2,1,1,32
reuse_033,materialize,1048576,1,512,2,1,1,32
reuse_034,fused,1048576,1,512,2,8,1,32
reuse_035,materialize,1048576,1,512,2,8,1,32
reuse_036,fused,1048576,32,512,2,1,1,2
reuse_037,materialize,1048576,32,512,2,1,1,2
reuse_038,fused,1048576,32,512,2,8,1,2
reuse_039,materialize,1048576,32,512,2,8,1,2
reuse_040,fused,1048576,32,512,2,1,1,8
reuse_041,materialize,1048576,32,512,2,1,1,8
reuse_042,fused,1048576,32,512,2,8,1,8
reuse_043,materialize,1048576,32,512,2,8,1,8
reuse_044,fused,1048576,32,512,2,1,1,32
reuse_045,materialize,1048576,32,512,2,1,1,32
reuse_046,fused,1048576,32,512,2,8,1,32
reuse_047,materialize,1048576,32,512,2,8,1,32
reuse_048,fused,16777216,1,512,2,1,1,2
reuse_049,materialize,16777216,1,512,2,1,1,2
reuse_050,fused,16777216,1,512,2,8,1,2
reuse_051,materialize,16777216,1,512,2,8,1,2
reuse_052,fused,16777216,1,512,2,1,1,8
reuse_053,materialize,16777216,1,512,2,1,1,8
reuse_054,fused,16777216,1,512,2,8,1,8
reuse_055,materialize,16777216,1,512,2,8,1,8
reuse_056,fused,16777216,1,512,2,1,1,32
reuse_057,materialize,16777216,1,512,2,1,1,32
reuse_058,fused,16777216,1,512,2,8,1,32
reuse_059,materialize,16777216,1,512,2,8,1,32
reuse_060,fused,16777216,32,512,2,1,1,2
reuse_061,materialize,16777216,32,512,2,1,1,2
reuse_062,fused,16777216,32,512,2,8,1,2
reuse_063,materialize,16777216,32,512,2,8,1,2
reuse_064,fused,16777216,32,512,2,1,1,8
reuse_065,materialize,16777216,32,512,2,1,1,8
reuse_066,fused,16777216,32,512,2,8,1,8
reuse_067,materialize,16777216,32,512,2,8,1,8
reuse_068,fused,16777216,32,512,2,1,1,32
reuse_069,materialize,16777216,32,512,2,1,1,32
reuse_070,fused,16777216,32,512,2,8,1,32
reuse_071,materialize,16777216,32,512,2,8,1,32
