id,sample,device_envelope_us,host_us,max_abs_error
reuse_053,0,64283.1420898,64373.348,0
reuse_044,0,108.779996634,232.911,0
reuse_023,0,268.539994955,362.382,0
reuse_017,0,91.4800018072,158.291,0
reuse_068,0,902.999997139,972.125,0
reuse_034,0,12257.0800781,12384.604,0
reuse_033,0,16130.1994324,16234.923,0
reuse_003,0,48.9600002766,134.051,0
reuse_067,0,2273.67997169,2341.712,0
reuse_054,0,49871.7384338,50025.325,0
reuse_018,0,62.7600029111,237.521,0
reuse_049,0,16095.3197479,16171.372,0
reuse_071,0,8995.22018433,9105.716,0
reuse_058,0,196767.379761,196947.415,0
reuse_046,0,412.519991398,544.542,0
reuse_030,0,3079.18000221,3168.416,0
reuse_022,0,29.3600000441,136.41,0
reuse_066,0,1671.95999622,1745.599,0
reuse_028,0,586.67999506,710.694,0
reuse_009,0,301.239997149,425.412,0
reuse_032,0,1545.71998119,1615.818,0
reuse_026,0,784.120023251,897.745,0
reuse_010,0,210.759997368,286.432,0
reuse_031,0,4420.91989517,4494.432,0
reuse_020,0,23.7799994648,125.201,0
reuse_012,0,27.519999072,101.411,0
reuse_042,0,115.060001612,179.081,0
reuse_001,0,37.0000004768,118.831,0
reuse_019,0,73.9400014281,153.151,0
reuse_064,0,307.799994946,376.242,0
reuse_063,0,610.040009022,734.784,0
reuse_060,0,274.879992008,391.282,0
reuse_062,0,529.500007629,672.304,0
reuse_011,0,363.000005484,474.312,0
reuse_050,0,12726.3002396,12799.766,0
reuse_039,0,82.5200006366,243.501,0
reuse_024,0,511.740028858,585.133,0
reuse_002,0,47.4000014365,119.691,0
reuse_036,0,41.2999987602,107.77,0
reuse_059,0,281544.250488,281706.436,0
reuse_004,0,102.219998837,250.142,0
reuse_045,0,670.920014381,745.284,0
reuse_007,0,121.45999819,201.431,0
reuse_037,0,61.2800009549,159.251,0
reuse_048,0,7603.40023041,7688.469,0
reuse_025,0,1046.05996609,1162.366,0
reuse_055,0,70497.5814819,70596.1,0
reuse_016,0,42.1800017357,216.761,0
reuse_029,0,4039.59989548,4127.231,0
