suite,id,mode,n,blocks,tile,buffers,rounds,groups,repeats,samples,median_us,p10_us,p90_us,host_median_us,launches,programmed_gm_bytes,logical_GBps,queue_buffer_bytes_per_block,read_workset_bytes,all_outputs_correct
bandwidth,bandwidth_000,pipe,15728640,1,1024,2,1,1,4,30,15105.340003950001,15092.75016781,15123.28233722,15231.2025,4,754974720,49.98065053832462,24576,125829120,True
bandwidth,bandwidth_001,pipe,15728640,1,1024,2,16,1,4,30,32269.220352199998,32252.83317567,32287.93144222,32402.54,4,754974720,23.396125216534045,24576,125829120,True
bandwidth,bandwidth_002,pipe,15728640,1,4096,2,1,1,4,30,3808.359980585,3802.681922914,3833.626055716,3931.255,4,754974720,198.2414277665077,98304,125829120,True
bandwidth,bandwidth_003,pipe,15728640,1,4096,2,16,1,4,30,21962.100029,21951.2405396,21987.56179807,22094.703,4,754974720,34.37625359155493,98304,125829120,True
bandwidth,bandwidth_004,pipe,15728640,2,1024,2,1,1,4,30,7571.37989998,7561.14006042,7605.884122845,7696.974,4,754974720,99.71428325792955,24576,125829120,True
bandwidth,bandwidth_005,pipe,15728640,2,1024,2,16,1,4,30,16152.65083315,16139.97230533,16171.952438369999,16284.558,4,754974720,46.73998885994423,24576,125829120,True
bandwidth,bandwidth_006,pipe,15728640,2,4096,2,1,1,4,30,1988.539993765,1971.700036527,2008.610057829,2109.221,4,754974720,379.66282919488555,98304,125829120,True
bandwidth,bandwidth_007,pipe,15728640,2,4096,2,16,1,4,30,11011.8999481,10999.0678787,11031.21824264,11129.2765,4,754974720,68.559896435516,98304,125829120,True
bandwidth,bandwidth_008,pipe,15728640,4,1024,2,1,1,4,30,3814.429998395,3795.8180189150003,3831.114029881,3931.0950000000003,4,754974720,197.92596018741233,24576,125829120,True
bandwidth,bandwidth_009,pipe,15728640,4,1024,2,16,1,4,30,8098.84977341,8084.834098818,8120.2298164389995,8228.612,4,754974720,93.21999310059061,24576,125829120,True
bandwidth,bandwidth_010,pipe,15728640,4,4096,2,1,1,4,30,1012.04997301,1000.5059480695,1037.976026533,1130.246,4,754974720,745.9856134915782,98304,125829120,True
bandwidth,bandwidth_011,pipe,15728640,4,4096,2,16,1,4,30,5524.78003502,5512.397861484,5542.263841632001,5648.2335,4,754974720,136.65244864310097,98304,125829120,True
bandwidth,bandwidth_012,pipe,15728640,8,1024,2,1,1,4,30,1927.1799922,1911.761975289,1950.452017783,2049.05,4,754974720,391.7510160211594,24576,125829120,True
bandwidth,bandwidth_013,pipe,15728640,8,1024,2,16,1,4,30,4071.000099185,4057.976055147,4096.979999544,4196.646000000001,4,754974720,185.45190410364845,24576,125829120,True
bandwidth,bandwidth_014,pipe,15728640,8,4096,2,1,1,4,30,538.3400022984999,519.5180118086,562.1680140492999,654.883,4,754974720,1402.4124471088069,98304,125829120,True
bandwidth,bandwidth_015,pipe,15728640,8,4096,2,16,1,4,30,2788.8199091,2774.505996703,2809.599995611,2908.7195,4,754974720,270.7147627340495,98304,125829120,True
bandwidth,bandwidth_016,pipe,15728640,16,1024,2,1,1,4,30,986.889988184,977.5380253792999,1010.096001625,1106.1955,4,754974720,765.0039305690466,24576,125829120,True
bandwidth,bandwidth_017,pipe,15728640,16,1024,2,16,1,4,30,2060.92000008,2050.0100851059997,2078.8719892470003,2180.4809999999998,4,754974720,366.3289792765821,24576,125829120,True
bandwidth,bandwidth_018,pipe,15728640,16,4096,2,1,1,4,30,296.6100126505,283.10201168049997,320.3020095825,414.4475,4,754974720,2545.344687637359,98304,125829120,True
bandwidth,bandwidth_019,pipe,15728640,16,4096,2,16,1,4,30,1425.969958305,1414.395976069,1439.682006835,1545.743,4,754974720,529.4464414225189,98304,125829120,True
bandwidth,bandwidth_020,pipe,15728640,32,1024,2,1,1,4,30,527.5599956515,512.8720223903,543.1980133058,641.1235,4,754974720,1431.0689328664098,24576,125829120,True
bandwidth,bandwidth_021,pipe,15728640,32,1024,2,16,1,4,30,1060.59998274,1048.691999908,1088.017988203,1175.926,4,754974720,711.8373866550191,24576,125829120,True
bandwidth,bandwidth_022,pipe,15728640,32,4096,2,1,1,4,30,178.350001574,166.9679954644,197.08399921630001,294.66150000000005,4,754974720,4233.107447923122,98304,125829120,True
bandwidth,bandwidth_023,pipe,15728640,32,4096,2,16,1,4,30,739.1999959945,728.8639843462,761.9279861446,859.8,4,754974720,1021.3402652745921,98304,125829120,True
bandwidth,bandwidth_024,pipe,15728640,40,1024,2,1,1,4,30,437.389999628,419.6539908643,452.0699948072,555.528,4,754974720,1726.090492791572,24576,125829120,True
bandwidth,bandwidth_025,pipe,15728640,40,1024,2,16,1,4,30,868.6400055885,851.9459962848,887.1459901329,984.835,4,754974720,869.1456934320078,24576,125829120,True
bandwidth,bandwidth_026,pipe,15728640,40,4096,2,1,1,4,30,158.519998193,150.0459954145,178.70399653890001,277.91200000000003,4,754974720,4762.646534229765,98304,125829120,True
bandwidth,bandwidth_027,pipe,15728640,40,4096,2,16,1,4,30,607.3100268840001,596.4620232583001,627.2559762004,725.8185,4,754974720,1243.145488431405,98304,125829120,True
bandwidth,bandwidth_028,pipe,15728640,48,1024,2,1,1,4,30,684.1900050639999,671.2239742283,709.0519845488001,805.1890000000001,4,754974720,1103.457686332876,24576,125829120,True
bandwidth,bandwidth_029,pipe,15728640,48,1024,2,16,1,4,30,1401.74996853,1391.2579894080002,1423.744034766,1526.268,4,754974720,538.5944262169194,24576,125829120,True
bandwidth,bandwidth_030,pipe,15728640,48,4096,2,1,1,4,30,232.98999667150002,219.9180036782,252.8320103883,347.461,4,754974720,3240.373967919588,98304,125829120,True
bandwidth,bandwidth_031,pipe,15728640,48,4096,2,16,1,4,30,984.729975462,962.0799958709,998.0960011486001,1095.846,4,754974720,766.6819725334277,98304,125829120,True
bandwidth,bandwidth_032,pipe,15728640,64,1024,2,1,1,4,30,528.4299850465,516.5440142158001,556.7960023881001,646.6585,4,754974720,1428.7128689973279,24576,125829120,True
bandwidth,bandwidth_033,pipe,15728640,64,1024,2,16,1,4,30,1077.28999853,1057.009959221,1094.355976581,1192.8015,4,754974720,700.8091795432887,24576,125829120,True
bandwidth,bandwidth_034,pipe,15728640,64,4096,2,1,1,4,30,186.9200021025,175.6620049472,207.3040008543,303.467,4,754974720,4039.0258479988665,98304,125829120,True
bandwidth,bandwidth_035,pipe,15728640,64,4096,2,16,1,4,30,757.4900090695,735.5540215965,774.8899936674001,869.9794999999999,4,754974720,996.6794425809129,98304,125829120,True
barrier,barrier_000,barrier,262144,1,2048,2,16,2,1,30,268.869996071,247.4040046335,295.3000038863,364.927,4,12582912,46.79924195289255,49152,4194304,True
barrier,barrier_001,branch,262144,1,2048,2,16,2,1,30,243.4699982405,228.28399837,262.23799884330003,332.567,4,12582912,51.681570998208095,49152,4194304,True
