size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
512,1048576,matrix_only,16,0,382.51999020576477,491.022,True
512,1048576,vector_only,16,0,409.22001004219055,492.063,True
512,1048576,parallel,16,0,749.3199706077576,846.034,True
512,1048576,serial,16,0,712.0599746704102,819.915,True
512,1048576,vector_only,16,1,405.29999136924744,494.563,True
512,1048576,matrix_only,16,1,393.7399983406067,492.573,True
512,1048576,serial,16,1,674.1799712181091,780.984,True
512,1048576,parallel,16,1,817.1200156211853,953.205,True
512,1048576,vector_only,16,2,397.96000719070435,507.033,True
512,1048576,matrix_only,16,2,381.1199963092804,484.812,True
512,1048576,serial,16,2,682.9400062561035,777.774,True
512,1048576,parallel,16,2,775.8600115776062,910.525,True
512,1048576,vector_only,16,3,396.699994802475,501.513,True
512,1048576,matrix_only,16,3,386.3399922847748,476.182,True
512,1048576,parallel,16,3,831.2199711799622,1082.165,True
512,1048576,serial,16,3,648.2599973678589,763.364,True
512,1048576,vector_only,16,4,388.85998725891113,473.333,True
512,1048576,matrix_only,16,4,382.7199935913086,479.683,True
512,1048576,serial,16,4,704.3200135231018,821.554,True
512,1048576,parallel,16,4,762.1600031852722,856.044,True
512,1048576,serial,16,5,671.500027179718,777.194,True
512,1048576,vector_only,16,5,407.5399935245514,494.492,True
512,1048576,matrix_only,16,5,392.32000708580017,495.552,True
512,1048576,parallel,16,5,775.0599980354309,903.084,True
512,1048576,matrix_only,16,6,386.8800103664398,483.982,True
512,1048576,vector_only,16,6,400.7599949836731,474.833,True
512,1048576,serial,16,6,663.9800071716309,775.744,True
512,1048576,parallel,16,6,761.6599798202515,889.924,True
512,1048576,vector_only,16,7,407.0799946784973,512.952,True
512,1048576,matrix_only,16,7,402.85998582839966,497.253,True
512,1048576,serial,16,7,660.1799726486206,761.514,True
512,1048576,parallel,16,7,765.2999758720398,856.194,True
512,1048576,vector_only,16,8,402.6400148868561,504.173,True
512,1048576,parallel,16,8,786.9600057601929,916.624,True
512,1048576,serial,16,8,660.040020942688,743.294,True
512,1048576,matrix_only,16,8,392.8000032901764,492.363,True
512,1048576,parallel,16,9,814.7199749946594,936.155,True
512,1048576,matrix_only,16,9,387.4000012874603,473.962,True
512,1048576,vector_only,16,9,380.7399868965149,460.312,True
512,1048576,serial,16,9,659.1200232505798,758.733,True
512,1048576,parallel,16,10,787.4600291252136,917.145,True
512,1048576,matrix_only,16,10,386.42001152038574,471.623,True
512,1048576,vector_only,16,10,390.28000831604004,480.103,True
512,1048576,serial,16,10,666.0400032997131,751.094,True
512,1048576,vector_only,16,11,391.5799856185913,491.342,True
512,1048576,parallel,16,11,774.9999761581421,868.484,True
512,1048576,matrix_only,16,11,378.21999192237854,464.222,True
512,1048576,serial,16,11,662.339985370636,751.904,True
512,1048576,matrix_only,16,12,385.61999797821045,475.852,True
512,1048576,vector_only,16,12,398.6000120639801,475.022,True
512,1048576,parallel,16,12,789.3000245094299,936.604,True
512,1048576,serial,16,12,696.5199708938599,801.514,True
512,1048576,serial,16,13,645.2000141143799,737.623,True
512,1048576,parallel,16,13,792.0200228691101,927.664,True
512,1048576,vector_only,16,13,398.7799882888794,498.683,True
512,1048576,matrix_only,16,13,507.00002908706665,586.853,True
512,1048576,matrix_only,16,14,387.69999146461487,479.832,True
512,1048576,parallel,16,14,776.7199873924255,860.614,True
512,1048576,serial,16,14,691.760003566742,778.384,True
512,1048576,vector_only,16,14,393.0000066757202,485.333,True
512,1048576,matrix_only,16,15,378.17999720573425,474.753,True
512,1048576,vector_only,16,15,387.84000277519226,469.803,True
512,1048576,serial,16,15,656.4199924468994,767.154,True
512,1048576,parallel,16,15,796.8000173568726,927.604,True
512,1048576,vector_only,16,16,383.1999897956848,469.332,True
512,1048576,parallel,16,16,773.9599943161011,895.544,True
512,1048576,serial,16,16,689.3600225448608,791.754,True
512,1048576,matrix_only,16,16,368.80001425743103,447.192,True
512,1048576,parallel,16,17,771.7800140380859,892.164,True
512,1048576,vector_only,16,17,410.3200137615204,513.532,True
512,1048576,serial,16,17,635.3999972343445,714.494,True
512,1048576,matrix_only,16,17,389.1200125217438,484.262,True
512,1048576,matrix_only,16,18,384.16001200675964,476.753,True
512,1048576,serial,16,18,692.9600238800049,781.334,True
512,1048576,parallel,16,18,768.7199711799622,861.004,True
512,1048576,vector_only,16,18,393.1399881839752,482.053,True
512,1048576,vector_only,16,19,380.3800046443939,462.413,True
512,1048576,matrix_only,16,19,380.5600106716156,471.503,True
512,1048576,serial,16,19,688.9200210571289,766.734,True
512,1048576,parallel,16,19,755.2599906921387,887.294,True
512,1048576,matrix_only,16,20,383.2800090312958,476.362,True
512,1048576,serial,16,20,645.2199816703796,723.444,True
512,1048576,parallel,16,20,790.4999852180481,923.855,True
512,1048576,vector_only,16,20,405.60001134872437,511.982,True
512,1048576,parallel,16,21,799.7599840164185,923.625,True
512,1048576,matrix_only,16,21,394.7800099849701,497.263,True
512,1048576,vector_only,16,21,391.9599950313568,494.603,True
512,1048576,serial,16,21,619.3400025367737,726.144,True
512,1048576,serial,16,22,662.2400283813477,758.293,True
512,1048576,matrix_only,16,22,380.62000274658203,477.682,True
512,1048576,parallel,16,22,781.6399931907654,924.205,True
512,1048576,vector_only,16,22,387.6799941062927,477.963,True
512,1048576,parallel,16,23,815.1000142097473,1019.716,True
512,1048576,vector_only,16,23,398.2200026512146,520.943,True
512,1048576,serial,16,23,640.9599781036377,737.644,True
512,1048576,matrix_only,16,23,369.3999946117401,473.072,True
512,1048576,matrix_only,16,24,411.79999709129333,548.213,True
512,1048576,vector_only,16,24,386.97999715805054,471.533,True
512,1048576,serial,16,24,661.300003528595,776.774,True
512,1048576,parallel,16,24,870.8199858665466,1015.235,True
512,1048576,matrix_only,16,25,370.9000051021576,468.913,True
512,1048576,serial,16,25,622.8600144386292,739.184,True
512,1048576,vector_only,16,25,355.3600013256073,458.042,True
512,1048576,parallel,16,25,768.280029296875,870.184,True
512,1048576,vector_only,16,26,388.11999559402466,492.432,True
512,1048576,matrix_only,16,26,382.51999020576477,482.182,True
512,1048576,serial,16,26,586.679995059967,692.044,True
512,1048576,parallel,16,26,785.3800058364868,948.095,True
512,1048576,serial,16,27,661.3199710845947,758.804,True
512,1048576,matrix_only,16,27,399.5800018310547,535.013,True
512,1048576,parallel,16,27,797.0399856567383,945.275,True
512,1048576,vector_only,16,27,389.95999097824097,504.492,True
512,1048576,serial,16,28,638.4199857711792,733.293,True
512,1048576,vector_only,16,28,373.4799921512604,477.412,True
512,1048576,matrix_only,16,28,391.6400074958801,478.472,True
512,1048576,parallel,16,28,821.9000101089478,960.935,True
512,1048576,serial,16,29,631.9000124931335,753.583,True
512,1048576,vector_only,16,29,378.32000851631165,467.262,True
512,1048576,parallel,16,29,804.1999936103821,908.935,True
512,1048576,matrix_only,16,29,368.1800067424774,475.833,True
512,16777216,vector_only,16,0,843.1599736213684,973.805,True
512,16777216,parallel,16,0,1211.1999988555908,1334.747,True
512,16777216,serial,16,0,1100.059986114502,1240.166,True
512,16777216,matrix_only,16,0,392.74001121520996,522.832,True
512,16777216,serial,16,1,1076.1799812316895,1201.916,True
512,16777216,parallel,16,1,1222.3000526428223,1330.127,True
512,16777216,vector_only,16,1,833.8599801063538,949.815,True
512,16777216,matrix_only,16,1,410.4999899864197,555.423,True
512,16777216,serial,16,2,1078.719973564148,1204.096,True
512,16777216,matrix_only,16,2,401.71998739242554,522.933,True
512,16777216,vector_only,16,2,812.0200037956238,946.045,True
512,16777216,parallel,16,2,1228.1800508499146,1338.416,True
512,16777216,matrix_only,16,3,402.2600054740906,533.273,True
512,16777216,parallel,16,3,1225.6200313568115,1341.736,True
512,16777216,vector_only,16,3,829.7600150108337,949.155,True
512,16777216,serial,16,3,1079.1200399398804,1207.366,True
512,16777216,matrix_only,16,4,388.57999444007874,525.643,True
512,16777216,vector_only,16,4,809.9600076675415,936.805,True
512,16777216,serial,16,4,1077.299952507019,1211.516,True
512,16777216,parallel,16,4,1197.260022163391,1353.777,True
512,16777216,serial,16,5,1058.0400228500366,1189.766,True
512,16777216,matrix_only,16,5,398.00000190734863,537.932,True
512,16777216,parallel,16,5,1189.579963684082,1328.907,True
512,16777216,vector_only,16,5,830.1399946212769,955.895,True
512,16777216,matrix_only,16,6,404.1399955749512,556.843,True
512,16777216,serial,16,6,1071.079969406128,1204.786,True
512,16777216,parallel,16,6,1237.6600503921509,1368.567,True
512,16777216,vector_only,16,6,837.5399708747864,958.495,True
512,16777216,vector_only,16,7,823.8199949264526,948.544,True
512,16777216,matrix_only,16,7,387.87999749183655,516.553,True
512,16777216,serial,16,7,1085.6200456619263,1209.796,True
512,16777216,parallel,16,7,1214.4999504089355,1361.307,True
512,16777216,vector_only,16,8,830.9999704360962,961.015,True
512,16777216,parallel,16,8,1205.24001121521,1344.857,True
512,16777216,serial,16,8,1077.739953994751,1224.566,True
512,16777216,matrix_only,16,8,373.0199933052063,510.633,True
512,16777216,matrix_only,16,9,412.90000081062317,543.393,True
512,16777216,serial,16,9,1094.5600271224976,1206.686,True
512,16777216,parallel,16,9,1239.4599914550781,1363.317,True
512,16777216,vector_only,16,9,827.5600075721741,956.085,True
512,16777216,matrix_only,16,10,366.12001061439514,516.783,True
512,16777216,vector_only,16,10,817.2799944877625,944.655,True
512,16777216,parallel,16,10,1208.9799642562866,1333.547,True
512,16777216,serial,16,10,1094.7400331497192,1225.546,True
512,16777216,serial,16,11,1071.239948272705,1196.816,True
512,16777216,matrix_only,16,11,402.9400050640106,524.553,True
512,16777216,parallel,16,11,1187.880039215088,1357.927,True
512,16777216,vector_only,16,11,829.0799856185913,948.945,True
512,16777216,parallel,16,12,1243.6200380325317,1380.197,True
512,16777216,serial,16,12,1080.0800323486328,1214.056,True
512,16777216,matrix_only,16,12,408.21999311447144,533.783,True
512,16777216,vector_only,16,12,823.360025882721,950.815,True
512,16777216,serial,16,13,1084.2399597167969,1210.646,True
512,16777216,vector_only,16,13,833.620011806488,959.645,True
512,16777216,parallel,16,13,1196.6999769210815,1368.427,True
512,16777216,matrix_only,16,13,413.5400056838989,534.263,True
512,16777216,serial,16,14,1070.2400207519531,1188.796,True
512,16777216,parallel,16,14,1254.4200420379639,1372.647,True
512,16777216,vector_only,16,14,835.7800245285034,963.165,True
512,16777216,matrix_only,16,14,388.0999982357025,520.283,True
512,16777216,vector_only,16,15,815.1800036430359,940.034,True
512,16777216,matrix_only,16,15,416.51999950408936,533.553,True
512,16777216,serial,16,15,1092.6200151443481,1195.306,True
512,16777216,parallel,16,15,1234.3599796295166,1385.757,True
512,16777216,matrix_only,16,16,382.03999400138855,522.293,True
512,16777216,vector_only,16,16,819.3600177764893,945.735,True
512,16777216,parallel,16,16,1217.7799940109253,1361.177,True
512,16777216,serial,16,16,1047.4200248718262,1186.546,True
512,16777216,serial,16,17,1042.6000356674194,1186.306,True
512,16777216,parallel,16,17,1208.6199522018433,1314.156,True
512,16777216,vector_only,16,17,838.5599851608276,965.755,True
512,16777216,matrix_only,16,17,391.539990901947,522.792,True
512,16777216,vector_only,16,18,808.2799911499023,930.835,True
512,16777216,matrix_only,16,18,402.539998292923,540.652,True
512,16777216,serial,16,18,1063.8999938964844,1202.146,True
512,16777216,parallel,16,18,1217.8200483322144,1323.906,True
512,16777216,parallel,16,19,1219.480037689209,1364.897,True
512,16777216,serial,16,19,1078.279972076416,1214.256,True
512,16777216,matrix_only,16,19,389.380007982254,545.772,True
512,16777216,vector_only,16,19,811.2999796867371,934.925,True
512,16777216,matrix_only,16,20,379.2000114917755,506.463,True
512,16777216,parallel,16,20,1200.0000476837158,1338.746,True
512,16777216,vector_only,16,20,856.5000295639038,983.045,True
512,16777216,serial,16,20,1055.2400350570679,1187.306,True
512,16777216,matrix_only,16,21,402.2800028324127,555.773,True
512,16777216,parallel,16,21,1187.5,1343.537,True
512,16777216,vector_only,16,21,828.5999894142151,934.424,True
512,16777216,serial,16,21,1070.580005645752,1194.766,True
512,16777216,vector_only,16,22,826.0800242424011,958.515,True
512,16777216,parallel,16,22,1205.1600217819214,1330.187,True
512,16777216,matrix_only,16,22,366.5600121021271,519.913,True
512,16777216,serial,16,22,1113.0399703979492,1241.407,True
512,16777216,vector_only,16,23,832.1800231933594,958.595,True
512,16777216,matrix_only,16,23,386.70000433921814,517.282,True
512,16777216,serial,16,23,1094.7200059890747,1222.226,True
512,16777216,parallel,16,23,1212.0200395584106,1343.047,True
512,16777216,parallel,16,24,1237.879991531372,1378.608,True
512,16777216,vector_only,16,24,838.6200070381165,972.865,True
512,16777216,matrix_only,16,24,393.1199908256531,538.723,True
512,16777216,serial,16,24,1080.0399780273438,1206.826,True
512,16777216,matrix_only,16,25,412.4799966812134,525.683,True
512,16777216,vector_only,16,25,820.8199739456177,937.335,True
512,16777216,parallel,16,25,1225.600004196167,1365.927,True
512,16777216,serial,16,25,1079.4199705123901,1199.516,True
512,16777216,matrix_only,16,26,378.9600133895874,509.053,True
512,16777216,parallel,16,26,1232.0799827575684,1356.067,True
512,16777216,serial,16,26,1092.1200513839722,1223.056,True
512,16777216,vector_only,16,26,838.15997838974,963.995,True
512,16777216,serial,16,27,1104.1200160980225,1233.457,True
512,16777216,vector_only,16,27,833.0000042915344,957.275,True
512,16777216,matrix_only,16,27,414.5199954509735,549.363,True
512,16777216,parallel,16,27,1196.8400478363037,1341.136,True
512,16777216,serial,16,28,1082.7800035476685,1221.426,True
512,16777216,parallel,16,28,1202.4600505828857,1349.667,True
512,16777216,vector_only,16,28,834.0200185775757,957.525,True
512,16777216,matrix_only,16,28,395.0200080871582,545.043,True
512,16777216,vector_only,16,29,852.1599769592285,963.035,True
512,16777216,parallel,16,29,1216.2599563598633,1345.297,True
512,16777216,matrix_only,16,29,418.68001222610474,557.883,True
512,16777216,serial,16,29,1098.4400510787964,1206.906,True
1024,1048576,serial,16,0,725.3999710083008,831.004,True
1024,1048576,vector_only,16,0,447.8200078010559,578.503,True
1024,1048576,matrix_only,16,0,411.76000237464905,537.582,True
1024,1048576,parallel,16,0,806.9800138473511,904.355,True
1024,1048576,vector_only,16,1,436.78000569343567,539.663,True
1024,1048576,serial,16,1,709.5199823379517,815.764,True
1024,1048576,parallel,16,1,818.9799785614014,971.845,True
1024,1048576,matrix_only,16,1,432.76000022888184,522.682,True
1024,1048576,vector_only,16,2,445.2599883079529,571.843,True
1024,1048576,serial,16,2,692.8399801254272,778.343,True
1024,1048576,parallel,16,2,788.4600162506104,905.585,True
1024,1048576,matrix_only,16,2,428.3199906349182,524.433,True
1024,1048576,vector_only,16,3,427.619993686676,532.072,True
1024,1048576,serial,16,3,692.5399899482727,826.794,True
1024,1048576,matrix_only,16,3,437.8400146961212,528.462,True
1024,1048576,parallel,16,3,872.160017490387,964.695,True
1024,1048576,vector_only,16,4,438.60000371932983,533.212,True
1024,1048576,serial,16,4,697.7599859237671,793.314,True
1024,1048576,matrix_only,16,4,443.59999895095825,572.693,True
1024,1048576,parallel,16,4,832.7599763870239,988.735,True
1024,1048576,vector_only,16,5,432.30000138282776,525.532,True
1024,1048576,matrix_only,16,5,419.8800027370453,523.433,True
1024,1048576,serial,16,5,711.8800282478333,825.335,True
1024,1048576,parallel,16,5,832.859992980957,985.595,True
1024,1048576,serial,16,6,691.2400126457214,815.824,True
1024,1048576,vector_only,16,6,434.6199929714203,537.773,True
1024,1048576,matrix_only,16,6,422.1999943256378,524.472,True
1024,1048576,parallel,16,6,809.0800046920776,973.675,True
1024,1048576,serial,16,7,703.819990158081,874.084,True
1024,1048576,matrix_only,16,7,421.27999663352966,540.173,True
1024,1048576,parallel,16,7,830.9199810028076,1017.386,True
1024,1048576,vector_only,16,7,431.49998784065247,576.413,True
1024,1048576,matrix_only,16,8,445.0800120830536,551.952,True
1024,1048576,serial,16,8,680.4999709129333,794.084,True
1024,1048576,vector_only,16,8,429.04001474380493,533.352,True
1024,1048576,parallel,16,8,822.3199844360352,985.255,True
1024,1048576,serial,16,9,710.4399800300598,813.344,True
1024,1048576,parallel,16,9,798.4600067138672,922.035,True
1024,1048576,matrix_only,16,9,435.9399974346161,532.143,True
1024,1048576,vector_only,16,9,439.42001461982727,547.023,True
1024,1048576,parallel,16,10,806.6800236701965,972.015,True
1024,1048576,serial,16,10,690.6599998474121,807.384,True
1024,1048576,matrix_only,16,10,391.31999015808105,547.602,True
1024,1048576,vector_only,16,10,431.1800003051758,563.573,True
1024,1048576,vector_only,16,11,437.55999207496643,543.252,True
1024,1048576,serial,16,11,700.2400159835815,810.654,True
1024,1048576,matrix_only,16,11,423.15998673439026,561.533,True
1024,1048576,parallel,16,11,848.5000133514404,1008.995,True
1024,1048576,matrix_only,16,12,417.5199866294861,526.603,True
1024,1048576,serial,16,12,684.9799752235413,822.614,True
1024,1048576,parallel,16,12,2270.859956741333,2963.685,True
1024,1048576,vector_only,16,12,414.6600067615509,569.803,True
1024,1048576,matrix_only,16,13,436.19999289512634,591.843,True
1024,1048576,serial,16,13,696.179986000061,822.834,True
1024,1048576,vector_only,16,13,451.70000195503235,562.173,True
1024,1048576,parallel,16,13,832.0599794387817,969.205,True
1024,1048576,matrix_only,16,14,424.62000250816345,520.943,True
1024,1048576,parallel,16,14,826.7800211906433,996.355,True
1024,1048576,vector_only,16,14,439.04000520706177,566.303,True
1024,1048576,serial,16,14,688.6399984359741,799.874,True
1024,1048576,vector_only,16,15,424.1600036621094,527.343,True
1024,1048576,serial,16,15,697.0400214195251,803.474,True
1024,1048576,matrix_only,16,15,436.9400143623352,548.943,True
1024,1048576,parallel,16,15,817.2600269317627,975.205,True
1024,1048576,parallel,16,16,812.6999735832214,915.964,True
