size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
512,1048576,matrix_only,16,0,204.0800005197525,285.021,True
512,1048576,vector_only,16,0,168.7999963760376,274.441,True
512,1048576,parallel,16,0,342.2999978065491,453.652,True
512,1048576,serial,16,0,277.1399915218353,352.502,True
512,1048576,vector_only,16,1,182.11999535560608,260.961,True
512,1048576,matrix_only,16,1,198.9399939775467,271.151,True
512,1048576,serial,16,1,284.8399877548218,374.292,True
512,1048576,parallel,16,1,367.68001317977905,457.392,True
512,1048576,vector_only,16,2,181.84000253677368,257.051,True
512,1048576,matrix_only,16,2,201.36000216007233,278.561,True
512,1048576,serial,16,2,292.4000024795532,360.832,True
512,1048576,parallel,16,2,331.2999904155731,431.642,True
512,1048576,vector_only,16,3,187.90000677108765,266.081,True
512,1048576,matrix_only,16,3,202.82000303268433,272.292,True
512,1048576,parallel,16,3,374.94000792503357,463.242,True
512,1048576,serial,16,3,279.3000042438507,356.351,True
512,1048576,vector_only,16,4,179.71999943256378,247.741,True
512,1048576,matrix_only,16,4,203.43999564647675,273.212,True
512,1048576,serial,16,4,280.6200087070465,351.292,True
512,1048576,parallel,16,4,353.7600040435791,441.182,True
512,1048576,serial,16,5,276.78000926971436,348.382,True
512,1048576,vector_only,16,5,184.83999371528625,258.482,True
512,1048576,matrix_only,16,5,202.3400068283081,272.071,True
512,1048576,parallel,16,5,359.82000827789307,444.832,True
512,1048576,matrix_only,16,6,334.6799910068512,413.272,True
512,1048576,vector_only,16,6,181.07999861240387,258.801,True
512,1048576,serial,16,6,278.0799865722656,348.822,True
512,1048576,parallel,16,6,333.33998918533325,426.692,True
512,1048576,vector_only,16,7,179.1599988937378,255.952,True
512,1048576,matrix_only,16,7,201.6800045967102,276.261,True
512,1048576,serial,16,7,272.2800076007843,345.671,True
512,1048576,parallel,16,7,324.47999715805054,420.552,True
512,1048576,vector_only,16,8,180.27999997138977,249.011,True
512,1048576,parallel,16,8,355.14000058174133,442.382,True
512,1048576,serial,16,8,281.2199890613556,361.952,True
512,1048576,matrix_only,16,8,204.43999767303467,300.531,True
512,1048576,parallel,16,9,323.02001118659973,434.392,True
512,1048576,matrix_only,16,9,201.78000628948212,276.111,True
512,1048576,vector_only,16,9,191.91999733448029,266.101,True
512,1048576,serial,16,9,277.7000069618225,356.891,True
512,1048576,parallel,16,10,327.9600143432617,447.352,True
512,1048576,matrix_only,16,10,203.75999808311462,280.811,True
