size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
1024,1048576,serial,16,0,400.53999423980713,485.332,True
1024,1048576,vector_only,16,0,194.95999813079834,269.781,True
1024,1048576,matrix_only,16,0,332.85999298095703,404.881,True
1024,1048576,parallel,16,0,378.5000145435333,465.562,True
1024,1048576,vector_only,16,1,184.25999581813812,265.491,True
1024,1048576,serial,16,1,416.59998893737793,495.742,True
1024,1048576,parallel,16,1,406.23998641967773,491.102,True
1024,1048576,matrix_only,16,1,323.30000400543213,406.771,True
1024,1048576,vector_only,16,2,178.6399930715561,258.561,True
1024,1048576,serial,16,2,419.29998993873596,497.723,True
1024,1048576,parallel,16,2,354.1800081729889,444.712,True
1024,1048576,matrix_only,16,2,326.4400064945221,406.642,True
