Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,0,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790363552605802.409	,10.900,0,40,0,NO,"""2;""",INT64;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.146,586547,0.142,0.017,1.615,0.198,0.711,0.087,1.375,0.169,0.251,0.000
0,4294967295,1,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790363552606251.298	,5.520,437.850000,40,0,NO,"""2;""",INT64;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.159,299435,0.142,0.034,2.093,0.503,1.257,0.302,0.634,0.152,0.0,0.000
0,4294967295,2,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790363552610487.322	,8.940,4230.480000,40,0,NO,"""1;""",INT64;FLOAT,ND;ND,"""1048576""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.371,530710,0.27,0.037,0.235,0.032,0.121,0.016,2.146,0.291,0.196,0.000
0,4294967295,3,46,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1790363552610563.284	,5.140,67.060000,40,0,NO,"""1;""",INT64;FLOAT,ND;ND,"""1048576""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.672,264368,0.27,0.074,0.987,0.269,1.294,0.352,1.242,0.338,0.0,0.000
0,4294967295,4,46,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1790363552924813.402	,16.541,314245.110000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,14.846,427564,9.43,0.635,5.104,0.344,8.217,0.553,9.577,0.645,2.985,0.201,0.017,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.802
0,4294967295,5,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1790363552927431.235	,8.560,2601.209000,40,0,NO,"""1048576;1048576""",FLOAT;FLOAT,ND;ND,"""1048576""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.187,517447,0.414,0.058,0.297,0.041,4.232,0.589,1.715,0.239,0.101,0.000
0,4294967295,6,46,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1790363552927570.918	,14.260,131.190000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,12.892,371285,9.41,0.73,5.765,0.447,8.263,0.641,9.429,0.731,3.263,0.253,0.004,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.324
0,4294967295,7,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1790363552927637.359	,4.880,51.990000,40,0,NO,"""1048576;1048576""",FLOAT;FLOAT,ND;ND,"""1048576""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.582,257927,0.414,0.116,0.935,0.261,2.379,0.664,1.17,0.327,0.0,0.000
0,4294967295,8,46,aclnnMm_MatMulCommon_MatMulV2,MatMulV2,dynamic,AI_CORE,1790363552927658.319	,13.881,16.120000,16,0,NO,"""1024,1024;1024,1024""",FLOAT16;FLOAT16,ND;ND,"""1024,1024""",FLOAT16,ND,N/A,12.577,362209,9.402,0.748,5.636,0.448,8.266,0.657,9.463,0.752,3.301,0.262,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.483
0,4294967295,9,46,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1790363552927711.520	,5.160,39.369000,40,0,NO,"""1048576;1048576""",FLOAT;FLOAT,ND;ND,"""1048576""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.473,250065,0.414,0.119,1.15,0.331,2.063,0.594,1.103,0.318,0.0,0.000
