suite,baseline,candidate,paired_samples,baseline_us,candidate_us,ratio_of_medians,paired_ratio_median,paired_ratio_ci_low,paired_ratio_ci_high,candidate_faster_samples
sharing,sharing_000,sharing_001,30,6720.920085905,6718.75,1.0003229895300465,1.0008566382269788,0.9999989313092313,1.0017515032380095,20
sharing,sharing_002,sharing_003,30,16720.789909400002,16925.740242,0.987891204185479,1.0001379607351155,0.9886923768279805,1.0011512956954876,16
sharing,sharing_004,sharing_005,30,1799.98999834,1739.090025425,1.0350182980896099,1.0030996453393757,0.9957618790130269,1.0337596854219306,18
sharing,sharing_006,sharing_007,30,11384.77993015,11385.410308800001,0.9999446327683497,0.9999903630278746,0.999236764524127,1.000646445630524,14
sharing,sharing_008,sharing_009,30,1727.2199988399998,1722.7500081100002,1.0025946833312767,1.0015963224793634,0.9992021575318103,1.0047422960063546,18
sharing,sharing_010,sharing_011,30,4291.9600009900005,4248.649835585,1.0101938655999023,1.0045995146297955,0.9975299317034614,1.0105536476067474,20
sharing,sharing_012,sharing_013,30,597.9899764065,567.6200091840001,1.0535040462476988,1.0438055964055977,0.9972107474320941,1.0996042932770185,18
sharing,sharing_014,sharing_015,30,2898.400068285,2896.58999443,1.0006248981935588,0.9994998561584864,0.998245093711277,1.0010314712451711,13
sharing,sharing_016,sharing_017,30,480.45998811749996,478.90999913250005,1.0032364932613802,0.9983078654099149,0.9887214208862007,1.0266319984632828,14
sharing,sharing_018,sharing_019,30,1124.8199939750002,1110.039949415,1.013314876250886,1.0114895431518314,1.000945678753543,1.0198858486963776,21
sharing,sharing_020,sharing_021,30,220.909997821,202.30999588999998,1.0919381261868701,1.0836039494765157,1.0230986490744682,1.1274119717645243,22
sharing,sharing_022,sharing_023,30,778.860002756,778.4999907015,1.0004624432354527,1.002633831118118,0.9913802130782736,1.0114863331850126,15
sharing,sharing_024,sharing_025,30,283.999994397,283.05999934700003,1.0033208332232335,1.002155882843553,0.979461987341468,1.0301528091309289,18
sharing,sharing_026,sharing_027,30,598.3600020409999,595.279991627,1.005174053314948,1.0025230658273208,0.9926372637953348,1.025120604365926,16
sharing,sharing_028,sharing_029,30,153.719998896,148.30999821400002,1.0364776532071274,1.059300946789203,0.9092058146296274,1.1402004203674743,16
sharing,sharing_030,sharing_031,30,424.649998546,421.9399988655,1.0064227133900236,1.0047519184249185,0.9849941582390401,1.0192998906228237,16
sharing,sharing_032,sharing_033,30,26695.30010225,26691.20025635,1.0001536029051008,1.000162574581287,0.9998839137763058,1.0003432177134854,19
sharing,sharing_034,sharing_035,30,72077.36206054999,72004.82940670001,1.001007330403358,1.0013373389302522,0.9996668949710037,1.0032590809220068,18
sharing,sharing_036,sharing_037,30,9172.6398468,9155.089855195001,1.0019169655221942,1.0019404413567026,0.9981182497360831,1.0053605568226545,17
sharing,sharing_038,sharing_039,30,45367.13027955,45368.391036999994,0.9999722106642714,0.9999707029231174,0.999815965106274,1.0001137698315943,14
sharing,sharing_040,sharing_041,30,6726.469993590001,6722.00989723,1.00066350636613,1.0005546781023187,0.9999630308853205,1.0009216437653246,20
sharing,sharing_042,sharing_043,30,18205.77049255,17811.550140400002,1.0221328491367987,1.02222151049229,1.021501716028203,1.02336440913006,30
sharing,sharing_044,sharing_045,30,3914.3999814999997,2953.310012815,1.3254280669874274,1.328754978712709,1.3110099338488737,1.3338043135492308,30
sharing,sharing_046,sharing_047,30,11390.739917750001,11395.7300186,0.9995621078384752,1.0000105169239488,0.9992993117443589,1.0006276638565352,15
sharing,sharing_048,sharing_049,30,1907.330036165,1735.5200052300002,1.0989962837750353,1.0991850881355458,1.0948194480910038,1.1046227646887052,30
sharing,sharing_050,sharing_051,30,4660.02988815,4544.080019,1.0255166873525958,1.0257697916304505,1.0238345659394472,1.027498831190953,30
sharing,sharing_052,sharing_053,30,1466.53997898,1023.4400033950001,1.4329515888719702,1.4377666561933062,1.4029979524688831,1.4531227415065422,30
sharing,sharing_054,sharing_055,30,2898.57006073,2897.78006077,1.0002726224707992,1.000778569026229,0.9985841300465277,1.0024419778719245,17
sharing,sharing_056,sharing_057,30,1471.78000212,1083.819985385,1.3579561384422956,1.3585295442518335,1.348062947139192,1.3808667109009796,30
sharing,sharing_058,sharing_059,30,2462.190032005,2335.2700471850003,1.0543491682998258,1.0551720663563797,1.0496805334483037,1.058203598529923,30
sharing,sharing_060,sharing_061,30,1304.939985275,824.760019779,1.5822056767793709,1.5954320317711796,1.5622183286984082,1.6277586659666368,30
sharing,sharing_062,sharing_063,30,1505.9600472450002,1491.7199611649999,1.0095460853583262,1.0121815502189393,1.007681976617438,1.0177282897593916,23
