id,mode,n,blocks,tile,buffers,rounds,groups,repeats
sharing_000,private,8126464,1,1024,2,1,1,4
sharing_001,shared,8126464,1,1024,2,1,1,4
sharing_002,private,8126464,1,1024,2,16,1,4
sharing_003,shared,8126464,1,1024,2,16,1,4
sharing_004,private,8126464,1,4096,2,1,1,4
sharing_005,shared,8126464,1,4096,2,1,1,4
sharing_006,private,8126464,1,4096,2,16,1,4
sharing_007,shared,8126464,1,4096,2,16,1,4
sharing_008,private,8126464,4,1024,2,1,1,4
sharing_009,shared,8126464,4,1024,2,1,1,4
sharing_010,private,8126464,4,1024,2,16,1,4
sharing_011,shared,8126464,4,1024,2,16,1,4
sharing_012,private,8126464,4,4096,2,1,1,4
sharing_013,shared,8126464,4,4096,2,1,1,4
sharing_014,private,8126464,4,4096,2,16,1,4
sharing_015,shared,8126464,4,4096,2,16,1,4
sharing_016,private,8126464,16,1024,2,1,1,4
sharing_017,shared,8126464,16,1024,2,1,1,4
sharing_018,private,8126464,16,1024,2,16,1,4
sharing_019,shared,8126464,16,1024,2,16,1,4
sharing_020,private,8126464,16,4096,2,1,1,4
sharing_021,shared,8126464,16,4096,2,1,1,4
sharing_022,private,8126464,16,4096,2,16,1,4
sharing_023,shared,8126464,16,4096,2,16,1,4
sharing_024,private,8126464,32,1024,2,1,1,4
sharing_025,shared,8126464,32,1024,2,1,1,4
sharing_026,private,8126464,32,1024,2,16,1,4
sharing_027,shared,8126464,32,1024,2,16,1,4
sharing_028,private,8126464,32,4096,2,1,1,4
sharing_029,shared,8126464,32,4096,2,1,1,4
sharing_030,private,8126464,32,4096,2,16,1,4
sharing_031,shared,8126464,32,4096,2,16,1,4
sharing_032,private,32505856,1,1024,2,1,1,4
sharing_033,shared,32505856,1,1024,2,1,1,4
sharing_034,private,32505856,1,1024,2,16,1,4
sharing_035,shared,32505856,1,1024,2,16,1,4
sharing_036,private,32505856,1,4096,2,1,1,4
sharing_037,shared,32505856,1,4096,2,1,1,4
sharing_038,private,32505856,1,4096,2,16,1,4
sharing_039,shared,32505856,1,4096,2,16,1,4
sharing_040,private,32505856,4,1024,2,1,1,4
sharing_041,shared,32505856,4,1024,2,1,1,4
sharing_042,private,32505856,4,1024,2,16,1,4
sharing_043,shared,32505856,4,1024,2,16,1,4
sharing_044,private,32505856,4,4096,2,1,1,4
sharing_045,shared,32505856,4,4096,2,1,1,4
sharing_046,private,32505856,4,4096,2,16,1,4
sharing_047,shared,32505856,4,4096,2,16,1,4
sharing_048,private,32505856,16,1024,2,1,1,4
sharing_049,shared,32505856,16,1024,2,1,1,4
sharing_050,private,32505856,16,1024,2,16,1,4
sharing_051,shared,32505856,16,1024,2,16,1,4
sharing_052,private,32505856,16,4096,2,1,1,4
sharing_053,shared,32505856,16,4096,2,1,1,4
sharing_054,private,32505856,16,4096,2,16,1,4
sharing_055,shared,32505856,16,4096,2,16,1,4
sharing_056,private,32505856,32,1024,2,1,1,4
sharing_057,shared,32505856,32,1024,2,1,1,4
sharing_058,private,32505856,32,1024,2,16,1,4
sharing_059,shared,32505856,32,1024,2,16,1,4
sharing_060,private,32505856,32,4096,2,1,1,4
sharing_061,shared,32505856,32,4096,2,1,1,4
sharing_062,private,32505856,32,4096,2,16,1,4
sharing_063,shared,32505856,32,4096,2,16,1,4
