id,sample,device_envelope_us,host_us,max_abs_error
sharing_053,0,984.679996967,1061.595,0
sharing_044,0,3885.27989388,4005.97,0
sharing_023,0,777.880012989,925.904,0
sharing_017,0,465.700000525,559.083,0
sharing_035,0,72117.3171997,72229.419,0
sharing_034,0,72293.3807373,72423.161,0
sharing_033,0,26683.8798523,26842.303,0
sharing_003,0,17063.4403229,17179.985,0
sharing_051,0,4502.60019302,4639.033,0
sharing_054,0,2887.52007484,3012.565,0
sharing_018,0,1134.78004932,1237.956,0
sharing_049,0,1715.60001373,1834.489,0
sharing_043,0,17810.8005524,17933.939,0
sharing_058,0,2441.8399334,2553.823,0
sharing_046,0,11375.459671,11495.377,0
sharing_030,0,400.220006704,537.673,0
sharing_022,0,759.880006313,868.794,0
sharing_021,0,191.359996796,277.162,0
sharing_028,0,123.120002449,212.711,0
sharing_009,0,1719.59996223,1814.739,0
sharing_032,0,26688.7798309,26839.804,0
sharing_026,0,608.219981194,753.504,0
sharing_010,0,4209.93995667,4341.351,0
sharing_031,0,400.53999424,532.853,0
sharing_020,0,179.440006614,296.272,0
sharing_012,0,541.980028152,633.383,0
sharing_042,0,18204.9808502,18315.851,0
sharing_001,0,6692.12007523,6841.574,0
sharing_019,0,1093.29998493,1208.586,0
sharing_047,0,11375.9403229,11487.217,0
sharing_063,0,1473.70004654,1584.508,0
sharing_060,0,1365.83995819,1473.117,0
sharing_062,0,1480.88002205,1595.308,0
sharing_011,0,4276.31998062,4379.981,0
sharing_050,0,4650.08020401,4749.293,0
sharing_039,0,45353.5385132,45472.606,0
sharing_024,0,296.220004559,425.462,0
sharing_002,0,16690.580368,16836.394,0
sharing_036,0,9058.44020844,9180.926,0
sharing_059,0,2313.47990036,2427.962,0
sharing_004,0,1841.8200016,1956.19,0
sharing_045,0,2944.09990311,3044.405,0
sharing_007,0,11374.6995926,11490.367,0
sharing_037,0,9044.93999481,9163.826,0
sharing_048,0,1892.61996746,1999.12,0
sharing_025,0,271.100014448,379.492,0
sharing_055,0,2884.81998444,2976.035,0
sharing_016,0,471.940010786,565.153,0
sharing_029,0,132.919996977,218.481,0
sharing_041,0,6706.22014999,6793.054,0
sharing_040,0,6711.7600441,6820.894,0
sharing_008,0,1724.58004951,1818.759,0
sharing_052,0,1423.69997501,1511.338,0
sharing_014,0,2881.04009628,2984.355,0
sharing_015,0,2880.28001785,2970.465,0
sharing_013,0,542.959988117,635.413,0
sharing_056,0,1453.71997356,1539.838,0
sharing_061,0,850.419998169,972.145,0
sharing_000,0,6710.68000793,6822.904,0
sharing_027,0,577.899992466,666.593,0
sharing_006,0,11374.540329,11465.447,0
sharing_057,0,1072.02005386,1197.856,0
sharing_005,0,1851.40001774,1955.16,0
sharing_038,0,45364.238739,45472.947,0
sharing_006,1,11365.0798798,11482.757,0
sharing_005,1,1701.27999783,1801.179,0
sharing_056,1,1442.34001637,1538.748,0
sharing_009,1,1713.86003494,1818.029,0
sharing_057,1,1083.19997787,1175.206,0
sharing_014,1,2880.23996353,2975.705,0
sharing_043,1,17783.6208344,17889.069,0
sharing_045,1,2937.25991249,3056.885,0
sharing_032,1,26686.1000061,26804.783,0
sharing_011,1,4304.54015732,4412.402,0
sharing_004,1,1797.00005054,1902.429,0
sharing_033,1,26695.8999634,26796.103,0
sharing_036,1,9255.96046448,9370.746,0
sharing_059,1,2289.40010071,2422.482,0
sharing_037,1,9219.03991699,9333.816,0
sharing_002,1,17076.7002106,17197.416,0
sharing_003,1,16732.1205139,16853.074,0
sharing_047,1,11423.7003326,11562.177,0
sharing_063,1,1497.07996845,1620.408,0
sharing_012,1,653.439998627,767.294,0
sharing_055,1,2905.58004379,3009.775,0
sharing_022,1,781.080007553,888.015,0
sharing_052,1,1485.13996601,1583.697,0
sharing_058,1,2433.79998207,2563.063,0
sharing_061,1,902.01997757,1017.975,0
sharing_000,1,6725.67987442,6847.204,0
sharing_050,1,4662.38021851,4762.024,0
sharing_042,1,18211.9998932,18332.111,0
sharing_007,1,11404.6201706,11508.707,0
sharing_051,1,4544.09980774,4648.084,0
sharing_025,1,286.13999486,387.761,0
sharing_018,1,1135.98001003,1242.516,0
sharing_044,1,3907.57989883,3994.229,0
sharing_023,1,771.719992161,884.334,0
sharing_031,1,421.519994736,512.123,0
sharing_027,1,607.020020485,702.624,0
sharing_013,1,567.560017109,658.653,0
sharing_034,1,72077.9037476,72191,0
sharing_062,1,1496.91998959,1633.258,0
sharing_001,1,6726.26018524,6848.334,0
sharing_016,1,488.440006971,590.093,0
sharing_038,1,45383.8615417,45500.116,0
sharing_046,1,11376.2798309,11496.157,0
sharing_049,1,1760.49995422,1853.729,0
sharing_024,1,295.839995146,419.542,0
sharing_053,1,1031.70001507,1118.326,0
sharing_021,1,200.039997697,299.452,0
sharing_054,1,2907.21988678,2988.965,0
sharing_060,1,1329.02002335,1440.577,0
sharing_020,1,235.080003738,338.891,0
sharing_039,1,45362.6213074,45522.337,0
sharing_030,1,441.020011902,563.293,0
sharing_015,1,2902.3399353,2994.985,0
sharing_019,1,1112.23995686,1201.286,0
